Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2012,12797,12813,12713,12646,12660,12692,12656,12471,12115,12124,12005,12298
2013,12471,11950,11689,11760,11654,11751,11335,11279,11270,11136,10787,10404
2014,10202,10349,10380,9702,9859,9460,9608,9599,9262,8990,9090,8717
2015,8885,8599,8515,8550,8834,8247,8167,7992,7907,7922,8000,7907
2016,7627,7702,7961,8067,7652,7744,7641,7784,7953,7811,7553,7521
2017,7468,7379,7073,7089,7000,6873,6892,7082,6854,6700,6774,6632
2018,6505,6586,6457,6448,6188,6446,6173,6167,6065,6230,6132,6379
2019,6458,6122,6166,5898,5935,5906,5984,5993,5766,5980,5930,5861
2020,5826,5717,7165,23038,20940,17616,16288,13532,12584,11115,10777,10789
2021,10180,9992,9691,9719,9251,9502,8671,8339,7666,7375,6802,6319
2022,6513,6270,5952,5941,5950,5912,5670,6014,5753,,,
