date,AAPL,ABBV,AMZN,BAC,BRK-B,CVX,GOOG,GOOGL,HD,JNJ,JPM,KO,LLY,MA,META,MRK,MSFT,NVDA,PEP,PFE,PG,TSLA,UNH,V,XOM
2012-10-31,18.23,,11.64,7.96,86.35,72.84,16.94,17.02,49.15,53.82,31.58,27.15,37.83,43.45,21.11,31.61,23.41,2.75,51.87,16.49,51.64,1.88,47.98,32.35,59.8
2012-11-01,18.27,,11.61,8.32,87.68,73.64,17.13,17.21,49.85,54.33,32.46,27.26,38.2,44.18,21.21,31.83,24.21,2.88,52.02,16.28,51.65,1.95,48.79,33.54,60.08
2012-11-02,17.66,,11.62,8.41,86.93,71.6,17.13,17.22,49.66,53.88,32.14,27.08,37.77,44.25,21.18,31.87,24.19,2.87,51.73,16.28,51.61,1.93,48.02,33.43,59.21
2012-11-05,17.9,,11.72,8.32,86.86,72.14,17.01,17.09,49.95,53.79,32.03,26.85,37.95,43.89,21.25,31.64,24.3,2.99,51.69,16.3,51.22,2.1,47.36,32.99,59.45
2012-11-06,17.85,,11.88,8.49,87.29,72.92,16.98,17.06,50.14,53.96,32.49,27.32,37.95,44.47,21.17,31.81,24.49,2.99,51.95,16.38,51.41,2.08,48.31,33.54,60.09
2012-11-07,17.17,,11.6,7.88,85.45,71.03,16.62,16.69,49.64,53.45,30.67,26.81,37.48,43.8,20.47,30.8,23.85,2.89,51.68,16.17,50.76,2.1,46.49,33.23,58.2
2012-11-08,16.54,,11.37,8.02,84.58,69.95,16.25,16.32,48.73,52.93,30.61,26.55,36.93,43.53,19.99,30.37,23.63,2.91,51.53,16.16,49.91,2.09,45.78,33.12,57.47
2012-11-09,16.83,,11.32,8.05,85.18,69.93,16.51,16.59,48.81,53.09,30.78,26.5,36.93,43.8,19.21,30.52,23.65,2.8,51.58,16.17,49.98,2.02,45.32,33.32,57.56
2012-11-12,16.7,,11.32,8.02,85.27,69.99,16.59,16.66,48.97,52.95,30.75,26.35,37.58,44.3,20.07,30.5,23.14,2.74,51.4,16.13,50.03,2.07,44.72,33.39,57.63
2012-11-13,16.7,,11.33,7.97,85.87,69.56,16.41,16.49,50.75,52.82,30.34,26.4,37.05,44.42,19.86,30.26,22.4,2.71,51.38,16.09,49.86,2.11,44.71,33.21,57.07
