Date,Open,High,Low,Close,Volume,Market Cap
Oct-30-2022,20809.80881,20910.0964,20520.35815,20621.7479,64733978709.333300,397080010238.252000
Oct-29-2022,20595.37894,21003.55731,20563.937,20811.98837,78150625137.777700,398209829528.504000
Oct-28-2022,20292.40585,20733.95162,20074.037,20608.2579,86808559758.222200,390706428379.939000
Oct-27-2022,20766.80989,20860.75336,20249.7547,20283.97975,97985674211.555500,395221750804.984000
Oct-26-2022,20081.82064,20943.08464,20065.93368,20754.02397,111641919374.222000,393580944072.768000
Oct-25-2022,19330.2129,20388.4725,19252.5634,20110.87556,62423042787.555500,375485658697.523000
Oct-24-2022,19564.5146,19578.3784,19191.1109,19335.3937,57568925283.555500,370900489444.816000
Oct-23-2022,19203.7979,19669.50723,19112.1147,19548.7249,29334480681.923300,369183644189.070000
Oct-22-2022,19162.5376,19248.5639,19119.8239,19202.85297,51155992135.111100,367465072645.987000
Oct-21-2022,19042.7405,19231.1974,18743.2771,19166.3286,56719066040.888800,365349689963.558000
Oct-20-2022,19123.6291,19328.0008,18942.909,19042.9309,50448821589.333300,366446781146.046000
Oct-19-2022,19329.1763,19337.0797,19115.2331,19124.9892,61076924387.555500,368227529158.414000
Oct-18-2022,19546.0154,19685.47556,19116.7442,19351.0697,62745223680.000000,373218777171.650000
Oct-17-2022,19256.40623,19650.7575,19164.44404,19558.1117,48744779299.555500,371733239025.513000
Oct-16-2022,19066.0574,19397.58735,19066.0574,19259.62065,31434982424.975600,367281364584.853000
Oct-15-2022,19182.2476,19219.5647,19026.2672,19054.8847,55450156103.111100,366826934382.246000
Oct-14-2022,19380.65578,19891.3268,19096.9897,19191.0274,94607306808.888800,374023157206.515000
Oct-13-2022,19155.03423,19454.6764,18290.6714,19380.6893,66306380332.599300,364703127203.405000
Oct-12-2022,19060.6544,19206.1014,19024.1102,19157.97735,57228996065.672400,366398495488.139000
Oct-11-2022,19133.07734,19256.37998,18889.95635,19045.5416,58945067207.111100,365469491546.383000
Oct-10-2022,19443.0047,19516.1351,19100.8137,19135.37402,43632528537.421600,370405445216.003000
Oct-09-2022,19415.1815,19539.48528,19330.103,19436.3351,32508420906.666600,372595217766.475000
Oct-08-2022,19533.27671,19607.87574,19275.3283,19401.0105,47210778231.526100,373494069529.960000
Oct-07-2022,19956.8027,20042.217,19377.61884,19533.02825,60960544332.710800,378822333516.153000
Oct-06-2022,20157.0733,20412.1791,19882.90905,19948.2219,73072720042.666600,386125302356.665000
Oct-05-2022,20339.9766,20343.1053,19759.35203,20168.6041,69289916686.222200,385619968282.447000
Oct-04-2022,19621.4414,20373.39697,19510.5453,20339.726,68130612935.111100,382009598457.985000
Oct-03-2022,19057.6437,19666.3757,19031.5833,19610.3879,57075608007.111100,370126361156.965000
Oct-02-2022,19311.0991,19388.8829,18940.09448,19035.34988,38546956252.444400,368503905388.904000
Oct-01-2022,19424.06007,19470.25237,19221.463,19305.1719,68653690678.792900,370380976869.970000
Sep-30-2022,19595.19645,20130.3524,19251.1829,19449.60774,83393624974.222200,374198583961.642000
Sep-29-2022,19417.11887,19595.0236,18900.6111,19593.33746,93504140231.111100,371680212221.655000
Sep-28-2022,19109.88148,19731.8756,18528.60194,19399.48878,109016957213.435000,366474053295.387000
Sep-27-2022,19224.7583,20346.1614,18844.2644,19098.47982,98288909824.000000,378214069987.118000
Sep-26-2022,18802.6997,19277.51156,18700.5511,19238.7536,67509007649.003400,364325052317.865000
Sep-25-2022,18923.4988,19135.6295,18682.76349,18814.0516,44811745464.888800,363657781154.987000
Sep-24-2022,19290.27961,19294.62788,18831.32928,18931.73411,70758854556.444400,365483878913.815000
Sep-23-2022,19404.73613,19466.7087,18568.7795,19245.96942,77987818268.444400,365154077232.536000
Sep-22-2022,18480.42574,19493.93645,18374.8544,19429.13269,99240692195.555500,363556233837.292000
Sep-21-2022,18873.9083,19670.86591,18200.89554,18501.82049,73457138531.555500,364096452308.928000
Sep-20-2022,19537.1129,19624.33598,18799.07474,18873.2005,77663890642.508700,367436797852.789000
Sep-19-2022,19420.56091,19623.12094,18391.81939,19576.6372,79169374904.888800,364027259526.050000
Sep-18-2022,20121.8493,20121.8493,19374.4683,19393.59391,47383656476.444400,380422504433.069000
Sep-17-2022,19803.71233,20173.35446,19768.49012,20123.64055,57758805461.333300,382058836181.772000
Sep-16-2022,19702.014,19880.55358,19360.1566,19756.26819,66830132536.888800,377413510866.054000
Sep-15-2022,20221.79021,20288.6975,19652.74184,19662.3883,75639756188.444400,382778123467.030000
Sep-14-2022,20175.70209,20486.08435,19748.01319,20251.71983,84479598023.111100,387241698025.512000
Sep-13-2022,22399.97823,22698.77167,20032.1647,20172.39246,81152505173.333300,412380903690.474000
Sep-12-2022,21818.60296,22458.63331,21589.69466,22387.93863,69203768618.666600,423653315759.191000
Sep-11-2022,21648.39,21810.00021,21381.9013,21789.45241,51346227840.000000,413658530577.949000
Sep-10-2022,21362.69347,21767.7515,21166.98725,21661.704,62426090339.555500,409414147728.236000
Sep-09-2022,19324.6317,21396.56903,19323.3601,21370.64087,60209335509.333300,396784798543.481000
Sep-08-2022,19283.33315,19428.68675,19081.5462,19318.4204,49633780892.444400,368644994965.328000
Sep-07-2022,18785.90733,19446.587,18578.84042,19275.30356,56371120128.000000,361859331726.136000
Sep-06-2022,19786.6074,20154.40267,18744.9048,18812.06104,48719532558.222200,375267536735.270000
Sep-05-2022,20000.39948,20040.55329,19660.14857,19808.09596,35287255189.333300,378844293108.786000
Sep-04-2022,19830.80646,19999.59658,19620.9343,19975.3081,30188903488.000000,379030074894.128000
Sep-03-2022,19957.5713,20046.5481,19678.207,19834.79562,46422244778.666600,379758022134.118000
Sep-02-2022,20123.43013,20409.61699,19787.50041,19927.5466,53777627899.540000,384504946573.670000
Sep-01-2022,20053.474,20185.9976,19619.6549,20145.5884,59976236430.222200,382219556944.809000
Aug-31-2022,19794.2573,20438.0133,19794.2573,20046.9471,68910236344.888800,386652241579.522000
Aug-30-2022,20295.05747,20558.0115,19595.5805,19768.0653,59130067821.714200,385411494436.506000
Aug-29-2022,19539.5807,20360.7005,19539.5807,20280.87118,50011859821.714200,382224120625.595000
Aug-28-2022,20032.7284,20133.3567,19606.7351,19606.7351,41580848931.555500,382562471282.795000
Aug-27-2022,20254.82006,20331.54696,19870.57393,20050.5705,59715633080.888800,384932413807.472000
Aug-26-2022,21563.19311,21812.7889,20122.77851,20215.51485,54504579114.666600,404941903812.079000
Aug-25-2022,21367.72491,21773.14866,21330.7948,21591.28483,50399097415.111100,413233152001.355000
Aug-24-2022,21512.99519,21826.3262,21172.07432,21378.10481,50558561664.000000,410769202810.879000
Aug-23-2022,21412.8329,21632.79067,20946.7834,21516.13082,56455916259.555500,409246011088.181000
Aug-22-2022,21511.40548,21511.40548,20931.27811,21418.635,48612705848.888800,406816213314.112000
Aug-21-2022,21138.10908,21671.11018,21085.99916,21515.70635,42209985479.111100,408762717345.302000
Aug-20-2022,20836.67633,21336.82388,20829.83792,21163.4085,61145030798.717700,404934592425.890000
Aug-19-2022,23192.0722,23192.0722,20840.72427,20840.72427,56799885624.888800,417759707938.023000
Aug-18-2022,23338.393,23575.6112,23140.45858,23206.1852,50975738595.555500,447830687692.113000
