date,date_utc,open,high,low,close,volume,adjclose,symbol
11-05-2012,1352125800,20.84,20.99,20.63,20.88,529135600,17.9,AAPL
11-06-2012,1352212200,21.08,21.1,20.72,20.82,374917200,17.85,AAPL
11-07-2012,1352298600,20.49,20.52,19.85,19.93,793648800,17.17,AAPL
11-08-2012,1352385000,20.02,20.08,19.12,19.21,1056146000,16.54,AAPL
11-09-2012,1352471400,19.3,19.82,19.06,19.54,929913600,16.83,AAPL
11-12-2012,1352730600,19.79,19.8,19.24,19.39,515802000,16.7,AAPL
11-13-2012,1352817000,19.25,19.66,19.16,19.39,532949200,16.7,AAPL
11-14-2012,1352903400,19.48,19.55,19.15,19.17,477170400,16.52,AAPL
11-15-2012,1352989800,19.2,19.27,18.67,18.77,789910800,16.17,AAPL
11-16-2012,1353076200,18.76,18.93,18.06,18.85,1266893600,16.23,AAPL
11-19-2012,1353335400,19.31,20.27,19.28,20.2,823317600,17.4,AAPL
11-20-2012,1353421800,20.43,20.43,19.81,20.03,642754000,17.26,AAPL
11-21-2012,1353508200,20.15,20.26,19.88,20.06,373002000,17.28,AAPL
11-23-2012,1353681000,20.26,20.43,20.09,20.41,272826400,17.58,AAPL
11-26-2012,1353940200,20.57,21.07,20.49,21.05,630579600,18.14,AAPL
11-27-2012,1354026600,21.06,21.09,20.72,20.89,533330000,17.99,AAPL
11-28-2012,1354113000,20.62,20.92,20.44,20.82,520864400,17.93,AAPL
11-29-2012,1354199400,21.08,21.22,20.9,21.05,514698800,18.13,AAPL
11-30-2012,1354285800,20.96,21.01,20.81,20.9,391319600,18.01,AAPL
12-03-2012,1354545000,21.2,21.24,20.91,20.94,364280000,18.03,AAPL
12-04-2012,1354631400,20.78,20.78,20.43,20.57,557068400,17.72,AAPL
12-05-2012,1354717800,20.32,20.33,19.24,19.24,1044638000,16.58,AAPL
12-06-2012,1354804200,18.89,19.76,18.52,19.54,1177212400,16.84,AAPL
12-07-2012,1354890600,19.76,19.83,18.93,19.04,787040800,16.41,AAPL
12-10-2012,1355149800,18.75,19.23,18.63,18.92,630484400,16.3,AAPL
12-11-2012,1355236200,19.28,19.63,19.19,19.34,592345600,16.66,AAPL
12-12-2012,1355322600,19.56,19.57,19.15,19.25,487144000,16.58,AAPL
