date,date_utc,open,high,low,close,volume,adjclose,symbol
01-02-2013,1357137000,34.92,35.4,34.1,35.12,13767900,23.33,ABBV
01-03-2013,1357223400,35.0,35.0,34.16,34.83,16739300,23.13,ABBV
01-04-2013,1357309800,34.62,34.89,34.25,34.39,21372100,22.84,ABBV
01-07-2013,1357569000,34.15,35.45,34.15,34.46,17897100,22.89,ABBV
01-08-2013,1357655400,34.29,34.64,33.36,33.71,17863300,22.39,ABBV
01-09-2013,1357741800,33.61,33.95,33.61,33.9,18800400,22.52,ABBV
01-10-2013,1357828200,33.66,34.0,33.33,34.0,15658100,22.58,ABBV
01-11-2013,1357914600,33.59,33.9,33.35,33.85,11191500,22.75,ABBV
01-14-2013,1358173800,34.01,34.25,33.8,34.09,11584900,22.91,ABBV
01-15-2013,1358260200,33.71,34.72,33.71,34.6,13040200,23.25,ABBV
01-16-2013,1358346600,34.47,35.54,34.45,35.54,16512700,23.89,ABBV
01-17-2013,1358433000,35.75,36.7,35.75,36.42,14424800,24.48,ABBV
01-18-2013,1358519400,36.43,37.32,36.04,37.32,17842200,25.08,ABBV
01-22-2013,1358865000,36.98,37.25,35.93,36.42,15809700,24.48,ABBV
01-23-2013,1358951400,36.91,37.84,36.5,37.8,10981600,25.4,ABBV
01-24-2013,1359037800,37.79,38.52,37.23,37.46,11327100,25.18,ABBV
01-25-2013,1359124200,37.52,37.84,36.64,37.6,8934600,25.27,ABBV
01-28-2013,1359383400,37.65,37.87,36.71,36.89,7140100,24.79,ABBV
01-29-2013,1359469800,36.71,37.46,36.25,37.31,8838500,25.08,ABBV
01-30-2013,1359556200,36.81,37.53,36.81,36.93,10841800,24.82,ABBV
01-31-2013,1359642600,36.84,36.93,36.27,36.69,10720700,24.66,ABBV
02-01-2013,1359729000,36.84,37.2,36.52,37.18,9527500,24.99,ABBV
02-04-2013,1359988200,36.64,37.3,36.55,37.28,6348000,25.05,ABBV
02-05-2013,1360074600,37.42,37.73,37.18,37.2,7284400,25.0,ABBV
02-06-2013,1360161000,36.96,37.28,36.86,37.14,5738900,24.96,ABBV
02-07-2013,1360247400,37.57,37.57,35.8,36.42,9872500,24.48,ABBV
02-08-2013,1360333800,36.37,36.42,35.83,36.25,13858700,24.36,ABBV
02-11-2013,1360593000,36.13,36.18,35.75,35.85,6032100,24.09,ABBV
02-12-2013,1360679400,35.77,35.9,35.2,35.42,7473800,23.8,ABBV
02-13-2013,1360765800,35.42,35.57,35.15,35.27,4859800,23.7,ABBV
02-14-2013,1360852200,35.05,36.73,35.01,36.57,7570100,24.58,ABBV
02-15-2013,1360938600,36.93,37.81,36.93,37.58,13296300,25.26,ABBV
02-19-2013,1361284200,37.54,38.33,37.11,38.19,8292700,25.67,ABBV
02-20-2013,1361370600,38.16,39.13,37.61,38.61,8096400,25.95,ABBV
02-21-2013,1361457000,38.49,39.03,38.19,38.78,7260900,26.06,ABBV
02-22-2013,1361543400,38.79,38.85,38.14,38.46,4490400,25.85,ABBV
02-25-2013,1361802600,38.54,38.61,37.37,37.37,4665600,25.12,ABBV
02-26-2013,1361889000,37.6,37.6,36.96,37.09,4463000,24.93,ABBV
02-27-2013,1361975400,36.97,36.98,36.4,36.73,12238400,24.69,ABBV
02-28-2013,1362061800,36.66,37.14,36.5,36.92,10321000,24.81,ABBV
03-01-2013,1362148200,36.8,38.07,36.55,37.81,8929400,25.41,ABBV
03-04-2013,1362407400,37.53,38.25,37.53,38.24,5420800,25.7,ABBV
03-05-2013,1362493800,38.45,38.57,37.29,37.51,6650400,25.21,ABBV
03-06-2013,1362580200,37.56,37.86,37.37,37.74,5489500,25.36,ABBV
