date,date_utc,open,high,low,close,volume,adjclose,symbol
11-05-2012,1352125800,11.6,11.74,11.51,11.72,36922000,11.72,AMZN
11-06-2012,1352212200,11.77,11.89,11.72,11.88,53226000,11.88,AMZN
11-07-2012,1352298600,11.78,11.78,11.47,11.6,72484000,11.6,AMZN
11-08-2012,1352385000,11.61,11.67,11.35,11.37,59648000,11.37,AMZN
11-09-2012,1352471400,11.31,11.55,11.23,11.32,61850000,11.32,AMZN
11-12-2012,1352730600,11.33,11.46,11.27,11.32,42576000,11.32,AMZN
11-13-2012,1352817000,11.26,11.4,11.24,11.33,52596000,11.33,AMZN
11-14-2012,1352903400,11.32,11.37,11.13,11.15,60682000,11.15,AMZN
11-15-2012,1352989800,11.11,11.26,10.91,11.03,68094000,11.03,AMZN
11-16-2012,1353076200,11.07,11.31,10.93,11.26,87056000,11.26,AMZN
11-19-2012,1353335400,11.42,11.63,11.37,11.49,71824000,11.49,AMZN
11-20-2012,1353421800,11.5,11.69,11.48,11.69,55434000,11.69,AMZN
11-21-2012,1353508200,11.69,11.93,11.64,11.9,59186000,11.9,AMZN
11-23-2012,1353681000,11.99,12.0,11.82,11.99,35536000,11.99,AMZN
11-26-2012,1353940200,12.02,12.22,11.9,12.18,83566000,12.18,AMZN
11-27-2012,1354026600,12.16,12.28,12.08,12.17,60970000,12.17,AMZN
11-28-2012,1354113000,12.12,12.36,12.07,12.36,54868000,12.36,AMZN
11-29-2012,1354199400,12.4,12.62,12.38,12.56,106210000,12.56,AMZN
11-30-2012,1354285800,12.52,12.63,12.41,12.6,75948000,12.6,AMZN
12-03-2012,1354545000,12.63,12.71,12.5,12.52,59812000,12.52,AMZN
12-04-2012,1354631400,12.5,12.65,12.43,12.62,62294000,12.62,AMZN
12-05-2012,1354717800,12.62,12.78,12.52,12.7,57044000,12.7,AMZN
12-06-2012,1354804200,12.65,12.76,12.58,12.67,71158000,12.67,AMZN
12-07-2012,1354890600,12.71,12.76,12.6,12.66,43406000,12.66,AMZN
12-10-2012,1355149800,12.65,12.74,12.36,12.39,70076000,12.39,AMZN
12-11-2012,1355236200,12.43,12.67,12.33,12.53,83704000,12.53,AMZN
12-12-2012,1355322600,12.55,12.72,12.5,12.59,52562000,12.59,AMZN
12-13-2012,1355409000,12.56,12.73,12.5,12.56,49204000,12.56,AMZN
12-14-2012,1355495400,12.51,12.6,12.39,12.46,50538000,12.46,AMZN
12-17-2012,1355754600,12.49,12.7,12.46,12.69,45540000,12.69,AMZN
12-18-2012,1355841000,12.73,13.16,12.73,13.02,99220000,13.02,AMZN
12-19-2012,1355927400,13.06,13.08,12.88,12.9,46000000,12.9,AMZN
12-20-2012,1356013800,12.92,13.12,12.83,13.07,51692000,13.07,AMZN
12-21-2012,1356100200,12.89,12.92,12.79,12.85,94092000,12.85,AMZN
12-24-2012,1356359400,12.86,12.98,12.85,12.93,19688000,12.93,AMZN
12-26-2012,1356532200,12.86,12.87,12.4,12.43,83054000,12.43,AMZN
12-27-2012,1356618600,12.41,12.47,12.14,12.42,72786000,12.42,AMZN
12-28-2012,1356705000,12.29,12.37,12.25,12.26,37174000,12.26,AMZN
12-31-2012,1356964200,12.19,12.62,12.14,12.54,68380000,12.54,AMZN
01-02-2013,1357137000,12.8,12.9,12.66,12.87,65420000,12.87,AMZN
01-03-2013,1357223400,12.86,13.04,12.82,12.92,55018000,12.92,AMZN
01-04-2013,1357309800,12.88,12.99,12.83,12.96,37484000,12.96,AMZN
01-07-2013,1357569000,13.15,13.49,13.13,13.42,98200000,13.42,AMZN
01-08-2013,1357655400,13.35,13.45,13.18,13.32,60214000,13.32,AMZN
01-09-2013,1357741800,13.41,13.48,13.27,13.32,45312000,13.32,AMZN
01-10-2013,1357828200,13.43,13.44,13.11,13.27,57268000,13.27,AMZN
01-11-2013,1357914600,13.26,13.42,13.21,13.4,48266000,13.4,AMZN
01-14-2013,1358173800,13.4,13.71,13.38,13.64,85500000,13.64,AMZN
01-15-2013,1358260200,13.53,13.64,13.47,13.6,46538000,13.6,AMZN
01-16-2013,1358346600,13.53,13.56,13.39,13.45,41312000,13.45,AMZN
01-17-2013,1358433000,13.57,13.6,13.46,13.52,37692000,13.52,AMZN
01-18-2013,1358519400,13.54,13.73,13.48,13.61,58840000,13.61,AMZN
01-22-2013,1358865000,13.58,13.6,13.46,13.51,42754000,13.51,AMZN
01-23-2013,1358951400,13.53,13.55,13.33,13.41,50178000,13.41,AMZN
01-24-2013,1359037800,13.47,13.83,13.47,13.67,68340000,13.67,AMZN
01-25-2013,1359124200,13.75,14.24,13.72,14.2,99362000,14.2,AMZN
01-28-2013,1359383400,14.19,14.22,13.72,13.8,86428000,13.8,AMZN
01-29-2013,1359469800,13.77,13.77,12.92,13.02,203452000,13.02,AMZN
01-30-2013,1359556200,14.15,14.21,13.36,13.64,261508000,13.64,AMZN
01-31-2013,1359642600,13.55,13.8,13.19,13.27,135442000,13.27,AMZN
02-01-2013,1359729000,13.45,13.45,13.14,13.25,122300000,13.25,AMZN
02-04-2013,1359988200,13.14,13.23,12.95,13.0,74472000,13.0,AMZN
02-05-2013,1360074600,13.1,13.4,13.07,13.34,80258000,13.34,AMZN
02-06-2013,1360161000,13.26,13.34,13.06,13.11,55408000,13.11,AMZN
02-07-2013,1360247400,13.2,13.2,12.76,13.01,79514000,13.01,AMZN
02-08-2013,1360333800,13.07,13.26,13.03,13.1,77584000,13.1,AMZN
02-11-2013,1360593000,13.16,13.16,12.83,12.86,68074000,12.86,AMZN
02-12-2013,1360679400,12.96,13.01,12.85,12.94,58874000,12.94,AMZN
02-13-2013,1360765800,13.08,13.5,13.02,13.47,105860000,13.47,AMZN
02-14-2013,1360852200,13.37,13.53,13.27,13.46,69260000,13.46,AMZN
02-15-2013,1360938600,13.38,13.45,13.16,13.25,79598000,13.25,AMZN
02-19-2013,1361284200,13.3,13.51,13.23,13.49,57084000,13.49,AMZN
02-20-2013,1361370600,13.51,13.72,13.32,13.32,70578000,13.32,AMZN
02-21-2013,1361457000,13.26,13.47,13.16,13.3,72748000,13.3,AMZN
02-22-2013,1361543400,13.33,13.36,13.08,13.27,62496000,13.27,AMZN
02-25-2013,1361802600,13.35,13.43,12.98,12.99,60648000,12.99,AMZN
02-26-2013,1361889000,13.04,13.1,12.79,12.97,66972000,12.97,AMZN
02-27-2013,1361975400,12.97,13.29,12.84,13.16,58162000,13.16,AMZN
02-28-2013,1362061800,13.09,13.35,13.03,13.21,53344000,13.21,AMZN
03-01-2013,1362148200,13.16,13.33,13.05,13.29,59140000,13.29,AMZN
03-04-2013,1362407400,13.27,13.66,13.21,13.66,69060000,13.66,AMZN
03-05-2013,1362493800,13.7,13.83,13.5,13.78,73724000,13.78,AMZN
03-06-2013,1362580200,13.79,13.82,13.59,13.69,41014000,13.69,AMZN
03-07-2013,1362666600,13.7,13.74,13.59,13.69,38780000,13.69,AMZN
03-08-2013,1362753000,13.75,13.77,13.57,13.71,37596000,13.71,AMZN
03-11-2013,1363008600,13.67,13.7,13.52,13.56,38098000,13.56,AMZN
03-12-2013,1363095000,13.55,13.87,13.52,13.71,64924000,13.71,AMZN
03-13-2013,1363181400,13.76,13.82,13.63,13.76,37684000,13.76,AMZN
03-14-2013,1363267800,13.48,13.5,13.18,13.29,104534000,13.29,AMZN
03-15-2013,1363354200,13.25,13.36,13.0,13.09,97318000,13.09,AMZN
03-18-2013,1363613400,12.97,13.07,12.86,12.89,54404000,12.89,AMZN
03-19-2013,1363699800,12.92,12.98,12.63,12.82,74770000,12.82,AMZN
03-20-2013,1363786200,12.9,12.99,12.73,12.86,54778000,12.86,AMZN
03-21-2013,1363872600,12.81,12.85,12.63,12.67,56128000,12.67,AMZN
03-22-2013,1363959000,12.73,12.89,12.6,12.89,62492000,12.89,AMZN
03-25-2013,1364218200,12.93,12.97,12.73,12.8,50278000,12.8,AMZN
03-26-2013,1364304600,12.85,13.07,12.81,13.02,48420000,13.02,AMZN
03-27-2013,1364391000,12.94,13.3,12.9,13.27,57498000,13.27,AMZN
03-28-2013,1364477400,13.29,13.37,13.2,13.32,49474000,13.32,AMZN
04-01-2013,1364823000,13.35,13.37,13.05,13.08,50496000,13.08,AMZN
04-02-2013,1364909400,13.12,13.29,13.03,13.17,52622000,13.17,AMZN
04-03-2013,1364995800,13.11,13.18,12.89,12.95,48276000,12.95,AMZN
04-04-2013,1365082200,12.96,13.02,12.81,12.95,39288000,12.95,AMZN
04-05-2013,1365168600,12.79,12.81,12.68,12.77,51148000,12.77,AMZN
04-08-2013,1365427800,12.8,12.98,12.78,12.95,45912000,12.95,AMZN
04-09-2013,1365514200,12.94,13.13,12.85,13.06,43132000,13.06,AMZN
04-10-2013,1365600600,13.09,13.3,12.97,13.24,46450000,13.24,AMZN
04-11-2013,1365687000,13.24,13.55,13.24,13.49,61810000,13.49,AMZN
04-12-2013,1365773400,13.51,13.66,13.35,13.64,57326000,13.64,AMZN
04-15-2013,1366032600,13.55,13.76,13.35,13.39,66520000,13.39,AMZN
04-16-2013,1366119000,13.47,13.64,13.4,13.62,42744000,13.62,AMZN
04-17-2013,1366205400,13.54,13.54,13.21,13.37,62702000,13.37,AMZN
04-18-2013,1366291800,13.34,13.35,12.83,12.97,62752000,12.97,AMZN
04-19-2013,1366378200,12.91,13.14,12.88,13.02,52050000,13.02,AMZN
04-22-2013,1366637400,12.97,13.23,12.9,13.18,42382000,13.18,AMZN
04-23-2013,1366723800,13.23,13.49,13.23,13.44,45412000,13.44,AMZN
04-24-2013,1366810200,13.48,13.57,13.34,13.44,37056000,13.44,AMZN
04-25-2013,1366896600,13.58,13.79,13.52,13.73,122330000,13.73,AMZN
04-26-2013,1366983000,13.5,13.6,12.64,12.74,280600000,12.74,AMZN
04-29-2013,1367242200,12.74,12.85,12.46,12.49,142340000,12.49,AMZN
04-30-2013,1367328600,12.47,12.73,12.43,12.69,84976000,12.69,AMZN
05-01-2013,1367415000,12.69,12.71,12.29,12.41,87828000,12.41,AMZN
05-02-2013,1367501400,12.45,12.65,12.29,12.63,78724000,12.63,AMZN
05-03-2013,1367587800,12.81,12.96,12.73,12.9,70280000,12.9,AMZN
05-06-2013,1367847000,12.9,12.98,12.67,12.79,46956000,12.79,AMZN
05-07-2013,1367933400,12.82,12.99,12.65,12.89,62674000,12.89,AMZN
05-08-2013,1368019800,12.84,13.02,12.77,12.93,53540000,12.93,AMZN
05-09-2013,1368106200,12.94,13.18,12.84,13.01,55386000,13.01,AMZN
05-10-2013,1368192600,13.04,13.18,13.01,13.18,62906000,13.18,AMZN
05-13-2013,1368451800,13.14,13.29,13.1,13.23,42990000,13.23,AMZN
05-14-2013,1368538200,13.23,13.47,13.2,13.42,54000000,13.42,AMZN
05-15-2013,1368624600,13.35,13.45,13.23,13.33,54410000,13.33,AMZN
05-16-2013,1368711000,13.3,13.42,13.19,13.21,32870000,13.21,AMZN
05-17-2013,1368797400,13.29,13.5,13.25,13.49,50546000,13.49,AMZN
05-20-2013,1369056600,13.45,13.59,13.32,13.38,44180000,13.38,AMZN
05-21-2013,1369143000,13.44,13.54,13.38,13.44,34824000,13.44,AMZN
05-22-2013,1369229400,13.37,13.38,13.04,13.15,66640000,13.15,AMZN
05-23-2013,1369315800,13.02,13.16,12.98,13.09,40006000,13.09,AMZN
05-24-2013,1369402200,12.99,13.1,12.92,13.09,33926000,13.09,AMZN
05-28-2013,1369747800,13.32,13.56,13.3,13.36,69420000,13.36,AMZN
05-29-2013,1369834200,13.27,13.41,13.24,13.28,38068000,13.28,AMZN
05-30-2013,1369920600,13.29,13.43,13.28,13.34,33350000,13.34,AMZN
05-31-2013,1370007000,13.3,13.6,13.3,13.46,67486000,13.46,AMZN
06-03-2013,1370266200,13.45,13.46,13.15,13.34,50878000,13.34,AMZN
06-04-2013,1370352600,13.35,13.44,13.15,13.28,41772000,13.28,AMZN
06-05-2013,1370439000,13.29,13.58,13.25,13.36,70246000,13.36,AMZN
06-06-2013,1370525400,13.39,13.52,13.21,13.39,49526000,13.39,AMZN
06-07-2013,1370611800,13.49,14.01,13.46,13.84,92652000,13.84,AMZN
06-10-2013,1370871000,13.83,14.12,13.76,14.05,61730000,14.05,AMZN
06-11-2013,1370957400,13.8,13.92,13.71,13.74,61956000,13.74,AMZN
06-12-2013,1371043800,13.83,13.84,13.52,13.58,44778000,13.58,AMZN
06-13-2013,1371130200,13.57,13.84,13.51,13.79,52996000,13.79,AMZN
06-14-2013,1371216600,13.75,13.85,13.67,13.7,43016000,13.7,AMZN
06-17-2013,1371475800,13.82,14.01,13.78,13.9,57680000,13.9,AMZN
06-18-2013,1371562200,13.95,14.15,13.91,14.09,42922000,14.09,AMZN
06-19-2013,1371648600,14.06,14.17,13.89,13.91,56550000,13.91,AMZN
06-20-2013,1371735000,13.76,13.93,13.62,13.67,59680000,13.67,AMZN
06-21-2013,1371821400,13.73,13.79,13.49,13.67,84020000,13.67,AMZN
06-24-2013,1372080600,13.56,13.66,13.25,13.53,77276000,13.53,AMZN
06-25-2013,1372167000,13.61,13.67,13.45,13.6,48992000,13.6,AMZN
06-26-2013,1372253400,13.7,13.9,13.68,13.88,60590000,13.88,AMZN
06-27-2013,1372339800,13.96,14.01,13.73,13.88,50390000,13.88,AMZN
06-28-2013,1372426200,13.81,13.99,13.81,13.88,63866000,13.88,AMZN
07-01-2013,1372685400,13.95,14.16,13.86,14.1,57764000,14.1,AMZN
07-02-2013,1372771800,14.05,14.33,14.03,14.19,64764000,14.19,AMZN
07-03-2013,1372858200,14.1,14.27,14.1,14.2,27460000,14.2,AMZN
07-05-2013,1373031000,14.25,14.32,14.1,14.29,39708000,14.29,AMZN
07-08-2013,1373290200,14.32,14.58,14.31,14.53,60934000,14.53,AMZN
07-09-2013,1373376600,14.55,14.63,14.4,14.58,55512000,14.58,AMZN
07-10-2013,1373463000,14.57,14.67,14.47,14.62,36204000,14.62,AMZN
07-11-2013,1373549400,14.75,15.03,14.6,14.98,80146000,14.98,AMZN
07-12-2013,1373635800,14.93,15.38,14.93,15.38,90786000,15.38,AMZN
07-15-2013,1373895000,15.36,15.4,15.22,15.33,44912000,15.33,AMZN
07-16-2013,1373981400,15.36,15.47,15.28,15.34,53204000,15.34,AMZN
07-17-2013,1374067800,15.35,15.44,15.28,15.43,40594000,15.43,AMZN
07-18-2013,1374154200,15.31,15.32,15.09,15.21,61276000,15.21,AMZN
07-19-2013,1374240600,15.22,15.29,15.1,15.26,59462000,15.26,AMZN
07-22-2013,1374499800,15.46,15.46,15.1,15.17,50414000,15.17,AMZN
07-23-2013,1374586200,15.16,15.25,15.03,15.05,39992000,15.05,AMZN
07-24-2013,1374672600,15.15,15.19,14.9,14.95,40010000,14.95,AMZN
07-25-2013,1374759000,14.95,15.23,14.84,15.17,108116000,15.17,AMZN
07-26-2013,1374845400,14.98,15.68,14.78,15.6,176350000,15.6,AMZN
07-29-2013,1375104600,15.55,15.65,15.3,15.31,64236000,15.31,AMZN
07-30-2013,1375191000,15.39,15.49,15.08,15.12,61068000,15.12,AMZN
07-31-2013,1375277400,15.2,15.26,15.05,15.06,37826000,15.06,AMZN
08-01-2013,1375363800,15.15,15.31,14.94,15.28,59434000,15.28,AMZN
08-02-2013,1375450200,15.23,15.27,15.07,15.21,50052000,15.21,AMZN
08-05-2013,1375709400,15.17,15.18,14.91,15.05,44664000,15.05,AMZN
08-06-2013,1375795800,15.03,15.07,14.88,15.04,36980000,15.04,AMZN
08-07-2013,1375882200,15.01,15.05,14.81,14.85,39220000,14.85,AMZN
08-08-2013,1375968600,14.93,14.93,14.63,14.79,46868000,14.79,AMZN
08-09-2013,1376055000,14.78,14.96,14.72,14.86,39006000,14.86,AMZN
08-12-2013,1376314200,14.79,14.95,14.76,14.83,30090000,14.83,AMZN
08-13-2013,1376400600,14.79,14.82,14.53,14.7,46998000,14.7,AMZN
08-14-2013,1376487000,14.71,14.71,14.53,14.57,28300000,14.57,AMZN
08-15-2013,1376573400,14.44,14.47,14.26,14.32,45228000,14.32,AMZN
08-16-2013,1376659800,14.33,14.42,14.23,14.24,48450000,14.24,AMZN
08-19-2013,1376919000,14.26,14.48,14.17,14.28,49548000,14.28,AMZN
08-20-2013,1377005400,14.29,14.48,14.29,14.35,31726000,14.35,AMZN
08-21-2013,1377091800,14.25,14.43,14.19,14.23,36306000,14.23,AMZN
08-22-2013,1377178200,14.24,14.49,14.24,14.49,28452000,14.49,AMZN
08-23-2013,1377264600,14.56,14.57,14.4,14.5,39238000,14.5,AMZN
08-26-2013,1377523800,14.52,14.55,14.28,14.31,34234000,14.31,AMZN
08-27-2013,1377610200,14.19,14.26,13.99,14.05,49520000,14.05,AMZN
08-28-2013,1377696600,14.02,14.15,13.97,14.08,29142000,14.08,AMZN
08-29-2013,1377783000,14.07,14.3,14.0,14.2,31328000,14.2,AMZN
08-30-2013,1377869400,14.23,14.24,14.0,14.05,30694000,14.05,AMZN
09-03-2013,1378215000,14.24,14.57,14.21,14.44,57952000,14.44,AMZN
09-04-2013,1378301400,14.42,14.76,14.38,14.68,48772000,14.68,AMZN
09-05-2013,1378387800,14.68,14.85,14.64,14.7,36332000,14.7,AMZN
09-06-2013,1378474200,14.77,14.94,14.54,14.79,45840000,14.79,AMZN
09-09-2013,1378733400,14.86,15.0,14.83,14.99,32872000,14.99,AMZN
09-10-2013,1378819800,15.03,15.05,14.86,15.02,35568000,15.02,AMZN
09-11-2013,1378906200,14.95,15.09,14.89,14.98,34852000,14.98,AMZN
09-12-2013,1378992600,14.97,15.1,14.88,14.94,32124000,14.94,AMZN
09-13-2013,1379079000,15.01,15.01,14.81,14.9,27012000,14.9,AMZN
09-16-2013,1379338200,14.99,15.05,14.76,14.8,36168000,14.8,AMZN
09-17-2013,1379424600,14.88,15.23,14.8,15.21,45930000,15.21,AMZN
09-18-2013,1379511000,15.2,15.64,15.15,15.6,58928000,15.6,AMZN
09-19-2013,1379597400,15.69,15.73,15.55,15.6,47018000,15.6,AMZN
09-20-2013,1379683800,15.63,16.03,15.62,15.82,106046000,15.82,AMZN
09-23-2013,1379943000,15.7,15.8,15.44,15.57,37698000,15.57,AMZN
09-24-2013,1380029400,15.62,15.9,15.56,15.71,40672000,15.71,AMZN
09-25-2013,1380115800,15.73,15.84,15.54,15.63,40172000,15.63,AMZN
09-26-2013,1380202200,15.69,15.97,15.66,15.91,39798000,15.91,AMZN
09-27-2013,1380288600,15.85,15.86,15.67,15.8,33150000,15.8,AMZN
09-30-2013,1380547800,15.67,15.77,15.55,15.63,32472000,15.63,AMZN
10-01-2013,1380634200,15.71,16.05,15.68,16.05,47928000,16.05,AMZN
10-02-2013,1380720600,15.9,16.09,15.88,16.03,44348000,16.03,AMZN
10-03-2013,1380807000,16.02,16.15,15.65,15.74,53496000,15.74,AMZN
10-04-2013,1380893400,15.76,15.96,15.63,15.95,36300000,15.95,AMZN
10-07-2013,1381152600,15.76,15.77,15.49,15.5,41664000,15.5,AMZN
10-08-2013,1381239000,15.57,15.58,15.01,15.16,63324000,15.16,AMZN
