date,date_utc,open,high,low,close,volume,adjclose,symbol
11-05-2012,1352125800,9.83,9.93,9.62,9.75,121104400,8.32,BAC
11-06-2012,1352212200,9.83,9.97,9.75,9.94,132533500,8.49,BAC
11-07-2012,1352298600,9.63,9.67,9.22,9.23,286124300,7.88,BAC
11-08-2012,1352385000,9.49,9.6,9.38,9.39,223927000,8.02,BAC
11-09-2012,1352471400,9.3,9.59,9.27,9.43,141093100,8.05,BAC
11-12-2012,1352730600,9.5,9.52,9.38,9.39,68498300,8.02,BAC
11-13-2012,1352817000,9.31,9.55,9.28,9.33,119629700,7.97,BAC
11-14-2012,1352903400,9.38,9.42,8.95,8.99,197392900,7.68,BAC
11-15-2012,1352989800,9.03,9.2,9.02,9.09,144569800,7.76,BAC
11-16-2012,1353076200,9.12,9.21,8.92,9.12,178995000,7.79,BAC
11-19-2012,1353335400,9.36,9.53,9.32,9.49,146244000,8.1,BAC
11-20-2012,1353421800,9.47,9.68,9.42,9.63,150696200,8.22,BAC
11-21-2012,1353508200,9.67,9.78,9.63,9.77,132499300,8.34,BAC
11-23-2012,1353681000,9.84,9.9,9.8,9.9,59048000,8.45,BAC
11-26-2012,1353940200,9.82,9.87,9.75,9.84,99730900,8.4,BAC
11-27-2012,1354026600,9.89,9.95,9.66,9.66,149684000,8.25,BAC
11-28-2012,1354113000,9.56,9.76,9.38,9.76,152946500,8.33,BAC
11-29-2012,1354199400,9.84,9.88,9.76,9.83,125905400,8.39,BAC
11-30-2012,1354285800,9.78,9.87,9.76,9.86,108739700,8.42,BAC
12-03-2012,1354545000,9.93,9.94,9.78,9.8,99872800,8.37,BAC
12-04-2012,1354631400,9.79,9.91,9.77,9.91,144124500,8.46,BAC
12-05-2012,1354717800,9.97,10.56,9.95,10.46,463491000,8.94,BAC
12-06-2012,1354804200,10.51,10.58,10.29,10.46,176607900,8.94,BAC
12-07-2012,1354890600,10.56,10.68,10.48,10.64,192055100,9.09,BAC
12-10-2012,1355149800,10.6,10.63,10.46,10.57,148065200,9.03,BAC
12-11-2012,1355236200,10.64,10.71,10.5,10.51,159121300,8.98,BAC
