date,date_utc,open,high,low,close,volume,adjclose,symbol
11-05-2012,1352125800,87.02,87.2,85.42,86.86,5171600,86.86,BRK-B
11-06-2012,1352212200,87.25,87.39,86.63,87.29,4425500,87.29,BRK-B
11-07-2012,1352298600,86.75,87.0,85.27,85.45,5832300,85.45,BRK-B
11-08-2012,1352385000,85.6,86.48,84.51,84.58,5360300,84.58,BRK-B
11-09-2012,1352471400,84.4,85.81,83.85,85.18,4806600,85.18,BRK-B
11-12-2012,1352730600,85.4,85.56,85.01,85.27,2656000,85.27,BRK-B
11-13-2012,1352817000,84.83,86.67,84.75,85.87,4764000,85.87,BRK-B
11-14-2012,1352903400,86.14,86.32,84.85,84.88,6157700,84.88,BRK-B
11-15-2012,1352989800,85.17,85.75,84.99,85.3,3898200,85.3,BRK-B
11-16-2012,1353076200,85.42,86.05,84.8,85.91,6037200,85.91,BRK-B
11-19-2012,1353335400,86.72,86.88,86.19,86.76,4305000,86.76,BRK-B
11-20-2012,1353421800,86.61,86.87,86.04,86.79,4140000,86.79,BRK-B
11-21-2012,1353508200,86.98,87.59,86.73,87.58,3749400,87.58,BRK-B
11-23-2012,1353681000,88.0,88.51,87.71,88.5,2093000,88.5,BRK-B
11-26-2012,1353940200,88.3,88.32,87.93,88.29,3069900,88.29,BRK-B
11-27-2012,1354026600,88.29,88.88,87.91,88.08,5076800,88.08,BRK-B
11-28-2012,1354113000,87.84,88.3,87.25,88.27,5053000,88.27,BRK-B
11-29-2012,1354199400,88.51,88.62,87.57,87.97,3738600,87.97,BRK-B
11-30-2012,1354285800,88.01,88.27,87.75,88.08,4375500,88.08,BRK-B
12-03-2012,1354545000,88.28,88.62,87.73,87.75,4414200,87.75,BRK-B
12-04-2012,1354631400,87.89,87.95,87.1,87.27,3531000,87.27,BRK-B
12-05-2012,1354717800,87.45,87.97,87.03,87.62,4557500,87.62,BRK-B
12-06-2012,1354804200,87.61,87.87,87.19,87.49,3616000,87.49,BRK-B
12-07-2012,1354890600,87.79,87.8,87.01,87.33,3892100,87.33,BRK-B
12-10-2012,1355149800,87.3,87.33,87.01,87.1,3354900,87.1,BRK-B
12-11-2012,1355236200,87.32,87.67,86.95,87.27,4166700,87.27,BRK-B
12-12-2012,1355322600,88.0,90.04,87.8,89.32,11077000,89.32,BRK-B
12-13-2012,1355409000,89.47,89.82,89.03,89.44,5568500,89.44,BRK-B
12-14-2012,1355495400,89.5,89.74,89.09,89.15,4726300,89.15,BRK-B
12-17-2012,1355754600,89.75,90.02,89.5,89.98,5503400,89.98,BRK-B
12-18-2012,1355841000,89.97,90.4,89.81,90.37,6580800,90.37,BRK-B
12-19-2012,1355927400,90.37,90.71,89.68,90.1,5137700,90.1,BRK-B
12-20-2012,1356013800,90.3,90.83,90.02,90.69,5745500,90.69,BRK-B
12-21-2012,1356100200,90.09,90.75,89.66,89.83,10074600,89.83,BRK-B
12-24-2012,1356359400,89.79,90.03,89.37,89.83,2565200,89.83,BRK-B
12-26-2012,1356532200,89.93,90.0,89.01,89.26,3409200,89.26,BRK-B
12-27-2012,1356618600,89.22,89.67,88.76,89.22,4478500,89.22,BRK-B
12-28-2012,1356705000,88.86,89.06,88.55,88.55,4482200,88.55,BRK-B
12-31-2012,1356964200,88.49,89.82,88.11,89.7,7011800,89.7,BRK-B
01-02-2013,1357137000,91.32,93.2,91.29,93.2,7529000,93.2,BRK-B
01-03-2013,1357223400,93.11,94.34,92.82,93.62,7174600,93.62,BRK-B
01-04-2013,1357309800,93.74,94.05,93.36,93.85,4142200,93.85,BRK-B
01-07-2013,1357569000,93.8,93.88,93.14,93.45,3987500,93.45,BRK-B
01-08-2013,1357655400,93.38,93.81,92.98,93.81,3657800,93.81,BRK-B
01-09-2013,1357741800,94.08,94.08,93.02,93.32,3505000,93.32,BRK-B
01-10-2013,1357828200,93.78,94.69,93.41,94.65,4682900,94.65,BRK-B
01-11-2013,1357914600,94.72,94.75,94.22,94.39,4269400,94.39,BRK-B
01-14-2013,1358173800,94.55,95.36,94.18,95.36,5144300,95.36,BRK-B
01-15-2013,1358260200,95.11,95.48,94.76,95.36,3625600,95.36,BRK-B
01-16-2013,1358346600,95.2,95.28,94.81,95.03,3810400,95.03,BRK-B
01-17-2013,1358433000,95.44,95.5,94.84,95.3,3954800,95.3,BRK-B
01-18-2013,1358519400,95.5,95.59,94.58,95.16,6390600,95.16,BRK-B
01-22-2013,1358865000,95.16,95.92,94.88,95.91,4293600,95.91,BRK-B
01-23-2013,1358951400,96.0,96.56,95.49,96.48,3679900,96.48,BRK-B
01-24-2013,1359037800,96.59,97.73,96.53,97.31,4830500,97.31,BRK-B
01-25-2013,1359124200,97.71,97.75,96.78,97.39,3808600,97.39,BRK-B
01-28-2013,1359383400,97.42,97.54,96.75,97.12,3603300,97.12,BRK-B
01-29-2013,1359469800,97.31,97.36,96.98,97.24,4329900,97.24,BRK-B
01-30-2013,1359556200,97.32,97.33,96.44,96.88,3948500,96.88,BRK-B
01-31-2013,1359642600,96.5,97.11,96.3,96.93,4425500,96.93,BRK-B
02-01-2013,1359729000,97.56,99.0,97.2,98.0,4350900,98.0,BRK-B
02-04-2013,1359988200,97.76,98.0,96.36,96.51,4226000,96.51,BRK-B
02-05-2013,1360074600,97.17,98.04,97.0,97.91,3340700,97.91,BRK-B
