date,date_utc,open,high,low,close,volume,adjclose,symbol
11-05-2012,1352125800,107.74,109.34,107.74,109.19,4058300,72.14,CVX
11-06-2012,1352212200,109.65,110.69,109.25,110.36,5379400,72.92,CVX
11-07-2012,1352298600,109.24,109.3,106.78,107.51,7627300,71.03,CVX
11-08-2012,1352385000,107.23,107.67,105.87,105.87,6208900,69.95,CVX
11-09-2012,1352471400,105.26,106.69,105.08,105.84,5835100,69.93,CVX
11-12-2012,1352730600,106.45,106.52,105.49,105.93,4001800,69.99,CVX
11-13-2012,1352817000,105.37,106.45,105.2,105.28,4834200,69.56,CVX
11-14-2012,1352903400,104.99,105.01,102.22,102.5,8609400,68.31,CVX
11-15-2012,1352989800,101.99,103.47,100.66,101.62,9774300,67.72,CVX
11-16-2012,1353076200,101.56,102.49,101.0,102.4,8242400,68.24,CVX
11-19-2012,1353335400,103.67,104.35,103.14,104.35,6850900,69.54,CVX
11-20-2012,1353421800,104.01,104.12,102.92,103.56,5283800,69.01,CVX
11-21-2012,1353508200,103.95,104.12,103.41,104.1,3656400,69.37,CVX
11-23-2012,1353681000,104.87,105.47,104.46,105.47,2776400,70.29,CVX
11-26-2012,1353940200,104.75,104.99,104.25,104.99,4354100,69.97,CVX
11-27-2012,1354026600,105.0,105.16,103.2,103.38,6612400,68.89,CVX
11-28-2012,1354113000,102.98,105.62,102.76,105.58,7024200,70.36,CVX
11-29-2012,1354199400,105.89,106.69,105.38,105.79,5756200,70.5,CVX
11-30-2012,1354285800,106.1,106.37,105.27,105.69,6676400,70.43,CVX
12-03-2012,1354545000,106.0,106.07,104.38,104.66,5736400,69.75,CVX
12-04-2012,1354631400,104.4,105.09,103.94,103.96,6665100,69.28,CVX
12-05-2012,1354717800,104.38,105.81,104.0,105.17,6430800,70.09,CVX
12-06-2012,1354804200,105.49,106.5,105.29,106.45,7392300,70.94,CVX
12-07-2012,1354890600,106.73,107.0,106.14,106.99,4947300,71.3,CVX
12-10-2012,1355149800,107.1,107.69,106.47,106.96,5512100,71.28,CVX
