date,date_utc,open,high,low,close,volume,adjclose,symbol
11-05-2012,1352125800,17.05,17.11,16.83,17.01,65681270,17.01,GOOG
11-06-2012,1352212200,17.07,17.1,16.88,16.98,63549309,16.98,GOOG
11-07-2012,1352298600,16.81,16.89,16.6,16.62,89626688,16.62,GOOG
11-08-2012,1352385000,16.69,16.72,16.22,16.25,104269368,16.25,GOOG
11-09-2012,1352471400,16.31,16.65,16.2,16.51,125030896,16.51,GOOG
11-12-2012,1352730600,16.53,16.68,16.46,16.59,56446786,16.59,GOOG
11-13-2012,1352817000,16.51,16.63,16.39,16.41,64007018,16.41,GOOG
11-14-2012,1352903400,16.45,16.49,16.2,16.25,66986143,16.25,GOOG
11-15-2012,1352989800,16.19,16.44,16.04,16.12,74233205,16.12,GOOG
11-16-2012,1353076200,16.09,16.26,15.84,16.12,138043489,16.12,GOOG
11-19-2012,1353335400,16.33,16.66,16.33,16.64,95083064,16.64,GOOG
11-20-2012,1353421800,16.68,16.89,16.55,16.69,83861158,16.69,GOOG
11-21-2012,1353508200,16.66,16.68,16.45,16.58,84804682,16.58,GOOG
11-23-2012,1353681000,16.69,16.69,16.59,16.64,37038310,16.64,GOOG
11-26-2012,1353940200,16.6,16.61,16.41,16.47,88514535,16.47,GOOG
11-27-2012,1354026600,16.44,16.81,16.39,16.71,100724129,16.71,GOOG
11-28-2012,1354113000,16.64,17.06,16.54,17.03,122136087,17.03,GOOG
11-29-2012,1354199400,17.13,17.28,16.99,17.23,111476280,17.23,GOOG
11-30-2012,1354285800,17.22,17.42,17.08,17.39,127018318,17.39,GOOG
12-03-2012,1354545000,17.49,17.58,17.29,17.32,88028721,17.32,GOOG
12-04-2012,1354631400,17.31,17.32,17.08,17.21,79966615,17.21,GOOG
12-05-2012,1354717800,17.24,17.3,16.99,17.13,74775229,17.13,GOOG
12-06-2012,1354804200,17.13,17.33,17.05,17.21,58711242,17.21,GOOG
12-07-2012,1354890600,17.31,17.36,17.0,17.04,77059760,17.04,GOOG
12-10-2012,1355149800,17.07,17.23,17.03,17.07,54872909,17.07,GOOG
12-11-2012,1355236200,17.19,17.48,17.13,17.36,107906951,17.36,GOOG
12-12-2012,1355322600,17.42,17.52,17.27,17.37,97403730,17.37,GOOG
12-13-2012,1355409000,17.83,17.84,17.42,17.5,138312493,17.5,GOOG
12-14-2012,1355495400,17.41,17.63,17.4,17.48,85523366,17.48,GOOG
