date,date_utc,open,high,low,close,volume,adjclose,symbol
11-05-2012,1352125800,17.13,17.19,16.91,17.09,65370564,17.09,GOOGL
11-06-2012,1352212200,17.15,17.18,16.96,17.06,63248688,17.06,GOOGL
11-07-2012,1352298600,16.89,16.97,16.68,16.69,89202708,16.69,GOOGL
11-08-2012,1352385000,16.77,16.8,16.3,16.32,103776120,16.32,GOOGL
11-09-2012,1352471400,16.38,16.73,16.27,16.59,124439436,16.59,GOOGL
11-12-2012,1352730600,16.61,16.76,16.54,16.66,56179764,16.66,GOOGL
11-13-2012,1352817000,16.59,16.71,16.47,16.49,63704232,16.49,GOOGL
11-14-2012,1352903400,16.53,16.57,16.28,16.33,66669264,16.33,GOOGL
11-15-2012,1352989800,16.27,16.52,16.11,16.2,73882044,16.2,GOOGL
11-16-2012,1353076200,16.17,16.34,15.92,16.2,137390472,16.2,GOOGL
11-19-2012,1353335400,16.41,16.74,16.4,16.72,94633272,16.72,GOOGL
11-20-2012,1353421800,16.75,16.97,16.63,16.77,83464452,16.77,GOOGL
11-21-2012,1353508200,16.74,16.76,16.53,16.66,84403512,16.66,GOOGL
11-23-2012,1353681000,16.77,16.77,16.67,16.72,36863100,16.72,GOOGL
11-26-2012,1353940200,16.68,16.69,16.49,16.55,88095816,16.55,GOOGL
11-27-2012,1354026600,16.52,16.89,16.47,16.78,100247652,16.78,GOOGL
11-28-2012,1354113000,16.72,17.14,16.61,17.11,121558320,17.11,GOOGL
11-29-2012,1354199400,17.21,17.36,17.07,17.31,110948940,17.31,GOOGL
11-30-2012,1354285800,17.3,17.5,17.16,17.48,126417456,17.48,GOOGL
12-03-2012,1354545000,17.57,17.66,17.37,17.4,87612300,17.4,GOOGL
12-04-2012,1354631400,17.39,17.41,17.16,17.29,79588332,17.29,GOOGL
12-05-2012,1354717800,17.32,17.38,17.08,17.21,74421504,17.21,GOOGL
12-06-2012,1354804200,17.21,17.41,17.13,17.3,58433508,17.3,GOOGL
12-07-2012,1354890600,17.39,17.44,17.08,17.12,76695228,17.12,GOOGL
12-10-2012,1355149800,17.15,17.31,17.11,17.15,54613332,17.15,GOOGL
12-11-2012,1355236200,17.27,17.57,17.21,17.44,107396496,17.44,GOOGL
12-12-2012,1355322600,17.5,17.61,17.35,17.46,96942960,17.46,GOOGL
12-13-2012,1355409000,17.92,17.93,17.51,17.59,137658204,17.59,GOOGL
12-14-2012,1355495400,17.5,17.71,17.48,17.57,85118796,17.57,GOOGL
12-17-2012,1355754600,17.66,18.07,17.62,18.04,121294584,18.04,GOOGL
12-18-2012,1355841000,17.93,18.25,17.89,18.04,120075804,18.04,GOOGL
12-19-2012,1355927400,18.04,18.09,17.93,18.02,76667256,18.02,GOOGL
12-20-2012,1356013800,18.1,18.13,17.94,18.08,66213720,18.08,GOOGL
12-21-2012,1356100200,17.87,17.99,17.78,17.91,140898960,17.91,GOOGL
12-24-2012,1356359400,17.88,17.9,17.7,17.76,33602364,17.76,GOOGL
12-26-2012,1356532200,17.72,17.84,17.58,17.74,47248704,17.74,GOOGL
12-27-2012,1356618600,17.7,17.74,17.48,17.67,65830104,17.67,GOOGL
12-28-2012,1356705000,17.56,17.69,17.52,17.52,56023920,17.52,GOOGL
12-31-2012,1356964200,17.52,17.78,17.42,17.7,79816104,17.7,GOOGL
01-02-2013,1357137000,18.0,18.19,17.93,18.1,101550348,18.1,GOOGL
01-03-2013,1357223400,18.14,18.32,18.04,18.11,92635272,18.11,GOOGL
01-04-2013,1357309800,18.25,18.56,18.21,18.47,110429460,18.47,GOOGL
01-07-2013,1357569000,18.4,18.5,18.28,18.39,66161772,18.39,GOOGL
01-08-2013,1357655400,18.41,18.43,18.13,18.35,66976956,18.35,GOOGL
01-09-2013,1357741800,18.33,18.48,18.23,18.47,80907012,18.47,GOOGL
01-10-2013,1357828200,18.59,18.64,18.36,18.56,73354572,18.56,GOOGL
01-11-2013,1357914600,18.57,18.58,18.43,18.52,51356592,18.52,GOOGL
01-14-2013,1358173800,18.44,18.57,18.08,18.1,114441444,18.1,GOOGL
01-15-2013,1358260200,18.0,18.39,17.82,18.14,156950892,18.14,GOOGL
01-16-2013,1358346600,18.08,18.13,17.86,17.9,80855064,17.9,GOOGL
01-17-2013,1358433000,17.96,18.01,17.79,17.8,88371540,17.8,GOOGL
01-18-2013,1358519400,17.78,17.84,17.55,17.63,128942928,17.63,GOOGL
01-22-2013,1358865000,17.63,17.65,17.41,17.59,151544304,17.59,GOOGL
01-23-2013,1358951400,18.42,18.74,18.41,18.56,236127636,18.56,GOOGL
01-24-2013,1359037800,18.55,18.94,18.53,18.87,135172692,18.87,GOOGL
01-25-2013,1359124200,18.79,18.98,18.78,18.86,88946964,18.86,GOOGL
01-28-2013,1359383400,18.81,18.91,18.72,18.79,65018916,18.79,GOOGL
01-29-2013,1359469800,18.69,18.94,18.68,18.86,69814116,18.86,GOOGL
01-30-2013,1359556200,18.86,19.04,18.84,18.86,69250680,18.86,GOOGL
01-31-2013,1359642600,18.78,18.96,18.78,18.91,65302632,18.91,GOOGL
02-01-2013,1359729000,18.97,19.43,18.97,19.41,149694156,19.41,GOOGL
02-04-2013,1359988200,19.21,19.28,18.98,18.99,121498380,18.99,GOOGL
02-05-2013,1360074600,19.05,19.3,19.01,19.16,74753172,19.16,GOOGL
02-06-2013,1360161000,19.0,19.34,18.98,19.27,83040876,19.27,GOOGL
02-07-2013,1360247400,19.26,19.49,19.16,19.37,113494392,19.37,GOOGL
02-08-2013,1360333800,19.52,19.69,19.51,19.65,120683196,19.65,GOOGL
02-11-2013,1360593000,19.48,19.59,19.36,19.58,86625288,19.58,GOOGL
02-12-2013,1360679400,19.56,19.72,19.5,19.54,74285640,19.54,GOOGL
02-13-2013,1360765800,19.52,19.65,19.52,19.59,47880072,19.59,GOOGL
02-14-2013,1360852200,19.51,19.74,19.46,19.72,69342588,19.72,GOOGL
02-15-2013,1360938600,19.7,19.85,19.7,19.84,109082808,19.84,GOOGL
02-19-2013,1361284200,19.92,20.2,19.9,20.19,117154728,20.19,GOOGL
02-20-2013,1361370600,20.15,20.24,19.81,19.83,110457432,19.83,GOOGL
02-21-2013,1361457000,19.97,20.16,19.8,19.91,140115744,19.91,GOOGL
02-22-2013,1361543400,20.0,20.05,19.86,20.01,82073844,20.01,GOOGL
02-25-2013,1361802600,20.08,20.23,19.78,19.79,92063844,19.79,GOOGL
02-26-2013,1361889000,19.89,19.92,19.63,19.77,88011900,19.77,GOOGL
02-27-2013,1361975400,19.89,20.14,19.8,20.01,80962956,20.01,GOOGL
02-28-2013,1362061800,20.05,20.19,20.05,20.05,90541368,20.05,GOOGL
03-01-2013,1362148200,19.96,20.2,19.92,20.17,86928984,20.17,GOOGL
03-04-2013,1362407400,20.15,20.59,20.15,20.56,110912976,20.56,GOOGL
03-05-2013,1362493800,20.74,21.02,20.74,20.99,161602236,20.99,GOOGL
03-06-2013,1362580200,21.05,21.12,20.74,20.81,114805080,20.81,GOOGL
03-07-2013,1362666600,20.87,20.94,20.76,20.84,82025892,20.84,GOOGL
03-08-2013,1362753000,20.88,20.89,20.65,20.81,116359524,20.81,GOOGL
03-11-2013,1363008600,20.81,21.01,20.81,20.89,63724212,20.89,GOOGL
03-12-2013,1363095000,20.79,20.82,20.61,20.71,80251668,20.71,GOOGL
03-13-2013,1363181400,20.72,20.79,20.58,20.65,65586348,20.65,GOOGL
03-14-2013,1363267800,20.7,20.7,20.46,20.56,65981952,20.56,GOOGL
03-15-2013,1363354200,20.48,20.53,20.35,20.38,123864012,20.38,GOOGL
03-18-2013,1363613400,20.15,20.34,20.06,20.21,73458468,20.21,GOOGL
03-19-2013,1363699800,20.3,20.5,20.18,20.3,83844072,20.3,GOOGL
03-20-2013,1363786200,20.44,20.46,20.31,20.39,58493448,20.39,GOOGL
03-21-2013,1363872600,20.3,20.44,20.27,20.3,59044896,20.3,GOOGL
03-22-2013,1363959000,20.39,20.4,20.26,20.28,59468472,20.28,GOOGL
03-25-2013,1364218200,20.33,20.5,20.19,20.26,68411520,20.26,GOOGL
03-26-2013,1364304600,20.36,20.37,20.21,20.33,47628324,20.33,GOOGL
03-27-2013,1364391000,20.19,20.2,20.05,20.09,86441472,20.09,GOOGL
03-28-2013,1364477400,20.12,20.15,19.85,19.87,91420488,19.87,GOOGL
04-01-2013,1364823000,19.9,20.08,19.85,20.05,72219708,20.05,GOOGL
04-02-2013,1364909400,20.13,20.39,20.12,20.35,81578340,20.35,GOOGL
04-03-2013,1364995800,20.36,20.38,20.04,20.18,69470460,20.18,GOOGL
04-04-2013,1365082200,20.13,20.16,19.8,19.9,97806096,19.9,GOOGL
04-05-2013,1365168600,19.67,19.69,19.43,19.6,137218644,19.6,GOOGL
04-08-2013,1365427800,19.49,19.51,19.23,19.39,113170716,19.39,GOOGL
04-09-2013,1365514200,19.41,19.61,19.35,19.46,86205708,19.46,GOOGL
04-10-2013,1365600600,19.59,19.83,19.42,19.77,79064856,19.77,GOOGL
04-11-2013,1365687000,19.84,19.85,19.62,19.78,81066852,19.78,GOOGL
04-12-2013,1365773400,19.82,19.82,19.59,19.77,65402532,19.77,GOOGL
04-15-2013,1366032600,19.67,19.94,19.44,19.57,98025876,19.57,GOOGL
04-16-2013,1366119000,19.68,19.92,19.62,19.85,69610320,19.85,GOOGL
04-17-2013,1366205400,19.69,19.79,19.47,19.58,81398520,19.58,GOOGL
04-18-2013,1366291800,19.65,19.66,19.05,19.17,132767100,19.17,GOOGL
04-19-2013,1366378200,19.25,20.11,19.18,20.02,231895872,20.02,GOOGL
04-22-2013,1366637400,20.04,20.12,19.39,20.02,115220664,20.02,GOOGL
04-23-2013,1366723800,20.05,20.41,20.03,20.22,91600308,20.22,GOOGL
04-24-2013,1366810200,20.22,20.47,20.22,20.36,73090836,20.36,GOOGL
04-25-2013,1366896600,20.43,20.43,20.21,20.25,79608312,20.25,GOOGL
04-26-2013,1366983000,20.21,20.21,19.93,20.06,99408492,20.06,GOOGL
04-29-2013,1367242200,20.1,20.59,20.1,20.5,91939968,20.5,GOOGL
04-30-2013,1367328600,20.5,20.71,20.46,20.63,92175732,20.63,GOOGL
05-01-2013,1367415000,20.6,20.64,20.43,20.53,58141800,20.53,GOOGL
05-02-2013,1367501400,20.52,20.88,20.5,20.76,80651268,20.76,GOOGL
05-03-2013,1367587800,20.94,21.19,20.92,21.16,100403496,21.16,GOOGL
05-06-2013,1367847000,21.23,21.57,21.23,21.56,85566348,21.56,GOOGL
05-07-2013,1367933400,21.6,21.62,21.29,21.45,78281640,21.45,GOOGL
05-08-2013,1368019800,21.45,21.87,21.34,21.86,98633268,21.86,GOOGL
05-09-2013,1368106200,21.79,22.01,21.73,21.81,87935976,21.81,GOOGL
05-10-2013,1368192600,21.9,22.04,21.83,22.03,75832092,22.03,GOOGL
05-13-2013,1368451800,21.99,22.08,21.86,21.96,57882060,21.96,GOOGL
05-14-2013,1368538200,21.96,22.24,21.95,22.2,63108828,22.2,GOOGL
05-15-2013,1368624600,22.41,22.93,22.37,22.92,159276564,22.92,GOOGL
05-16-2013,1368711000,23.0,23.02,22.57,22.62,128255616,22.62,GOOGL
05-17-2013,1368797400,22.77,22.86,22.54,22.75,111568320,22.75,GOOGL
05-20-2013,1369056600,22.65,23.04,22.65,22.74,90817092,22.74,GOOGL
05-21-2013,1369143000,22.72,22.81,22.46,22.7,79240680,22.7,GOOGL
05-22-2013,1369229400,22.59,22.76,22.19,22.26,102321576,22.26,GOOGL
05-23-2013,1369315800,21.95,22.27,21.87,22.09,90912996,22.09,GOOGL
05-24-2013,1369402200,21.9,21.99,21.8,21.85,91780128,21.85,GOOGL
05-28-2013,1369747800,22.11,22.33,22.03,22.05,90209700,22.05,GOOGL
05-29-2013,1369834200,21.91,21.97,21.63,21.73,80455464,21.73,GOOGL
05-30-2013,1369920600,21.77,21.99,21.68,21.79,84743172,21.79,GOOGL
05-31-2013,1370007000,21.72,21.95,21.71,21.8,78697224,21.8,GOOGL
06-03-2013,1370266200,21.85,21.87,21.4,21.71,98928972,21.71,GOOGL
06-04-2013,1370352600,21.72,21.79,21.37,21.5,74669256,21.5,GOOGL
06-05-2013,1370439000,21.58,21.76,21.45,21.51,84187728,21.51,GOOGL
06-06-2013,1370525400,21.63,21.68,21.2,21.64,103060836,21.64,GOOGL
06-07-2013,1370611800,21.78,22.02,21.65,22.02,106877016,22.02,GOOGL
06-10-2013,1370871000,22.07,22.3,22.02,22.28,93418488,22.28,GOOGL
06-11-2013,1370957400,22.12,22.2,22.01,22.02,70233696,22.02,GOOGL
06-12-2013,1371043800,22.16,22.17,21.76,21.82,88103808,21.82,GOOGL
06-13-2013,1371130200,21.75,22.01,21.66,21.95,82713204,21.95,GOOGL
06-14-2013,1371216600,22.02,22.14,21.88,21.9,89710200,21.9,GOOGL
06-17-2013,1371475800,22.0,22.26,21.98,22.18,85766148,22.18,GOOGL
06-18-2013,1371562200,22.24,22.55,22.23,22.54,86589324,22.54,GOOGL
06-19-2013,1371648600,22.56,22.79,22.46,22.54,116519364,22.54,GOOGL
06-20-2013,1371735000,22.37,22.55,22.1,22.14,134745120,22.14,GOOGL
06-21-2013,1371821400,22.23,22.27,21.85,22.05,159132708,22.05,GOOGL
06-24-2013,1372080600,21.82,21.93,21.6,21.77,120555324,21.77,GOOGL
06-25-2013,1372167000,21.95,22.01,21.63,21.68,102025872,21.68,GOOGL
06-26-2013,1372253400,21.87,21.97,21.79,21.86,73182744,21.86,GOOGL
06-27-2013,1372339800,21.99,22.14,21.94,21.95,76982940,21.95,GOOGL
06-28-2013,1372426200,21.89,22.07,21.88,22.03,93878028,22.03,GOOGL
07-01-2013,1372685400,22.18,22.32,22.15,22.22,68923008,22.22,GOOGL
07-02-2013,1372771800,22.28,22.3,21.95,22.08,75584340,22.08,GOOGL
07-03-2013,1372858200,22.02,22.25,21.98,22.18,41838120,22.18,GOOGL
07-05-2013,1373031000,22.27,22.41,22.21,22.36,68007924,22.36,GOOGL
07-08-2013,1373290200,22.5,22.68,22.45,22.65,78701220,22.65,GOOGL
07-09-2013,1373376600,22.8,22.85,22.47,22.65,79096824,22.65,GOOGL
07-10-2013,1373463000,22.61,22.8,22.53,22.67,68267664,22.67,GOOGL
07-11-2013,1373549400,22.85,23.04,22.74,23.03,103264632,23.03,GOOGL
07-12-2013,1373635800,23.02,23.1,22.9,23.1,102625272,23.1,GOOGL
07-15-2013,1373895000,23.13,23.22,22.93,23.14,78341580,23.14,GOOGL
07-16-2013,1373981400,23.2,23.22,22.87,23.01,79240680,23.01,GOOGL
07-17-2013,1374067800,23.05,23.19,22.93,22.99,60183756,22.99,GOOGL
07-18-2013,1374154200,23.0,23.02,22.6,22.79,145234620,22.79,GOOGL
07-19-2013,1374240600,22.19,22.6,21.91,22.44,294077628,22.44,GOOGL
07-22-2013,1374499800,22.57,22.84,22.45,22.79,116011872,22.79,GOOGL
07-23-2013,1374586200,22.79,22.85,22.51,22.62,81746172,22.62,GOOGL
07-24-2013,1374672600,22.7,22.78,22.54,22.6,83056860,22.6,GOOGL
07-25-2013,1374759000,22.37,22.44,22.17,22.21,119923956,22.21,GOOGL
07-26-2013,1374845400,22.2,22.27,22.07,22.16,71036892,22.16,GOOGL
07-29-2013,1375104600,22.14,22.39,22.04,22.08,75600324,22.08,GOOGL
07-30-2013,1375191000,22.16,22.41,22.04,22.3,70153776,22.3,GOOGL
07-31-2013,1375277400,22.35,22.44,22.18,22.22,86853060,22.22,GOOGL
08-01-2013,1375363800,22.4,22.64,22.4,22.63,85450464,22.63,GOOGL
08-02-2013,1375450200,22.61,22.7,22.54,22.69,68487444,22.69,GOOGL
08-05-2013,1375709400,22.66,22.66,22.5,22.65,52335612,22.65,GOOGL
08-06-2013,1375795800,22.64,22.77,22.42,22.44,60183756,22.44,GOOGL
08-07-2013,1375882200,22.4,22.48,22.25,22.29,55112832,22.29,GOOGL
08-08-2013,1375968600,22.41,22.42,22.15,22.34,59460480,22.34,GOOGL
08-09-2013,1376055000,22.29,22.41,22.27,22.28,52895052,22.28,GOOGL
