date,date_utc,open,high,low,close,volume,adjclose,symbol
11-05-2012,1352125800,62.02,62.53,61.93,62.38,4904200,49.95,HD
11-06-2012,1352212200,62.59,62.9,62.33,62.62,7017900,50.14,HD
11-07-2012,1352298600,62.34,62.37,61.43,61.99,8778000,49.64,HD
11-08-2012,1352385000,61.8,61.99,60.84,60.86,7251300,48.73,HD
11-09-2012,1352471400,60.66,61.35,60.31,60.96,6562300,48.81,HD
11-12-2012,1352730600,61.24,61.43,60.5,61.16,8353500,48.97,HD
11-13-2012,1352817000,62.35,64.44,62.15,63.38,21441300,50.75,HD
11-14-2012,1352903400,63.24,63.5,61.32,61.47,13379700,49.22,HD
11-15-2012,1352989800,61.27,61.88,61.04,61.25,8204600,49.04,HD
11-16-2012,1353076200,61.03,62.28,61.03,62.12,9059100,49.74,HD
11-19-2012,1353335400,62.49,63.34,62.3,63.33,10036100,50.71,HD
11-20-2012,1353421800,63.22,63.87,63.15,63.82,8560400,51.1,HD
11-21-2012,1353508200,63.66,64.18,63.5,64.09,5574000,51.32,HD
11-23-2012,1353681000,64.28,64.83,64.12,64.82,3721900,51.9,HD
11-26-2012,1353940200,64.6,64.89,64.16,64.67,6719200,51.78,HD
11-27-2012,1354026600,64.01,64.46,63.55,64.16,8234300,51.61,HD
11-28-2012,1354113000,63.87,64.85,63.37,64.83,7759600,52.14,HD
11-29-2012,1354199400,64.56,65.02,64.1,64.24,7629200,51.67,HD
11-30-2012,1354285800,64.4,65.23,64.04,65.07,9271800,52.34,HD
12-03-2012,1354545000,65.0,65.92,64.9,64.98,6696200,52.27,HD
12-04-2012,1354631400,64.93,64.99,64.23,64.24,7787600,51.67,HD
12-05-2012,1354717800,64.17,64.48,63.45,64.02,6050500,51.49,HD
12-06-2012,1354804200,64.06,64.45,63.64,64.34,5837400,51.75,HD
12-07-2012,1354890600,64.6,64.75,64.04,64.45,6092800,51.84,HD
12-10-2012,1355149800,64.34,64.34,63.03,63.04,8150000,50.71,HD
12-11-2012,1355236200,63.27,63.5,62.75,62.89,6880200,50.58,HD
12-12-2012,1355322600,63.19,63.24,62.65,62.93,7216500,50.62,HD
12-13-2012,1355409000,63.04,63.28,62.35,62.41,5875900,50.2,HD
12-14-2012,1355495400,62.33,62.42,61.79,62.06,5783500,49.92,HD
12-17-2012,1355754600,62.15,63.34,61.99,63.31,8188700,50.92,HD
12-18-2012,1355841000,63.39,63.39,62.7,63.0,7751400,50.67,HD
12-19-2012,1355927400,63.13,63.14,61.75,61.77,7597900,49.68,HD
12-20-2012,1356013800,61.45,61.98,61.23,61.97,8436700,49.84,HD
12-21-2012,1356100200,61.32,61.72,60.55,61.32,15929900,49.32,HD
12-24-2012,1356359400,61.01,61.97,61.0,61.57,3022600,49.52,HD
12-26-2012,1356532200,61.52,61.7,61.0,61.14,4453800,49.18,HD
12-27-2012,1356618600,61.03,61.42,60.21,61.07,7184600,49.12,HD
