date,date_utc,open,high,low,close,volume,adjclose,symbol
11-05-2012,1352125800,70.86,71.0,70.47,70.79,6874500,53.79,JNJ
11-06-2012,1352212200,71.0,71.62,70.89,71.01,7927500,53.96,JNJ
11-07-2012,1352298600,70.69,70.99,69.7,70.34,12719700,53.45,JNJ
11-08-2012,1352385000,70.15,70.42,69.65,69.65,12652100,52.93,JNJ
11-09-2012,1352471400,69.56,70.26,69.43,69.87,10511700,53.09,JNJ
11-12-2012,1352730600,69.79,70.05,69.31,69.68,9761000,52.95,JNJ
11-13-2012,1352817000,69.52,70.11,69.4,69.51,8244500,52.82,JNJ
11-14-2012,1352903400,69.63,69.76,69.03,69.27,10470700,52.64,JNJ
11-15-2012,1352989800,68.99,69.2,68.72,69.07,11803600,52.49,JNJ
11-16-2012,1353076200,68.87,69.27,68.51,69.19,14272300,52.58,JNJ
11-19-2012,1353335400,69.54,69.81,69.04,69.25,12337400,52.62,JNJ
11-20-2012,1353421800,69.26,69.71,69.14,69.67,9859500,52.94,JNJ
11-21-2012,1353508200,69.63,69.88,69.45,69.59,7639900,52.88,JNJ
11-23-2012,1353681000,69.08,69.56,68.95,69.56,5450100,53.33,JNJ
11-26-2012,1353940200,69.12,69.5,68.82,69.09,9884800,52.97,JNJ
11-27-2012,1354026600,69.01,69.15,68.73,68.81,8763200,52.75,JNJ
11-28-2012,1354113000,68.71,69.38,68.6,69.29,9983200,53.12,JNJ
11-29-2012,1354199400,69.47,69.56,69.05,69.22,9853400,53.07,JNJ
11-30-2012,1354285800,69.39,69.92,69.18,69.73,13480700,53.46,JNJ
12-03-2012,1354545000,69.8,69.92,69.36,69.65,9928900,53.39,JNJ
12-04-2012,1354631400,69.58,70.49,69.45,69.86,14278100,53.56,JNJ
12-05-2012,1354717800,69.93,70.29,69.58,69.97,11037100,53.64,JNJ
12-06-2012,1354804200,70.34,70.34,69.8,70.05,9459200,53.7,JNJ
12-07-2012,1354890600,70.04,70.52,69.86,70.45,10021300,54.01,JNJ
12-10-2012,1355149800,70.26,70.8,70.26,70.6,9700300,54.12,JNJ
12-11-2012,1355236200,70.93,71.62,70.75,71.1,14933700,54.51,JNJ
12-12-2012,1355322600,71.21,71.37,70.85,70.96,11783300,54.4,JNJ
12-13-2012,1355409000,70.9,71.0,70.62,70.75,8838900,54.24,JNJ
12-14-2012,1355495400,70.62,70.86,70.49,70.69,10263600,54.19,JNJ
12-17-2012,1355754600,70.84,71.18,70.78,70.94,14317200,54.38,JNJ
12-18-2012,1355841000,71.06,71.1,70.5,70.95,16352400,54.39,JNJ
12-19-2012,1355927400,70.91,71.31,70.63,70.63,11865600,54.15,JNJ
12-20-2012,1356013800,70.74,70.9,70.49,70.75,11775800,54.24,JNJ
12-21-2012,1356100200,70.56,70.75,70.06,70.27,22142300,53.87,JNJ
12-24-2012,1356359400,70.32,70.4,69.94,70.02,5006500,53.68,JNJ
12-26-2012,1356532200,69.95,70.36,69.88,70.17,7737300,53.79,JNJ
12-27-2012,1356618600,70.13,70.4,69.8,70.09,10700400,53.73,JNJ
12-28-2012,1356705000,69.84,70.07,69.42,69.48,9691100,53.26,JNJ
12-31-2012,1356964200,69.24,70.11,69.18,70.1,12770000,53.74,JNJ
01-02-2013,1357137000,71.02,71.02,70.3,70.84,12874200,54.31,JNJ
01-03-2013,1357223400,70.98,71.0,70.45,70.74,9598300,54.23,JNJ
01-04-2013,1357309800,71.24,71.73,71.01,71.55,11631800,54.85,JNJ
01-07-2013,1357569000,71.5,71.53,71.19,71.4,7548800,54.74,JNJ
01-08-2013,1357655400,71.31,71.65,71.25,71.41,9825300,54.74,JNJ
01-09-2013,1357741800,71.64,71.85,71.5,71.73,7672800,54.99,JNJ
01-10-2013,1357828200,71.81,72.38,71.74,72.19,11888500,55.34,JNJ
01-11-2013,1357914600,72.19,72.58,72.16,72.35,7766700,55.46,JNJ
01-14-2013,1358173800,72.6,72.79,72.37,72.56,7386000,55.63,JNJ
