date,date_utc,open,high,low,close,volume,adjclose,symbol
11-05-2012,1352125800,42.33,42.36,41.86,42.27,13252500,32.03,JPM
11-06-2012,1352212200,42.57,43.05,42.41,42.88,17190900,32.49,JPM
11-07-2012,1352298600,42.01,42.01,40.31,40.48,47631200,30.67,JPM
11-08-2012,1352385000,41.28,41.5,40.4,40.4,27830900,30.61,JPM
11-09-2012,1352471400,40.31,41.23,39.86,40.62,27553200,30.78,JPM
11-12-2012,1352730600,40.85,40.91,40.3,40.58,12816000,30.75,JPM
11-13-2012,1352817000,40.18,40.52,40.0,40.04,19793500,30.34,JPM
11-14-2012,1352903400,40.21,40.37,39.13,39.29,30986600,29.77,JPM
11-15-2012,1352989800,39.06,39.72,38.97,39.39,24858700,29.85,JPM
11-16-2012,1353076200,39.43,39.67,38.83,39.53,32458000,29.95,JPM
11-19-2012,1353335400,40.09,40.7,40.09,40.59,26781200,30.75,JPM
11-20-2012,1353421800,40.33,41.18,40.25,40.7,19375900,30.84,JPM
11-21-2012,1353508200,40.94,40.98,40.35,40.73,13030200,30.86,JPM
11-23-2012,1353681000,41.1,41.22,40.97,41.09,8316700,31.13,JPM
11-26-2012,1353940200,40.79,40.88,40.09,40.88,20376600,30.97,JPM
11-27-2012,1354026600,40.87,41.2,40.64,40.75,19875000,30.88,JPM
11-28-2012,1354113000,40.49,40.88,39.88,40.83,26106900,30.94,JPM
11-29-2012,1354199400,41.15,41.35,40.91,41.22,18915000,31.23,JPM
11-30-2012,1354285800,40.99,41.34,40.85,41.08,20066600,31.13,JPM
12-03-2012,1354545000,41.27,41.37,40.75,40.81,18955500,30.92,JPM
12-04-2012,1354631400,40.78,40.92,40.2,40.57,24031100,30.74,JPM
12-05-2012,1354717800,40.69,41.49,40.5,41.2,25515600,31.22,JPM
12-06-2012,1354804200,41.25,41.55,41.11,41.47,20541700,31.42,JPM
12-07-2012,1354890600,41.84,42.57,41.73,42.56,34552900,32.25,JPM
12-10-2012,1355149800,42.54,42.67,42.01,42.31,22394500,32.06,JPM
12-11-2012,1355236200,42.6,43.09,42.42,42.64,21955000,32.31,JPM
12-12-2012,1355322600,43.0,43.38,42.7,42.77,23110600,32.41,JPM
12-13-2012,1355409000,42.65,42.92,42.5,42.78,18457000,32.41,JPM
12-14-2012,1355495400,42.77,43.11,42.71,42.81,16208600,32.44,JPM
12-17-2012,1355754600,43.0,43.51,42.81,43.48,23879800,32.94,JPM
12-18-2012,1355841000,43.83,43.94,43.31,43.87,33858600,33.24,JPM
12-19-2012,1355927400,43.99,44.39,43.42,43.53,34348500,32.98,JPM
12-20-2012,1356013800,43.69,44.54,43.41,44.53,25014900,33.74,JPM
12-21-2012,1356100200,43.82,44.2,43.34,44.0,38973500,33.34,JPM
12-24-2012,1356359400,43.72,44.02,43.71,43.92,8621200,33.28,JPM
12-26-2012,1356532200,43.95,44.18,43.72,43.96,11498900,33.31,JPM
12-27-2012,1356618600,43.96,44.02,42.9,43.63,19567000,33.06,JPM
12-28-2012,1356705000,43.1,43.69,43.09,43.24,15401200,32.76,JPM
12-31-2012,1356964200,43.1,44.0,43.05,43.97,24209600,33.32,JPM
01-02-2013,1357137000,44.98,45.0,44.22,44.66,31413000,34.07,JPM
01-03-2013,1357223400,44.74,44.75,44.2,44.57,24227700,34.0,JPM
01-04-2013,1357309800,44.45,45.43,44.44,45.36,24487700,34.61,JPM
01-07-2013,1357569000,45.09,45.49,45.02,45.41,24456900,34.64,JPM
01-08-2013,1357655400,45.4,45.5,44.96,45.5,19624200,34.71,JPM
01-09-2013,1357741800,45.56,46.2,45.14,45.47,25920600,34.69,JPM
01-10-2013,1357828200,45.89,46.16,45.53,46.15,23413600,35.21,JPM
01-11-2013,1357914600,45.97,46.15,45.47,46.14,19723900,35.2,JPM
01-14-2013,1358173800,45.89,46.18,45.48,45.88,19079500,35.0,JPM
01-15-2013,1358260200,45.49,46.47,45.35,46.35,29898000,35.36,JPM
01-16-2013,1358346600,45.91,46.83,45.57,46.82,43453600,35.72,JPM
01-17-2013,1358433000,46.4,46.87,46.29,46.44,41086800,35.43,JPM
01-18-2013,1358519400,46.38,46.6,46.18,46.46,28679100,35.44,JPM
01-22-2013,1358865000,46.25,46.55,46.13,46.54,24257300,35.51,JPM
01-23-2013,1358951400,46.23,46.44,45.92,46.23,19105100,35.27,JPM
01-24-2013,1359037800,46.24,46.8,46.08,46.37,20008200,35.38,JPM
01-25-2013,1359124200,46.74,47.16,46.61,47.16,26009100,35.98,JPM
01-28-2013,1359383400,46.84,47.0,46.48,46.64,19706800,35.58,JPM
01-29-2013,1359469800,46.28,47.16,46.25,47.12,19907400,35.95,JPM
01-30-2013,1359556200,47.04,47.35,46.96,47.13,18631300,35.96,JPM
01-31-2013,1359642600,47.01,47.22,46.88,47.05,19536000,35.89,JPM
02-01-2013,1359729000,47.4,48.0,47.21,47.85,24520000,36.5,JPM
02-04-2013,1359988200,47.54,47.81,47.38,47.68,20822600,36.38,JPM
02-05-2013,1360074600,47.94,48.8,47.93,48.79,28067500,37.22,JPM
02-06-2013,1360161000,48.42,48.83,48.32,48.61,28282600,37.08,JPM
02-07-2013,1360247400,48.65,48.75,47.9,48.23,21429600,36.79,JPM
02-08-2013,1360333800,48.33,48.69,48.26,48.63,15218300,37.1,JPM
02-11-2013,1360593000,48.51,48.9,48.38,48.66,13935900,37.12,JPM
02-12-2013,1360679400,48.8,49.31,48.6,49.14,16388000,37.49,JPM
02-13-2013,1360765800,49.35,49.45,48.5,48.68,21635600,37.14,JPM
02-14-2013,1360852200,48.4,49.29,48.37,49.22,18017800,37.55,JPM
02-15-2013,1360938600,49.35,49.46,48.57,48.88,20016200,37.29,JPM
02-19-2013,1361284200,49.12,49.68,49.12,49.45,20445900,37.73,JPM
02-20-2013,1361370600,49.35,49.54,48.36,48.61,24786700,37.08,JPM
02-21-2013,1361457000,48.41,48.45,47.83,48.25,24437700,36.81,JPM
02-22-2013,1361543400,48.63,48.91,48.41,48.91,23584100,37.31,JPM
02-25-2013,1361802600,49.1,49.2,47.65,47.7,32775500,36.39,JPM
02-26-2013,1361889000,48.22,48.26,46.85,47.6,39401400,36.31,JPM
02-27-2013,1361975400,47.85,49.4,47.76,49.28,31921200,37.6,JPM
02-28-2013,1362061800,49.16,49.55,48.75,48.92,24711500,37.32,JPM
03-01-2013,1362148200,48.6,49.42,48.37,48.91,25923400,37.31,JPM
03-04-2013,1362407400,48.73,49.14,48.33,49.1,17695200,37.46,JPM
03-05-2013,1362493800,49.49,50.11,49.31,49.49,25561100,37.76,JPM
