date,date_utc,open,high,low,close,volume,adjclose,symbol
11-05-2012,1352125800,36.95,36.99,36.63,36.77,12139600,26.85,KO
11-06-2012,1352212200,36.92,37.48,36.86,37.42,11448400,27.32,KO
11-07-2012,1352298600,37.28,37.39,36.4,36.72,16745000,26.81,KO
11-08-2012,1352385000,36.65,37.11,36.36,36.36,12921700,26.55,KO
11-09-2012,1352471400,36.05,36.52,36.05,36.29,11520300,26.5,KO
11-12-2012,1352730600,36.29,36.29,35.99,36.08,10169700,26.35,KO
11-13-2012,1352817000,36.03,36.56,35.98,36.16,12105200,26.4,KO
11-14-2012,1352903400,36.19,36.36,35.87,36.01,13508300,26.29,KO
11-15-2012,1352989800,35.9,36.48,35.86,36.43,17643600,26.6,KO
11-16-2012,1353076200,36.49,36.65,36.27,36.56,15624800,26.7,KO
11-19-2012,1353335400,36.85,37.29,36.81,37.24,14076200,27.19,KO
11-20-2012,1353421800,37.23,37.27,36.85,37.25,12278600,27.2,KO
11-21-2012,1353508200,37.33,37.47,37.22,37.39,8631300,27.3,KO
11-23-2012,1353681000,37.55,37.95,37.49,37.93,5365500,27.7,KO
11-26-2012,1353940200,37.58,37.78,37.23,37.36,13217000,27.28,KO
11-27-2012,1354026600,37.44,37.79,37.34,37.42,11873700,27.32,KO
11-28-2012,1354113000,37.06,37.57,36.8,37.56,14846300,27.61,KO
11-29-2012,1354199400,37.68,37.97,37.5,37.97,12433700,27.92,KO
11-30-2012,1354285800,37.94,37.98,37.66,37.92,13039500,27.88,KO
12-03-2012,1354545000,37.9,37.94,37.33,37.38,12864900,27.48,KO
12-04-2012,1354631400,37.31,37.49,37.14,37.15,11794200,27.31,KO
12-05-2012,1354717800,37.2,37.5,37.08,37.31,14561400,27.43,KO
12-06-2012,1354804200,37.34,37.44,37.3,37.38,8974700,27.48,KO
12-07-2012,1354890600,37.44,37.74,37.39,37.71,10654700,27.72,KO
12-10-2012,1355149800,37.7,37.78,37.51,37.64,8603200,27.67,KO
12-11-2012,1355236200,37.63,37.99,37.58,37.86,10671300,27.83,KO
12-12-2012,1355322600,37.89,37.93,37.5,37.64,14681700,27.67,KO
12-13-2012,1355409000,37.7,37.79,37.53,37.6,11442100,27.64,KO
12-14-2012,1355495400,37.52,37.77,37.5,37.66,11800900,27.69,KO
12-17-2012,1355754600,37.79,37.82,37.38,37.5,17588900,27.57,KO
12-18-2012,1355841000,37.53,37.7,37.13,37.28,17952100,27.41,KO
12-19-2012,1355927400,37.25,37.29,36.77,36.78,17991900,27.04,KO
12-20-2012,1356013800,36.69,37.1,36.65,37.05,16182700,27.24,KO
12-21-2012,1356100200,37.0,37.19,36.53,36.89,27942400,27.12,KO
12-24-2012,1356359400,36.72,36.8,36.57,36.73,4851800,27.0,KO
12-26-2012,1356532200,36.7,36.8,36.24,36.42,9982100,26.78,KO
12-27-2012,1356618600,36.35,36.55,36.2,36.42,11380600,26.78,KO
12-28-2012,1356705000,36.22,36.42,35.95,35.97,14053400,26.45,KO
12-31-2012,1356964200,35.88,36.28,35.58,36.25,15651400,26.65,KO
01-02-2013,1357137000,36.99,37.6,36.66,37.6,21872400,27.64,KO
01-03-2013,1357223400,37.45,37.6,37.11,37.6,16357900,27.64,KO
01-04-2013,1357309800,37.65,37.87,37.52,37.66,15311300,27.69,KO
01-07-2013,1357569000,37.52,37.52,37.1,37.3,14610200,27.42,KO
01-08-2013,1357655400,37.19,37.28,36.91,37.04,14324300,27.23,KO
01-09-2013,1357741800,37.2,37.2,36.83,37.03,10563700,27.22,KO
01-10-2013,1357828200,37.12,37.17,36.76,36.96,15603700,27.17,KO
01-11-2013,1357914600,36.84,36.94,36.52,36.91,15644800,27.14,KO
01-14-2013,1358173800,36.95,37.11,36.8,36.99,11001500,27.19,KO
01-15-2013,1358260200,36.99,37.43,36.8,37.32,12721600,27.44,KO
01-16-2013,1358346600,37.21,37.42,37.12,37.32,9168000,27.44,KO
01-17-2013,1358433000,37.43,37.66,37.33,37.51,12121800,27.58,KO
01-18-2013,1358519400,37.49,37.71,37.31,37.7,14056100,27.72,KO
01-22-2013,1358865000,37.74,37.74,37.05,37.13,21249400,27.3,KO
01-23-2013,1358951400,37.08,37.26,37.04,37.13,13570200,27.3,KO
01-24-2013,1359037800,37.2,37.25,37.0,37.11,13258900,27.28,KO
01-25-2013,1359124200,37.18,37.25,36.91,37.05,14040700,27.24,KO
01-28-2013,1359383400,37.07,37.11,36.86,37.01,13386500,27.21,KO
01-29-2013,1359469800,36.88,37.57,36.86,37.42,17705800,27.51,KO
01-30-2013,1359556200,37.4,37.61,37.32,37.5,13219400,27.57,KO
01-31-2013,1359642600,37.53,37.53,37.11,37.24,12969100,27.38,KO
02-01-2013,1359729000,37.54,37.71,37.37,37.54,11932600,27.6,KO
02-04-2013,1359988200,37.48,37.58,37.3,37.35,9456300,27.46,KO
02-05-2013,1360074600,37.56,38.16,37.56,38.14,17897300,28.04,KO
02-06-2013,1360161000,38.13,38.43,38.0,38.31,16823700,28.17,KO
02-07-2013,1360247400,38.42,39.06,38.35,38.91,18805300,28.61,KO
02-08-2013,1360333800,38.85,38.94,38.6,38.77,12308000,28.5,KO
02-11-2013,1360593000,38.71,38.83,38.41,38.61,12159900,28.39,KO
02-12-2013,1360679400,38.11,38.16,37.28,37.56,30700500,27.61,KO
02-13-2013,1360765800,37.67,37.94,37.01,37.21,19943800,27.36,KO
02-14-2013,1360852200,37.24,37.51,36.7,36.84,22748600,27.08,KO
