date,date_utc,open,high,low,close,volume,adjclose,symbol
11-05-2012,1352125800,48.37,48.9,48.31,48.78,4246100,37.95,LLY
11-06-2012,1352212200,48.8,49.13,48.58,48.78,5705500,37.95,LLY
11-07-2012,1352298600,48.51,49.01,47.54,48.18,9276000,37.48,LLY
11-08-2012,1352385000,48.12,48.22,47.45,47.47,23062400,36.93,LLY
11-09-2012,1352471400,47.14,48.0,47.14,47.47,15307500,36.93,LLY
11-12-2012,1352730600,47.5,48.64,47.39,48.3,7293700,37.58,LLY
11-13-2012,1352817000,47.66,47.96,47.12,47.14,7142600,37.05,LLY
11-14-2012,1352903400,47.24,47.6,46.01,46.22,9323100,36.33,LLY
11-15-2012,1352989800,46.17,46.41,44.88,45.96,6867700,36.12,LLY
11-16-2012,1353076200,46.0,46.25,45.43,45.91,8915600,36.08,LLY
11-19-2012,1353335400,46.3,47.07,46.15,47.03,8489500,36.96,LLY
11-20-2012,1353421800,47.03,47.29,46.75,47.19,4547600,37.09,LLY
11-21-2012,1353508200,47.33,47.44,46.96,47.42,3922900,37.27,LLY
11-23-2012,1353681000,47.48,47.76,47.41,47.74,2254200,37.52,LLY
11-26-2012,1353940200,47.35,47.93,46.89,47.93,7630800,37.67,LLY
11-27-2012,1354026600,47.82,48.27,47.51,47.68,5380000,37.47,LLY
11-28-2012,1354113000,47.63,48.05,47.25,48.04,3654200,37.76,LLY
11-29-2012,1354199400,48.29,48.77,48.23,48.58,4395700,38.18,LLY
11-30-2012,1354285800,48.61,49.15,48.39,49.04,6859200,38.54,LLY
12-03-2012,1354545000,49.21,49.61,48.8,48.92,5651800,38.45,LLY
12-04-2012,1354631400,48.91,49.47,48.85,49.22,5488200,38.69,LLY
12-05-2012,1354717800,49.22,49.7,48.98,49.58,5268300,38.97,LLY
12-06-2012,1354804200,49.63,49.65,49.25,49.4,5151100,38.83,LLY
12-07-2012,1354890600,49.47,49.66,49.2,49.63,2972400,39.01,LLY
12-10-2012,1355149800,49.61,50.31,49.2,50.12,4296900,39.39,LLY
12-11-2012,1355236200,50.21,50.76,50.14,50.6,5401500,39.77,LLY
12-12-2012,1355322600,49.25,50.0,48.81,49.0,18763400,38.51,LLY
12-13-2012,1355409000,49.18,49.27,47.97,48.23,10167100,37.91,LLY
12-14-2012,1355495400,48.05,48.09,47.61,47.79,6357400,37.56,LLY
12-17-2012,1355754600,47.8,48.55,47.78,48.34,7445300,37.99,LLY
12-18-2012,1355841000,48.57,49.54,48.35,49.52,13440200,38.92,LLY
12-19-2012,1355927400,49.42,49.62,48.91,48.92,7036700,38.45,LLY
12-20-2012,1356013800,48.89,49.35,48.71,49.25,6572200,38.71,LLY
12-21-2012,1356100200,48.87,49.69,48.75,49.55,12842500,38.94,LLY
12-24-2012,1356359400,49.46,49.46,48.8,49.04,2765100,38.54,LLY
12-26-2012,1356532200,49.1,49.24,48.62,49.06,3680400,38.56,LLY
12-27-2012,1356618600,48.98,49.39,48.52,48.97,4349100,38.49,LLY
12-28-2012,1356705000,48.65,49.18,48.55,48.6,3646300,38.2,LLY
12-31-2012,1356964200,48.5,49.35,48.38,49.32,5245200,38.76,LLY
01-02-2013,1357137000,49.94,50.31,49.19,49.51,8352400,38.91,LLY
01-03-2013,1357223400,49.52,49.85,49.21,49.72,7448100,39.08,LLY
01-04-2013,1357309800,51.06,51.9,50.69,51.56,13587200,40.52,LLY
01-07-2013,1357569000,51.31,51.9,51.01,51.49,6989100,40.47,LLY
01-08-2013,1357655400,51.42,52.02,51.28,51.88,5246100,40.78,LLY
01-09-2013,1357741800,52.19,53.06,52.0,52.97,7267200,41.63,LLY
01-10-2013,1357828200,53.25,53.53,52.87,53.25,6324400,41.85,LLY
01-11-2013,1357914600,53.36,53.4,52.96,53.11,5126500,41.74,LLY
01-14-2013,1358173800,53.2,53.42,52.75,52.8,6286100,41.5,LLY
01-15-2013,1358260200,52.66,53.36,52.65,53.29,5915600,41.88,LLY
01-16-2013,1358346600,53.17,53.31,52.72,52.93,4467100,41.6,LLY
01-17-2013,1358433000,52.61,53.47,52.52,53.33,4880800,41.92,LLY
01-18-2013,1358519400,53.31,53.77,52.93,53.77,6557400,42.26,LLY
01-22-2013,1358865000,53.72,53.77,53.12,53.44,6089100,42.0,LLY
01-23-2013,1358951400,52.75,52.96,52.2,52.4,10413800,41.18,LLY
01-24-2013,1359037800,52.6,53.26,52.6,53.16,6719100,41.78,LLY
01-25-2013,1359124200,53.17,53.67,53.09,53.21,6028200,41.82,LLY
01-28-2013,1359383400,53.12,53.25,52.46,52.64,8054100,41.37,LLY
01-29-2013,1359469800,52.76,54.87,52.76,54.32,11003300,42.69,LLY
01-30-2013,1359556200,54.23,54.78,53.99,54.15,6316700,42.56,LLY
01-31-2013,1359642600,54.07,54.16,53.21,53.69,5121400,42.2,LLY
02-01-2013,1359729000,53.55,54.48,53.55,54.2,4205500,42.6,LLY
02-04-2013,1359988200,53.84,53.88,53.47,53.55,4968900,42.09,LLY
02-05-2013,1360074600,53.76,54.39,53.76,54.1,3519900,42.52,LLY
02-06-2013,1360161000,53.93,54.16,53.63,53.93,3575100,42.39,LLY
02-07-2013,1360247400,53.85,53.92,53.22,53.78,5233900,42.27,LLY
02-08-2013,1360333800,53.64,54.0,53.56,53.72,17142800,42.22,LLY
02-11-2013,1360593000,53.56,54.06,53.48,53.9,18307300,42.36,LLY
02-12-2013,1360679400,53.74,53.91,53.68,53.8,19666700,42.28,LLY
02-13-2013,1360765800,53.4,53.45,53.26,53.44,4385000,42.39,LLY
02-14-2013,1360852200,53.22,53.58,53.18,53.5,4276900,42.44,LLY
02-15-2013,1360938600,53.5,54.0,53.5,53.59,5482800,42.51,LLY
02-19-2013,1361284200,53.62,54.18,53.6,54.18,3981200,42.97,LLY
02-20-2013,1361370600,54.16,54.68,54.1,54.29,4446300,43.06,LLY
02-21-2013,1361457000,54.11,54.25,53.93,54.02,5512500,42.85,LLY
02-22-2013,1361543400,54.07,54.27,53.53,54.27,5519000,43.05,LLY
02-25-2013,1361802600,54.5,54.93,53.77,53.77,6361000,42.65,LLY
02-26-2013,1361889000,54.08,54.52,53.72,54.43,4772100,43.17,LLY
02-27-2013,1361975400,54.5,54.99,54.26,54.8,3972000,43.47,LLY
02-28-2013,1362061800,54.68,54.98,54.58,54.66,5877500,43.36,LLY
03-01-2013,1362148200,54.31,54.85,54.31,54.78,4592600,43.45,LLY
03-04-2013,1362407400,54.66,54.91,54.53,54.76,4424200,43.43,LLY
03-05-2013,1362493800,54.97,55.74,54.91,55.54,4866800,44.05,LLY
03-06-2013,1362580200,55.58,55.67,54.92,55.08,6787700,43.69,LLY
03-07-2013,1362666600,55.09,55.56,55.08,55.35,3602300,43.9,LLY
03-08-2013,1362753000,55.5,55.59,54.97,55.16,4824800,43.75,LLY
03-11-2013,1363008600,55.06,55.24,54.79,55.07,4766200,43.68,LLY
03-12-2013,1363095000,55.06,55.43,54.95,55.08,3870600,43.69,LLY
03-13-2013,1363181400,55.15,55.27,55.0,55.06,3623700,43.67,LLY
03-14-2013,1363267800,55.46,55.65,54.81,55.07,5357000,43.68,LLY
03-15-2013,1363354200,54.68,55.13,54.39,55.13,10614700,43.73,LLY
03-18-2013,1363613400,54.63,54.95,54.54,54.66,3926500,43.36,LLY
03-19-2013,1363699800,54.83,54.96,54.5,54.79,3337200,43.46,LLY
03-20-2013,1363786200,55.05,55.45,55.02,55.3,3802800,43.86,LLY
03-21-2013,1363872600,55.04,55.29,54.88,55.08,2702500,43.69,LLY
03-22-2013,1363959000,55.25,55.68,55.13,55.57,2811100,44.08,LLY
03-25-2013,1364218200,55.7,55.79,55.26,55.62,4675200,44.12,LLY
03-26-2013,1364304600,55.9,56.68,55.78,56.29,5107900,44.65,LLY
03-27-2013,1364391000,56.03,56.46,55.95,56.37,3417800,44.71,LLY
03-28-2013,1364477400,56.51,56.94,56.32,56.79,4223200,45.05,LLY
04-01-2013,1364823000,56.67,56.8,56.22,56.61,3668000,44.9,LLY
04-02-2013,1364909400,56.63,57.14,56.29,56.5,4040300,44.82,LLY
04-03-2013,1364995800,56.67,57.23,56.58,56.85,5563600,45.09,LLY
