date,date_utc,open,high,low,close,volume,adjclose,symbol
11-05-2012,1352125800,46.73,47.1,46.47,46.56,6169000,43.89,MA
11-06-2012,1352212200,46.86,47.29,46.72,47.18,4120000,44.47,MA
11-07-2012,1352298600,47.0,47.12,46.15,46.47,7637000,43.8,MA
11-08-2012,1352385000,46.43,46.82,46.18,46.18,6203000,43.53,MA
11-09-2012,1352471400,45.85,46.87,45.85,46.47,6420000,43.8,MA
11-12-2012,1352730600,46.57,47.1,46.31,47.0,7025000,44.3,MA
11-13-2012,1352817000,46.71,47.69,46.47,47.12,4959000,44.42,MA
11-14-2012,1352903400,47.27,47.4,46.23,46.33,6080000,43.67,MA
11-15-2012,1352989800,46.29,46.29,45.36,45.72,7071000,43.09,MA
11-16-2012,1353076200,45.85,47.05,45.6,46.46,9029000,43.79,MA
11-19-2012,1353335400,46.94,47.87,46.84,47.87,6813000,45.12,MA
11-20-2012,1353421800,47.9,48.26,47.22,47.76,6804000,45.02,MA
11-21-2012,1353508200,47.84,48.07,47.76,47.94,2927000,45.19,MA
11-23-2012,1353681000,48.08,48.2,47.8,48.12,2391000,45.36,MA
11-26-2012,1353940200,48.02,48.28,47.83,48.0,4976000,45.25,MA
11-27-2012,1354026600,48.01,48.37,47.79,47.85,4877000,45.1,MA
11-28-2012,1354113000,47.57,48.16,47.48,48.15,6584000,45.39,MA
11-29-2012,1354199400,48.42,49.08,48.32,48.62,9080000,45.83,MA
11-30-2012,1354285800,48.58,48.99,48.38,48.87,9826000,46.06,MA
12-03-2012,1354545000,49.1,49.45,48.56,48.67,8497000,45.87,MA
12-04-2012,1354631400,48.76,48.8,48.06,48.34,6430000,45.57,MA
12-05-2012,1354717800,48.3,48.4,47.44,47.8,6645000,45.06,MA
12-06-2012,1354804200,47.58,48.09,47.39,48.09,5977000,45.33,MA
12-07-2012,1354890600,48.17,48.28,47.6,47.61,6389000,44.88,MA
12-10-2012,1355149800,48.04,48.05,47.55,47.96,5770000,45.21,MA
12-11-2012,1355236200,48.0,48.5,47.92,48.15,8577000,45.39,MA
12-12-2012,1355322600,48.2,48.74,48.02,48.34,9512000,45.57,MA
12-13-2012,1355409000,48.59,48.76,48.25,48.44,5680000,45.66,MA
12-14-2012,1355495400,48.12,48.48,48.03,48.23,5346000,45.46,MA
12-17-2012,1355754600,48.34,48.99,48.11,48.93,7181000,46.12,MA
12-18-2012,1355841000,49.0,49.5,48.78,49.29,6621000,46.46,MA
12-19-2012,1355927400,49.48,49.49,48.89,48.94,5629000,46.13,MA
12-20-2012,1356013800,49.22,49.86,48.95,49.85,9358000,46.99,MA
12-21-2012,1356100200,49.3,49.69,48.83,49.36,8320000,46.53,MA
12-24-2012,1356359400,49.29,49.63,49.25,49.5,2695000,46.66,MA
12-26-2012,1356532200,49.45,49.59,48.5,48.62,5749000,45.83,MA
12-27-2012,1356618600,48.6,49.29,48.11,48.79,6233000,45.99,MA
12-28-2012,1356705000,48.5,48.87,48.28,48.31,4686000,45.54,MA
12-31-2012,1356964200,48.34,49.19,48.29,49.13,6562000,46.31,MA
01-02-2013,1357137000,50.63,51.03,50.1,51.03,12278000,48.1,MA
01-03-2013,1357223400,51.05,51.55,50.81,51.1,9452000,48.17,MA
01-04-2013,1357309800,51.12,51.22,50.7,51.1,11475000,48.17,MA
01-07-2013,1357569000,51.25,52.13,51.17,51.95,11398000,49.0,MA
01-08-2013,1357655400,52.0,52.1,51.49,51.78,6983000,48.84,MA
01-09-2013,1357741800,52.52,53.24,52.27,53.24,11461000,50.21,MA
01-10-2013,1357828200,53.25,53.25,52.43,52.76,12564000,49.77,MA
01-11-2013,1357914600,52.75,52.98,52.55,52.87,6424000,49.86,MA
01-14-2013,1358173800,52.96,53.0,52.12,52.35,9911000,49.38,MA
01-15-2013,1358260200,52.22,52.34,51.92,52.28,5858000,49.31,MA
01-16-2013,1358346600,51.64,52.26,51.5,52.13,6190000,49.17,MA
01-17-2013,1358433000,52.47,52.67,52.13,52.33,5250000,49.36,MA
01-18-2013,1358519400,51.96,52.15,51.34,52.1,10769000,49.14,MA
01-22-2013,1358865000,52.48,52.48,51.46,51.98,7462000,49.02,MA
01-23-2013,1358951400,51.96,52.25,51.51,51.76,4991000,48.82,MA
01-24-2013,1359037800,51.79,52.57,51.77,52.23,5869000,49.26,MA
01-25-2013,1359124200,52.28,52.28,51.72,51.94,7157000,48.99,MA
01-28-2013,1359383400,52.09,52.09,51.35,51.41,8002000,48.49,MA
01-29-2013,1359469800,51.41,52.08,51.4,51.85,8833000,48.9,MA
01-30-2013,1359556200,51.66,52.16,51.39,51.6,11601000,48.67,MA
01-31-2013,1359642600,53.2,53.53,51.3,51.84,20412000,48.89,MA
02-01-2013,1359729000,52.08,52.25,51.37,51.87,9949000,48.92,MA
02-04-2013,1359988200,51.63,51.8,51.21,51.42,6152000,48.5,MA
02-05-2013,1360074600,52.04,52.2,51.68,52.07,7983000,49.11,MA
02-06-2013,1360161000,52.01,52.39,51.81,52.35,6016000,49.38,MA
02-07-2013,1360247400,52.19,52.33,51.63,51.96,6517000,49.0,MA
02-08-2013,1360333800,51.85,52.45,51.83,52.45,5214000,49.47,MA
02-11-2013,1360593000,52.56,52.62,51.92,52.08,5616000,49.13,MA
02-12-2013,1360679400,52.09,52.21,51.85,51.96,3379000,49.01,MA
02-13-2013,1360765800,52.13,52.19,51.62,51.92,4096000,48.97,MA
02-14-2013,1360852200,51.62,52.33,51.62,52.22,6656000,49.25,MA
02-15-2013,1360938600,51.63,52.49,51.63,52.31,7032000,49.34,MA
02-19-2013,1361284200,52.5,52.65,52.1,52.29,4234000,49.31,MA
02-20-2013,1361370600,52.2,52.42,51.29,51.29,5377000,48.38,MA
02-21-2013,1361457000,51.4,52.09,51.06,51.96,6814000,49.01,MA
02-22-2013,1361543400,52.29,52.44,51.73,52.38,6591000,49.41,MA
02-25-2013,1361802600,52.53,52.6,51.09,51.09,8672000,48.19,MA
02-26-2013,1361889000,51.35,51.58,50.74,50.97,7955000,48.07,MA
02-27-2013,1361975400,51.1,51.62,50.8,51.52,6994000,48.59,MA
02-28-2013,1362061800,51.52,52.14,51.34,51.78,6148000,48.84,MA
03-01-2013,1362148200,51.5,51.95,51.33,51.83,4142000,48.88,MA
03-04-2013,1362407400,51.6,52.24,51.58,52.14,3486000,49.18,MA
03-05-2013,1362493800,52.25,53.08,52.19,52.71,5895000,49.71,MA
03-06-2013,1362580200,52.55,53.12,52.33,52.76,5179000,49.76,MA
03-07-2013,1362666600,52.77,53.0,52.57,52.67,6685000,49.67,MA
03-08-2013,1362753000,53.01,53.03,52.45,52.92,5068000,49.92,MA
03-11-2013,1363008600,52.96,53.25,52.84,53.09,4091000,50.07,MA
03-12-2013,1363095000,52.99,53.1,52.22,52.32,4798000,49.34,MA
03-13-2013,1363181400,52.23,52.84,52.11,52.75,4715000,49.75,MA
03-14-2013,1363267800,52.85,53.13,52.67,52.72,5567000,49.72,MA
03-15-2013,1363354200,52.6,52.88,51.82,51.94,11598000,48.99,MA
