date,date_utc,open,high,low,close,volume,adjclose,symbol
11-05-2012,1352125800,21.1,21.48,20.92,21.25,31806700,21.25,META
11-06-2012,1352212200,21.24,21.37,20.99,21.17,29062700,21.17,META
11-07-2012,1352298600,20.85,20.95,20.37,20.47,33396800,20.47,META
11-08-2012,1352385000,20.52,20.73,19.98,19.99,34254600,19.99,META
11-09-2012,1352471400,19.96,20.0,19.13,19.21,42295500,19.21,META
11-12-2012,1352730600,19.15,20.17,18.87,20.07,67349200,20.07,META
11-13-2012,1352817000,19.61,20.11,19.56,19.86,71775100,19.86,META
11-14-2012,1352903400,20.1,22.5,19.93,22.36,229751000,22.36,META
11-15-2012,1352989800,22.34,22.5,21.65,22.17,78857700,22.17,META
11-16-2012,1353076200,22.25,23.93,22.18,23.56,107182200,23.56,META
11-19-2012,1353335400,23.96,24.12,22.82,22.92,85021300,22.92,META
11-20-2012,1353421800,22.73,23.9,22.7,23.1,46655300,23.1,META
11-21-2012,1353508200,23.22,24.53,23.05,24.32,89862400,24.32,META
11-23-2012,1353681000,24.58,24.68,23.88,24.0,29520900,24.0,META
11-26-2012,1353940200,24.94,26.09,24.81,25.94,123865000,25.94,META
11-27-2012,1354026600,26.04,26.5,25.46,26.15,85760600,26.15,META
11-28-2012,1354113000,25.94,26.49,25.75,26.36,49205600,26.36,META
11-29-2012,1354199400,26.5,27.52,26.16,27.32,88759700,27.32,META
11-30-2012,1354285800,27.26,28.0,26.76,28.0,127049600,28.0,META
12-03-2012,1354545000,28.0,28.88,26.98,27.04,123526100,27.04,META
12-04-2012,1354631400,27.06,27.76,26.68,27.46,72869200,27.46,META
12-05-2012,1354717800,27.75,27.9,27.26,27.71,58976300,27.71,META
12-06-2012,1354804200,27.68,27.75,26.82,26.97,46001500,26.97,META
12-07-2012,1354890600,27.07,27.78,26.84,27.49,51751900,27.49,META
12-10-2012,1355149800,27.17,28.17,27.1,27.84,50608500,27.84,META
12-11-2012,1355236200,28.07,28.24,27.66,27.98,77099100,27.98,META
12-12-2012,1355322600,28.0,28.14,27.37,27.58,46704200,27.58,META
12-13-2012,1355409000,27.59,28.75,27.43,28.24,81051600,28.24,META
12-14-2012,1355495400,28.18,28.33,26.76,26.81,91631600,26.81,META
12-17-2012,1355754600,26.77,27.0,26.32,26.75,57742500,26.75,META
12-18-2012,1355841000,26.96,27.91,26.9,27.71,60512900,27.71,META
12-19-2012,1355927400,27.83,28.22,26.95,27.41,61390300,27.41,META
12-20-2012,1356013800,27.49,27.6,27.13,27.36,35574800,27.36,META
12-21-2012,1356100200,26.66,27.01,26.12,26.26,54555200,26.26,META
12-24-2012,1356359400,26.5,26.96,26.2,26.93,28230100,26.93,META
12-26-2012,1356532200,27.03,27.18,26.38,26.51,33175400,26.51,META
12-27-2012,1356618600,26.55,26.8,25.52,26.05,43481700,26.05,META
12-28-2012,1356705000,25.48,26.11,25.15,25.91,56574800,25.91,META
12-31-2012,1356964200,26.2,26.99,26.11,26.62,60374500,26.62,META
01-02-2013,1357137000,27.44,28.18,27.42,28.0,69846400,28.0,META
01-03-2013,1357223400,27.88,28.47,27.59,27.77,63140600,27.77,META
01-04-2013,1357309800,28.01,28.93,27.83,28.76,72715400,28.76,META
01-07-2013,1357569000,28.69,29.79,28.65,29.42,83781800,29.42,META
01-08-2013,1357655400,29.51,29.6,28.86,29.06,45871300,29.06,META
01-09-2013,1357741800,29.67,30.6,29.49,30.59,104787700,30.59,META
01-10-2013,1357828200,30.6,31.45,30.28,31.3,95316400,31.3,META
01-11-2013,1357914600,31.28,31.96,31.1,31.72,89598000,31.72,META
01-14-2013,1358173800,32.08,32.21,30.62,30.95,98892800,30.95,META
01-15-2013,1358260200,30.64,31.71,29.88,30.1,173242600,30.1,META
01-16-2013,1358346600,30.21,30.35,29.53,29.85,75332700,29.85,META
01-17-2013,1358433000,30.08,30.42,30.03,30.14,40256700,30.14,META
