date,date_utc,open,high,low,close,volume,adjclose,symbol
11-05-2012,1352125800,43.72,43.89,43.23,43.58,9412298,31.64,MRK
11-06-2012,1352212200,43.6,44.2,43.59,43.82,9154594,31.81,MRK
11-07-2012,1352298600,43.46,43.58,42.16,42.42,25223159,30.8,MRK
11-08-2012,1352385000,42.47,42.72,41.83,41.83,17113735,30.37,MRK
11-09-2012,1352471400,41.69,42.29,41.62,42.03,14666970,30.52,MRK
11-12-2012,1352730600,42.43,42.48,41.87,42.0,7681630,30.5,MRK
11-13-2012,1352817000,41.77,42.42,41.67,41.68,10059857,30.26,MRK
11-14-2012,1352903400,41.7,41.89,40.94,41.08,14888831,29.82,MRK
11-15-2012,1352989800,40.99,41.16,40.6,40.84,12872794,29.65,MRK
11-16-2012,1353076200,40.88,41.25,40.42,41.1,17435052,29.84,MRK
11-19-2012,1353335400,41.34,41.41,41.12,41.35,9630806,30.02,MRK
11-20-2012,1353421800,41.43,41.67,41.26,41.56,11428545,30.18,MRK
11-21-2012,1353508200,41.79,41.92,41.63,41.88,7637824,30.4,MRK
11-23-2012,1353681000,41.98,42.26,41.91,42.25,4692734,30.68,MRK
11-26-2012,1353940200,41.98,42.3,41.91,42.18,9831393,30.62,MRK
11-27-2012,1354026600,42.01,42.17,41.84,41.87,9294922,30.4,MRK
11-28-2012,1354113000,41.75,42.57,41.55,42.56,11124310,30.9,MRK
11-29-2012,1354199400,42.89,42.89,42.44,42.66,10018356,30.97,MRK
11-30-2012,1354285800,42.5,42.66,42.1,42.27,15738026,30.69,MRK
12-03-2012,1354545000,42.43,42.78,42.39,42.4,12177865,30.79,MRK
12-04-2012,1354631400,42.35,42.73,42.35,42.37,10476751,30.76,MRK
12-05-2012,1354717800,42.3,42.71,42.2,42.36,12206056,30.75,MRK
12-06-2012,1354804200,42.41,42.55,42.35,42.47,9240216,30.83,MRK
12-07-2012,1354890600,42.49,42.6,42.14,42.59,8247236,30.92,MRK
12-10-2012,1355149800,42.42,42.78,42.39,42.44,9796180,30.81,MRK
12-11-2012,1355236200,42.61,43.21,42.46,43.12,14235508,31.31,MRK
12-12-2012,1355322600,43.14,43.41,42.96,43.19,11790000,31.35,MRK
12-13-2012,1355409000,42.88,42.88,41.89,41.94,14404131,30.74,MRK
12-14-2012,1355495400,41.89,41.95,41.42,41.55,13818928,30.45,MRK
