date,date_utc,open,high,low,close,volume,adjclose,symbol
11-05-2012,1352125800,29.62,29.74,29.33,29.63,38070800,24.3,MSFT
11-06-2012,1352212200,29.82,30.2,29.61,29.86,43401500,24.49,MSFT
11-07-2012,1352298600,29.53,29.83,29.05,29.08,57871800,23.85,MSFT
11-08-2012,1352385000,29.12,29.37,28.8,28.81,49841800,23.63,MSFT
11-09-2012,1352471400,28.88,29.19,28.81,28.83,43291200,23.65,MSFT
11-12-2012,1352730600,28.94,29.01,28.21,28.22,61112300,23.14,MSFT
11-13-2012,1352817000,27.02,27.3,26.75,27.09,131689200,22.4,MSFT
11-14-2012,1352903400,27.24,27.29,26.8,26.84,76086100,22.19,MSFT
11-15-2012,1352989800,26.88,26.97,26.63,26.66,50955600,22.05,MSFT
11-16-2012,1353076200,26.67,26.7,26.34,26.52,64083300,21.93,MSFT
11-19-2012,1353335400,26.8,26.8,26.47,26.73,57179300,22.1,MSFT
11-20-2012,1353421800,26.76,26.8,26.46,26.71,47070400,22.09,MSFT
11-21-2012,1353508200,26.71,27.17,26.67,26.95,66360300,22.28,MSFT
11-23-2012,1353681000,27.23,27.77,27.2,27.7,57845700,22.91,MSFT
11-26-2012,1353940200,27.54,27.58,27.17,27.39,85198700,22.65,MSFT
11-27-2012,1354026600,27.36,27.38,27.04,27.08,45018600,22.39,MSFT
11-28-2012,1354113000,27.01,27.39,26.77,27.36,53018400,22.62,MSFT
11-29-2012,1354199400,27.11,27.36,26.86,26.95,69551400,22.28,MSFT
11-30-2012,1354285800,27.05,27.13,26.49,26.62,83690200,22.01,MSFT
12-03-2012,1354545000,26.78,26.82,26.4,26.43,53173800,21.85,MSFT
12-04-2012,1354631400,26.5,26.63,26.34,26.37,49777500,21.81,MSFT
12-05-2012,1354717800,26.38,26.93,26.26,26.67,68283800,22.05,MSFT
12-06-2012,1354804200,26.81,26.98,26.61,26.73,39182300,22.1,MSFT
12-07-2012,1354890600,26.82,26.82,26.37,26.46,46162100,21.88,MSFT
12-10-2012,1355149800,26.56,26.97,26.52,26.94,47031100,22.28,MSFT
12-11-2012,1355236200,27.05,27.49,27.05,27.32,52282800,22.59,MSFT
12-12-2012,1355322600,27.53,27.62,27.08,27.24,43966300,22.52,MSFT
12-13-2012,1355409000,27.32,27.52,26.95,27.11,45080100,22.42,MSFT
12-14-2012,1355495400,27.11,27.13,26.7,26.81,42077500,22.17,MSFT
12-17-2012,1355754600,26.79,27.22,26.68,27.1,42046100,22.41,MSFT
12-18-2012,1355841000,27.25,27.63,27.14,27.56,50486900,22.79,MSFT
12-19-2012,1355927400,27.69,27.73,27.25,27.31,53519900,22.58,MSFT
12-20-2012,1356013800,27.36,27.68,27.15,27.68,52607300,22.89,MSFT
12-21-2012,1356100200,27.45,27.49,27.0,27.45,98776500,22.7,MSFT
12-24-2012,1356359400,27.2,27.25,27.0,27.06,20842400,22.38,MSFT
12-26-2012,1356532200,27.03,27.2,26.7,26.86,31631100,22.21,MSFT
12-27-2012,1356618600,26.89,27.09,26.57,26.96,39394000,22.29,MSFT
12-28-2012,1356705000,26.71,26.9,26.55,26.55,28239900,21.95,MSFT
12-31-2012,1356964200,26.59,26.77,26.37,26.71,42749500,22.09,MSFT
01-02-2013,1357137000,27.25,27.73,27.15,27.62,52899300,22.84,MSFT
01-03-2013,1357223400,27.63,27.65,27.16,27.25,48294400,22.53,MSFT
01-04-2013,1357309800,27.27,27.34,26.73,26.74,52521100,22.11,MSFT
01-07-2013,1357569000,26.77,26.88,26.64,26.69,37110400,22.07,MSFT
01-08-2013,1357655400,26.75,26.79,26.46,26.55,44703100,21.95,MSFT
01-09-2013,1357741800,26.72,26.75,26.56,26.7,49047900,22.08,MSFT
01-10-2013,1357828200,26.65,26.98,26.29,26.46,71431300,21.88,MSFT
01-11-2013,1357914600,26.49,26.93,26.28,26.83,55512100,22.19,MSFT
01-14-2013,1358173800,26.9,27.08,26.76,26.89,48324400,22.24,MSFT
01-15-2013,1358260200,26.83,27.29,26.83,27.21,48244500,22.5,MSFT
01-16-2013,1358346600,27.15,27.23,27.01,27.04,41077400,22.36,MSFT
01-17-2013,1358433000,27.19,27.47,27.06,27.25,51685900,22.53,MSFT
01-18-2013,1358519400,27.1,27.29,27.04,27.25,52167700,22.53,MSFT
01-22-2013,1358865000,27.3,27.45,27.0,27.15,58650600,22.45,MSFT
01-23-2013,1358951400,27.2,27.64,27.2,27.61,50387700,22.83,MSFT
01-24-2013,1359037800,27.7,28.07,27.47,27.63,101739300,22.85,MSFT
01-25-2013,1359124200,27.58,28.23,27.39,27.88,81847700,23.05,MSFT
01-28-2013,1359383400,28.01,28.23,27.76,27.91,56056500,23.08,MSFT
01-29-2013,1359469800,27.82,28.13,27.6,28.01,49242600,23.16,MSFT
01-30-2013,1359556200,28.01,28.19,27.76,27.85,43580500,23.03,MSFT
01-31-2013,1359642600,27.79,27.97,27.4,27.45,50530000,22.7,MSFT
02-01-2013,1359729000,27.67,28.05,27.55,27.93,55565900,23.1,MSFT
02-04-2013,1359988200,27.87,28.02,27.42,27.44,50540000,22.69,MSFT
02-05-2013,1360074600,27.62,27.66,27.36,27.5,35410400,22.74,MSFT
02-06-2013,1360161000,27.38,27.54,27.25,27.34,41889600,22.61,MSFT
02-07-2013,1360247400,27.35,27.39,27.1,27.28,38028300,22.56,MSFT
02-08-2013,1360333800,27.35,27.71,27.31,27.55,33318500,22.78,MSFT
02-11-2013,1360593000,27.65,27.92,27.5,27.86,32247700,23.04,MSFT
02-12-2013,1360679400,27.88,28.0,27.75,27.88,35990900,23.05,MSFT
02-13-2013,1360765800,27.93,28.11,27.88,28.03,41715600,23.18,MSFT
02-14-2013,1360852200,27.92,28.06,27.87,28.04,32663200,23.19,MSFT
02-15-2013,1360938600,28.04,28.16,27.88,28.01,49650900,23.16,MSFT
02-19-2013,1361284200,27.88,28.09,27.8,28.05,38781400,23.39,MSFT
02-20-2013,1361370600,28.13,28.2,27.83,27.87,44110200,23.24,MSFT
02-21-2013,1361457000,27.74,27.74,27.23,27.49,49078500,22.92,MSFT
02-22-2013,1361543400,27.68,27.76,27.48,27.76,31425900,23.14,MSFT
02-25-2013,1361802600,27.97,28.05,27.37,27.37,48011800,22.82,MSFT
02-26-2013,1361889000,27.38,27.6,27.34,27.37,49923300,22.82,MSFT
02-27-2013,1361975400,27.42,28.0,27.33,27.81,36394700,23.19,MSFT
02-28-2013,1362061800,27.88,27.97,27.74,27.8,35840200,23.18,MSFT
03-01-2013,1362148200,27.72,27.98,27.52,27.95,34849700,23.3,MSFT
03-04-2013,1362407400,27.85,28.15,27.7,28.15,38157500,23.47,MSFT
03-05-2013,1362493800,28.29,28.54,28.16,28.35,41432200,23.64,MSFT
03-06-2013,1362580200,28.21,28.23,27.78,28.09,51448500,23.42,MSFT
03-07-2013,1362666600,28.11,28.28,28.01,28.14,29196700,23.46,MSFT
03-08-2013,1362753000,28.25,28.33,27.96,28.0,37667800,23.34,MSFT
03-11-2013,1363008600,27.94,27.97,27.67,27.87,36627500,23.24,MSFT
03-12-2013,1363095000,27.84,27.95,27.64,27.91,39255200,23.27,MSFT
03-13-2013,1363181400,27.87,28.02,27.75,27.92,29093400,23.28,MSFT
03-14-2013,1363267800,28.0,28.16,27.93,28.14,55914800,23.46,MSFT
03-15-2013,1363354200,28.03,28.16,27.98,28.04,92710300,23.38,MSFT
03-18-2013,1363613400,27.88,28.28,27.81,28.1,44809400,23.43,MSFT
03-19-2013,1363699800,28.12,28.22,28.03,28.18,51901600,23.49,MSFT
03-20-2013,1363786200,28.34,28.49,28.18,28.32,35447800,23.61,MSFT
03-21-2013,1363872600,28.11,28.36,28.05,28.11,34233200,23.44,MSFT
03-22-2013,1363959000,28.19,28.34,28.1,28.25,28720900,23.55,MSFT
03-25-2013,1364218200,28.3,28.35,27.96,28.16,44154000,23.48,MSFT
03-26-2013,1364304600,28.24,28.34,28.11,28.16,27824300,23.48,MSFT
03-27-2013,1364391000,28.14,28.45,28.08,28.37,36047400,23.65,MSFT
03-28-2013,1364477400,28.32,28.66,28.26,28.61,55453800,23.85,MSFT
04-01-2013,1364823000,28.64,28.66,28.36,28.61,29201100,23.85,MSFT
04-02-2013,1364909400,28.59,28.85,28.52,28.8,28456500,24.01,MSFT
04-03-2013,1364995800,28.75,28.95,28.54,28.56,35062800,23.81,MSFT
04-04-2013,1365082200,28.39,28.61,28.27,28.6,45263200,23.85,MSFT
04-05-2013,1365168600,28.22,28.78,28.11,28.7,50927300,23.93,MSFT
04-08-2013,1365427800,28.73,28.73,28.47,28.59,34759500,23.84,MSFT
04-09-2013,1365514200,28.73,29.82,28.68,29.61,77733800,24.69,MSFT
04-10-2013,1365600600,29.57,30.32,29.52,30.28,71116700,25.25,MSFT
04-11-2013,1365687000,29.1,29.2,28.73,28.94,130923200,24.13,MSFT
04-12-2013,1365773400,28.85,29.02,28.66,28.79,62886300,24.0,MSFT
