date,date_utc,open,high,low,close,volume,adjclose,symbol
11-05-2012,1352125800,3.12,3.27,3.12,3.26,44484000,2.99,NVDA
11-06-2012,1352212200,3.26,3.26,3.2,3.25,35080400,2.99,NVDA
11-07-2012,1352298600,3.23,3.25,3.14,3.15,32462000,2.89,NVDA
11-08-2012,1352385000,3.19,3.27,3.16,3.17,83902400,2.91,NVDA
11-09-2012,1352471400,3.19,3.22,3.04,3.05,84628000,2.8,NVDA
11-12-2012,1352730600,3.05,3.07,2.95,2.98,64362400,2.74,NVDA
11-13-2012,1352817000,2.96,3.03,2.95,2.96,49212000,2.71,NVDA
11-14-2012,1352903400,2.97,3.01,2.88,2.88,61930000,2.65,NVDA
11-15-2012,1352989800,2.9,2.98,2.88,2.9,46668800,2.66,NVDA
11-16-2012,1353076200,2.9,2.91,2.79,2.85,62455200,2.61,NVDA
11-19-2012,1353335400,2.9,2.93,2.86,2.92,40409200,2.69,NVDA
11-20-2012,1353421800,2.89,2.91,2.84,2.87,33697600,2.65,NVDA
11-21-2012,1353508200,2.87,2.96,2.87,2.95,42231200,2.73,NVDA
11-23-2012,1353681000,2.97,3.01,2.95,2.97,27693200,2.75,NVDA
11-26-2012,1353940200,2.98,3.04,2.97,3.03,36460000,2.8,NVDA
11-27-2012,1354026600,3.02,3.09,2.99,3.04,45140400,2.81,NVDA
11-28-2012,1354113000,3.03,3.08,2.99,3.07,39833200,2.83,NVDA
11-29-2012,1354199400,3.07,3.09,3.0,3.01,48868800,2.78,NVDA
11-30-2012,1354285800,3.01,3.03,2.97,2.99,46050400,2.76,NVDA
12-03-2012,1354545000,3.03,3.03,2.93,2.94,39138000,2.71,NVDA
12-04-2012,1354631400,2.94,3.03,2.92,3.03,52806800,2.79,NVDA
12-05-2012,1354717800,3.0,3.02,2.95,2.99,63302400,2.76,NVDA
12-06-2012,1354804200,2.98,3.02,2.97,2.99,41289600,2.77,NVDA
12-07-2012,1354890600,3.0,3.01,2.95,2.99,33828800,2.76,NVDA
12-10-2012,1355149800,2.99,3.11,2.98,3.09,51364400,2.85,NVDA
12-11-2012,1355236200,3.1,3.2,3.09,3.16,81672400,2.92,NVDA
12-12-2012,1355322600,3.17,3.19,3.12,3.13,39940400,2.89,NVDA
12-13-2012,1355409000,3.13,3.19,3.1,3.13,37755600,2.89,NVDA
