date,date_utc,open,high,low,close,volume,adjclose,symbol
11-05-2012,1352125800,68.57,69.08,68.32,69.0,4759100,51.69,PEP
11-06-2012,1352212200,69.03,69.61,68.76,69.35,4800300,51.95,PEP
11-07-2012,1352298600,69.17,69.4,68.54,68.99,5913100,51.68,PEP
11-08-2012,1352385000,68.89,69.3,68.6,68.79,5531800,51.53,PEP
11-09-2012,1352471400,68.63,69.15,68.56,68.85,5598700,51.58,PEP
11-12-2012,1352730600,68.78,68.97,68.57,68.61,3906400,51.4,PEP
11-13-2012,1352817000,68.72,69.17,68.51,68.58,3791000,51.38,PEP
11-14-2012,1352903400,68.56,68.71,68.04,68.17,4711100,51.07,PEP
11-15-2012,1352989800,68.12,68.31,67.72,68.19,4668900,51.08,PEP
11-16-2012,1353076200,68.02,68.5,67.79,68.31,5178400,51.17,PEP
11-19-2012,1353335400,68.57,68.8,68.16,68.78,5512100,51.53,PEP
11-20-2012,1353421800,68.6,68.93,68.32,68.91,5457000,51.62,PEP
11-21-2012,1353508200,68.98,69.4,68.68,69.31,4106000,51.92,PEP
11-23-2012,1353681000,69.5,70.36,69.5,70.19,3427900,52.58,PEP
11-26-2012,1353940200,69.79,70.05,69.6,70.0,3855800,52.44,PEP
11-27-2012,1354026600,69.92,70.42,69.69,70.11,4794900,52.52,PEP
11-28-2012,1354113000,69.91,70.59,69.81,70.35,4434100,52.7,PEP
11-29-2012,1354199400,70.39,70.64,70.17,70.31,4284700,52.67,PEP
11-30-2012,1354285800,70.31,70.35,69.74,70.21,6664600,52.6,PEP
12-03-2012,1354545000,70.32,70.41,69.8,69.87,4769200,52.34,PEP
12-04-2012,1354631400,69.84,70.02,69.65,69.86,3644900,52.34,PEP
12-05-2012,1354717800,69.5,70.09,69.3,69.71,4841900,52.63,PEP
12-06-2012,1354804200,69.81,70.02,69.75,70.02,4086200,52.86,PEP
12-07-2012,1354890600,70.06,70.27,69.85,70.26,3891300,53.04,PEP
12-10-2012,1355149800,70.02,70.33,70.0,70.21,4124000,53.01,PEP
12-11-2012,1355236200,70.21,70.89,70.09,70.42,5840800,53.16,PEP
12-12-2012,1355322600,70.5,70.75,70.16,70.24,4483400,53.03,PEP
12-13-2012,1355409000,70.32,70.46,70.1,70.21,4325200,53.01,PEP
12-14-2012,1355495400,70.1,70.45,70.01,70.16,5068300,52.97,PEP
12-17-2012,1355754600,70.26,70.58,70.1,70.37,5934100,53.13,PEP
12-18-2012,1355841000,70.27,70.77,70.0,70.53,5549700,53.25,PEP
12-19-2012,1355927400,70.55,70.65,69.85,69.88,6275900,52.76,PEP
12-20-2012,1356013800,70.03,70.25,69.67,70.11,6478200,52.93,PEP
12-21-2012,1356100200,69.98,70.09,69.23,69.63,8748000,52.57,PEP
12-24-2012,1356359400,69.33,69.6,69.01,69.43,2071300,52.42,PEP
12-26-2012,1356532200,69.41,69.43,68.58,68.84,3731400,51.97,PEP
12-27-2012,1356618600,68.75,68.93,68.18,68.67,4748100,51.84,PEP
12-28-2012,1356705000,68.34,68.69,68.01,68.02,3764500,51.35,PEP
12-31-2012,1356964200,67.78,68.45,67.39,68.43,5899600,51.66,PEP
01-02-2013,1357137000,69.18,69.48,68.64,69.33,8055900,52.34,PEP
01-03-2013,1357223400,69.28,69.48,69.05,69.36,5200100,52.36,PEP
01-04-2013,1357309800,69.29,69.63,69.1,69.46,4512300,52.44,PEP
01-07-2013,1357569000,69.53,69.69,69.16,69.45,5658400,52.43,PEP
01-08-2013,1357655400,69.25,69.7,69.25,69.66,5072500,52.59,PEP
01-09-2013,1357741800,69.95,70.04,69.57,70.01,6280900,52.85,PEP
01-10-2013,1357828200,70.19,70.92,70.16,70.81,6923200,53.46,PEP
01-11-2013,1357914600,70.72,70.89,70.56,70.88,4668900,53.51,PEP
01-14-2013,1358173800,70.89,71.42,70.77,71.29,5631800,53.82,PEP
01-15-2013,1358260200,71.17,71.74,70.87,71.6,5546100,54.05,PEP
01-16-2013,1358346600,71.33,71.8,71.26,71.48,5001000,53.96,PEP
01-17-2013,1358433000,71.64,72.47,71.3,72.43,7495700,54.68,PEP
01-18-2013,1358519400,72.22,72.54,72.13,72.48,7741200,54.72,PEP
01-22-2013,1358865000,72.39,72.45,72.02,72.2,7042200,54.51,PEP
