date,date_utc,open,high,low,close,volume,adjclose,symbol
11-05-2012,1352125800,23.17,23.45,23.17,23.32,21531428,16.3,PFE
11-06-2012,1352212200,23.35,23.68,23.31,23.44,31404246,16.38,PFE
11-07-2012,1352298600,23.21,23.36,22.76,22.93,52061276,16.17,PFE
11-08-2012,1352385000,22.92,23.15,22.79,22.92,37608196,16.16,PFE
11-09-2012,1352471400,22.83,23.17,22.79,22.93,34255000,16.17,PFE
11-12-2012,1352730600,22.91,23.13,22.79,22.87,24773005,16.13,PFE
11-13-2012,1352817000,22.77,23.08,22.63,22.82,27530796,16.09,PFE
11-14-2012,1352903400,22.81,22.87,22.52,22.59,33072096,15.93,PFE
11-15-2012,1352989800,22.5,22.69,22.34,22.45,28889191,15.83,PFE
11-16-2012,1353076200,22.42,22.66,22.4,22.64,44181888,15.96,PFE
11-19-2012,1353335400,22.8,23.0,22.65,22.9,37695151,16.15,PFE
11-20-2012,1353421800,22.88,23.04,22.7,23.04,28652674,16.24,PFE
11-21-2012,1353508200,23.12,23.13,22.96,23.1,29470789,16.29,PFE
11-23-2012,1353681000,23.16,23.27,23.12,23.27,26588415,16.41,PFE
11-26-2012,1353940200,23.09,23.26,23.06,23.24,37703793,16.38,PFE
11-27-2012,1354026600,23.02,23.2,22.98,23.01,32539826,16.22,PFE
11-28-2012,1354113000,22.99,23.43,22.91,23.41,31162248,16.5,PFE
11-29-2012,1354199400,23.44,23.65,23.44,23.58,33352881,16.62,PFE
11-30-2012,1354285800,23.63,23.8,23.45,23.74,39200895,16.74,PFE
12-03-2012,1354545000,23.76,24.0,23.72,23.8,29809333,16.79,PFE
12-04-2012,1354631400,23.76,23.98,23.74,23.88,31957385,16.84,PFE
12-05-2012,1354717800,23.85,24.47,23.85,24.33,47992731,17.15,PFE
12-06-2012,1354804200,24.24,24.46,24.21,24.3,33158418,17.13,PFE
12-07-2012,1354890600,24.22,24.3,23.87,24.25,32428840,17.1,PFE
12-10-2012,1355149800,24.12,24.29,24.06,24.11,28340795,17.0,PFE
12-11-2012,1355236200,24.22,24.46,24.21,24.33,32344941,17.15,PFE
12-12-2012,1355322600,24.31,24.43,24.14,24.2,31448725,17.07,PFE
12-13-2012,1355409000,24.13,24.34,24.03,24.03,27886837,16.95,PFE
12-14-2012,1355495400,23.93,24.07,23.86,23.89,27318415,16.85,PFE
12-17-2012,1355754600,23.88,24.17,23.86,24.06,30144084,16.97,PFE
12-18-2012,1355841000,24.05,24.38,23.98,24.33,34869904,17.15,PFE
12-19-2012,1355927400,24.32,24.47,24.02,24.05,30866706,16.96,PFE
12-20-2012,1356013800,24.02,24.14,23.96,24.13,27061450,17.01,PFE
12-21-2012,1356100200,24.09,24.21,23.77,23.8,65008507,16.78,PFE
12-24-2012,1356359400,23.73,23.92,23.72,23.8,11437376,16.78,PFE
12-26-2012,1356532200,23.77,24.03,23.76,23.95,23038332,16.89,PFE
12-27-2012,1356618600,23.88,23.93,23.54,23.85,26014512,16.82,PFE
12-28-2012,1356705000,23.72,23.89,23.61,23.61,22778837,16.65,PFE
12-31-2012,1356964200,23.41,23.81,23.37,23.8,35543831,16.78,PFE
01-02-2013,1357137000,24.22,24.58,24.03,24.58,35332399,17.33,PFE
01-03-2013,1357223400,24.65,24.66,24.25,24.53,35580300,17.29,PFE
01-04-2013,1357309800,24.53,24.66,24.44,24.63,30149565,17.37,PFE
01-07-2013,1357569000,24.58,24.72,24.45,24.65,27172015,17.38,PFE
01-08-2013,1357655400,24.67,24.91,24.65,24.69,32734078,17.41,PFE
01-09-2013,1357741800,24.88,25.2,24.85,25.11,36057551,17.71,PFE
01-10-2013,1357828200,25.16,25.4,25.04,25.39,35926433,17.9,PFE
01-11-2013,1357914600,25.37,25.46,25.14,25.16,29319856,17.74,PFE
01-14-2013,1358173800,25.25,25.5,25.19,25.37,25330360,17.89,PFE
01-15-2013,1358260200,25.23,25.28,25.14,25.26,31553914,17.81,PFE
01-16-2013,1358346600,25.17,25.26,25.14,25.25,30049856,17.8,PFE
01-17-2013,1358433000,25.38,25.58,25.27,25.46,39122372,17.95,PFE
01-18-2013,1358519400,25.22,25.3,24.99,25.18,57740228,17.76,PFE
01-22-2013,1358865000,25.21,25.31,25.07,25.31,34011315,17.85,PFE
01-23-2013,1358951400,25.16,25.37,25.09,25.28,32838951,17.83,PFE
01-24-2013,1359037800,25.49,25.9,25.46,25.47,46845030,17.96,PFE
01-25-2013,1359124200,25.6,25.62,25.39,25.62,54951871,18.06,PFE
01-28-2013,1359383400,25.71,25.75,25.46,25.46,48228194,17.96,PFE
01-29-2013,1359469800,25.56,26.41,25.46,26.28,80102314,18.53,PFE
01-30-2013,1359556200,26.12,26.25,25.99,26.1,47638060,18.57,PFE
01-31-2013,1359642600,26.02,26.16,25.88,25.88,34747323,18.41,PFE
02-01-2013,1359729000,26.17,26.38,25.97,26.21,36676987,18.65,PFE
02-04-2013,1359988200,25.97,26.07,25.78,25.78,32521802,18.34,PFE
02-05-2013,1360074600,25.84,26.19,25.83,26.1,28883711,18.57,PFE
02-06-2013,1360161000,26.02,26.09,25.89,25.92,29236801,18.44,PFE
02-07-2013,1360247400,25.93,25.96,25.55,25.58,40492677,18.19,PFE
02-08-2013,1360333800,25.58,25.65,25.42,25.5,39466608,18.14,PFE
02-11-2013,1360593000,25.51,25.83,25.51,25.75,27722308,18.32,PFE
02-12-2013,1360679400,25.75,25.79,25.61,25.61,22303062,18.21,PFE
02-13-2013,1360765800,25.63,25.8,25.46,25.62,25194816,18.22,PFE
02-14-2013,1360852200,25.53,25.75,25.44,25.67,25517235,18.26,PFE
02-15-2013,1360938600,25.76,26.02,25.73,25.89,31177636,18.42,PFE
02-19-2013,1361284200,26.0,26.29,25.98,26.29,29956788,18.7,PFE
02-20-2013,1361370600,26.23,26.33,26.14,26.16,27465343,18.61,PFE
02-21-2013,1361457000,26.01,26.13,25.83,26.01,25840918,18.5,PFE
02-22-2013,1361543400,26.07,26.09,25.74,25.98,31332153,18.48,PFE
02-25-2013,1361802600,25.82,25.95,25.46,25.46,37458528,18.11,PFE
02-26-2013,1361889000,25.51,25.71,25.45,25.65,31605244,18.24,PFE
02-27-2013,1361975400,25.55,26.13,25.54,26.01,25699787,18.5,PFE
02-28-2013,1362061800,25.97,26.22,25.96,25.97,31720341,18.47,PFE
03-01-2013,1362148200,25.79,26.04,25.76,25.99,30636302,18.48,PFE
03-04-2013,1362407400,25.91,26.28,25.86,26.27,26275271,18.69,PFE
03-05-2013,1362493800,26.35,26.76,26.35,26.63,32779716,18.94,PFE
03-06-2013,1362580200,26.66,26.76,26.5,26.68,28585850,18.98,PFE
03-07-2013,1362666600,26.74,26.93,26.68,26.82,29190319,19.08,PFE
03-08-2013,1362753000,26.88,26.91,26.6,26.75,28489198,19.02,PFE
03-11-2013,1363008600,26.72,26.86,26.66,26.8,26867830,19.06,PFE
