date,date_utc,open,high,low,close,volume,adjclose,symbol
11-05-2012,1352125800,69.22,69.22,68.35,68.67,6525700,51.22,PG
11-06-2012,1352212200,68.6,69.0,68.36,68.93,6639800,51.41,PG
11-07-2012,1352298600,68.82,68.87,67.79,68.06,8849600,50.76,PG
11-08-2012,1352385000,67.98,68.09,66.9,66.91,7917700,49.91,PG
11-09-2012,1352471400,66.83,67.46,66.76,67.01,8147700,49.98,PG
11-12-2012,1352730600,67.15,67.4,66.91,67.08,4371300,50.03,PG
11-13-2012,1352817000,66.77,67.6,66.77,66.85,6769100,49.86,PG
11-14-2012,1352903400,66.89,67.06,66.29,66.53,9680100,49.62,PG
11-15-2012,1352989800,66.76,67.0,65.83,66.32,9290000,49.47,PG
11-16-2012,1353076200,66.36,66.97,66.14,66.82,11354200,49.84,PG
11-19-2012,1353335400,66.99,67.92,66.86,67.92,8741400,50.66,PG
11-20-2012,1353421800,67.81,68.49,67.76,68.3,7611600,50.94,PG
11-21-2012,1353508200,68.16,68.5,67.97,68.47,6201400,51.07,PG
11-23-2012,1353681000,68.75,69.61,68.71,69.59,4598200,51.9,PG
11-26-2012,1353940200,69.14,69.57,69.05,69.48,7493600,51.82,PG
11-27-2012,1354026600,69.2,69.48,68.91,68.99,8154300,51.46,PG
11-28-2012,1354113000,69.0,69.74,68.9,69.44,11255800,51.79,PG
11-29-2012,1354199400,69.41,69.8,69.13,69.5,8783800,51.84,PG
11-30-2012,1354285800,69.37,69.89,69.37,69.83,8886800,52.08,PG
12-03-2012,1354545000,69.84,69.93,69.5,69.58,7404600,51.9,PG
12-04-2012,1354631400,69.5,69.85,69.07,69.31,6634900,51.7,PG
12-05-2012,1354717800,69.48,69.88,69.08,69.41,7623400,51.77,PG
12-06-2012,1354804200,69.48,70.24,69.44,69.95,10686900,52.17,PG
12-07-2012,1354890600,69.85,70.66,69.85,70.29,11590900,52.43,PG
12-10-2012,1355149800,70.12,70.42,70.03,70.22,8124100,52.37,PG
12-11-2012,1355236200,70.29,70.97,70.14,70.66,9298000,52.7,PG
12-12-2012,1355322600,70.76,70.99,70.61,70.76,8405900,52.78,PG
12-13-2012,1355409000,70.55,70.64,69.9,70.13,8478200,52.31,PG
12-14-2012,1355495400,69.92,70.47,69.78,69.93,8997600,52.16,PG
12-17-2012,1355754600,69.95,70.15,69.62,69.93,8791500,52.16,PG
12-18-2012,1355841000,69.89,70.28,69.43,69.97,13568900,52.19,PG
12-19-2012,1355927400,69.76,69.99,68.77,69.34,10304800,51.72,PG
12-20-2012,1356013800,69.3,70.25,69.3,69.82,10218200,52.08,PG
12-21-2012,1356100200,69.43,69.82,68.38,68.72,17746900,51.26,PG
12-24-2012,1356359400,68.67,68.69,68.24,68.52,3578800,51.11,PG
12-26-2012,1356532200,68.57,68.59,67.7,68.0,6937000,50.72,PG
12-27-2012,1356618600,67.88,68.16,67.41,67.97,7648800,50.7,PG
12-28-2012,1356705000,67.73,67.91,67.06,67.15,6463300,50.08,PG
12-31-2012,1356964200,67.0,67.97,66.83,67.89,9061900,50.64,PG
01-02-2013,1357137000,68.65,69.39,68.35,69.39,9987000,51.76,PG
01-03-2013,1357223400,69.44,69.5,68.94,68.95,7741900,51.43,PG
01-04-2013,1357309800,69.01,69.17,68.68,69.09,5853700,51.53,PG
01-07-2013,1357569000,68.92,68.92,68.38,68.62,5269800,51.18,PG
01-08-2013,1357655400,68.52,68.73,68.4,68.51,7362000,51.1,PG
01-09-2013,1357741800,68.77,69.11,68.61,68.88,5762900,51.38,PG
01-10-2013,1357828200,68.98,69.29,68.68,69.27,12855000,51.67,PG
01-11-2013,1357914600,69.3,69.3,69.01,69.22,12193500,51.63,PG
01-14-2013,1358173800,69.31,69.97,69.23,69.63,11570700,51.93,PG
01-15-2013,1358260200,69.16,69.96,69.15,69.88,7563400,52.12,PG
01-16-2013,1358346600,69.42,69.7,69.11,69.34,7061000,52.14,PG
01-17-2013,1358433000,69.56,69.96,69.34,69.67,6263300,52.39,PG
01-18-2013,1358519400,69.69,70.0,69.67,69.94,10610800,52.59,PG
01-22-2013,1358865000,69.86,69.98,69.75,69.95,8313600,52.6,PG
01-23-2013,1358951400,69.84,70.7,69.8,70.69,10588600,53.15,PG
01-24-2013,1359037800,70.68,70.85,70.2,70.42,8877200,52.95,PG
01-25-2013,1359124200,71.75,73.25,71.75,73.25,28760300,55.08,PG
01-28-2013,1359383400,73.73,74.23,73.19,73.77,14010000,55.47,PG
01-29-2013,1359469800,73.55,75.31,73.52,75.0,17576700,56.39,PG
01-30-2013,1359556200,74.75,75.48,74.67,75.08,12677800,56.45,PG
01-31-2013,1359642600,74.83,75.26,74.67,75.16,11661500,56.51,PG
02-01-2013,1359729000,75.3,75.97,75.17,75.92,12204000,57.09,PG
02-04-2013,1359988200,75.69,75.8,74.95,75.25,11086000,56.58,PG
02-05-2013,1360074600,75.44,76.69,75.32,75.7,14851700,56.92,PG
02-06-2013,1360161000,75.32,76.19,75.04,76.15,17015800,57.26,PG
02-07-2013,1360247400,75.98,76.42,75.79,76.15,9897000,57.26,PG
02-08-2013,1360333800,76.15,76.48,75.56,75.75,9130700,56.96,PG
02-11-2013,1360593000,75.41,75.92,75.12,75.81,6928200,57.0,PG
02-12-2013,1360679400,75.96,76.31,75.81,75.98,6281000,57.13,PG
02-13-2013,1360765800,76.01,76.58,75.98,76.56,7113300,57.57,PG
02-14-2013,1360852200,76.3,76.97,76.25,76.78,10049400,57.73,PG
02-15-2013,1360938600,76.72,76.96,76.21,76.54,11165600,57.55,PG
02-19-2013,1361284200,76.56,77.77,76.49,77.38,11783500,58.18,PG
02-20-2013,1361370600,77.27,77.52,76.92,77.08,9275400,57.96,PG
02-21-2013,1361457000,76.28,77.2,75.9,77.04,10305200,57.93,PG
02-22-2013,1361543400,77.05,77.19,76.75,76.99,8433200,57.89,PG
02-25-2013,1361802600,77.07,77.67,75.92,75.92,9970400,57.09,PG
02-26-2013,1361889000,75.99,76.38,75.77,76.08,8378900,57.21,PG
02-27-2013,1361975400,75.95,76.95,75.7,76.75,7567800,57.71,PG
02-28-2013,1362061800,76.66,76.91,76.17,76.18,10466900,57.28,PG
03-01-2013,1362148200,75.7,76.72,75.56,76.49,9599700,57.51,PG
03-04-2013,1362407400,76.25,76.68,75.97,76.68,7631000,57.66,PG
03-05-2013,1362493800,76.78,77.39,76.72,77.05,9716200,57.93,PG
03-06-2013,1362580200,77.01,77.45,76.81,77.2,7194700,58.05,PG
03-07-2013,1362666600,77.22,77.49,76.78,76.9,7111400,57.82,PG
03-08-2013,1362753000,77.01,77.2,76.46,77.18,7252800,58.03,PG
03-11-2013,1363008600,77.02,77.39,76.9,77.35,6621000,58.16,PG
03-12-2013,1363095000,77.19,77.45,77.0,77.17,7016700,58.03,PG
03-13-2013,1363181400,77.07,77.1,76.52,76.8,6340300,57.75,PG
03-14-2013,1363267800,76.87,77.47,76.83,77.39,8079100,58.19,PG
03-15-2013,1363354200,77.08,77.38,76.34,76.34,15237000,57.4,PG
03-18-2013,1363613400,75.9,76.55,75.8,76.16,7081800,57.27,PG
03-19-2013,1363699800,76.14,77.18,76.11,77.11,9326400,57.98,PG
03-20-2013,1363786200,77.29,77.82,77.27,77.58,8615800,58.33,PG
03-21-2013,1363872600,77.42,77.67,77.14,77.21,6319500,58.06,PG
03-22-2013,1363959000,77.18,77.45,77.0,77.27,5868400,58.1,PG
03-25-2013,1364218200,77.27,77.62,76.44,76.68,6843600,57.66,PG
03-26-2013,1364304600,77.02,77.5,76.89,77.4,5386000,58.2,PG
03-27-2013,1364391000,76.98,77.11,76.57,77.06,5274600,57.94,PG
