date,date_utc,open,high,low,close,volume,adjclose,symbol
11-05-2012,1352125800,1.99,2.11,1.96,2.1,30733500,2.1,TSLA
11-06-2012,1352212200,2.04,2.08,2.0,2.08,34860000,2.08,TSLA
11-07-2012,1352298600,2.07,2.14,2.05,2.1,25717500,2.1,TSLA
11-08-2012,1352385000,2.07,2.13,2.06,2.09,19110000,2.09,TSLA
11-09-2012,1352471400,2.04,2.06,1.99,2.02,12945000,2.02,TSLA
11-12-2012,1352730600,2.02,2.09,2.01,2.07,8338500,2.07,TSLA
11-13-2012,1352817000,2.09,2.13,2.05,2.11,14974500,2.11,TSLA
11-14-2012,1352903400,2.13,2.14,2.08,2.09,13069500,2.09,TSLA
11-15-2012,1352989800,2.09,2.1,2.03,2.05,14760000,2.05,TSLA
11-16-2012,1353076200,2.08,2.13,2.04,2.12,13630500,2.12,TSLA
11-19-2012,1353335400,2.14,2.22,2.12,2.19,20886000,2.19,TSLA
11-20-2012,1353421800,2.19,2.21,2.13,2.2,13837500,2.2,TSLA
11-21-2012,1353508200,2.17,2.23,2.15,2.16,14448000,2.16,TSLA
11-23-2012,1353681000,2.17,2.19,2.11,2.14,6454500,2.14,TSLA
11-26-2012,1353940200,2.14,2.15,2.11,2.15,7437000,2.15,TSLA
11-27-2012,1354026600,2.14,2.18,2.1,2.14,13662000,2.14,TSLA
11-28-2012,1354113000,2.13,2.29,2.13,2.22,22878000,2.22,TSLA
11-29-2012,1354199400,2.23,2.27,2.19,2.25,16551000,2.25,TSLA
11-30-2012,1354285800,2.24,2.29,2.2,2.25,21304500,2.25,TSLA
12-03-2012,1354545000,2.26,2.33,2.23,2.31,31285500,2.31,TSLA
12-04-2012,1354631400,2.27,2.32,2.24,2.26,18949500,2.26,TSLA
12-05-2012,1354717800,2.25,2.28,2.24,2.25,9922500,2.25,TSLA
12-06-2012,1354804200,2.25,2.32,2.23,2.26,9906000,2.26,TSLA
12-07-2012,1354890600,2.29,2.3,2.26,2.28,9966000,2.28,TSLA
12-10-2012,1355149800,2.3,2.32,2.28,2.3,13947000,2.3,TSLA
12-11-2012,1355236200,2.31,2.37,2.3,2.35,23589000,2.35,TSLA
12-12-2012,1355322600,2.35,2.39,2.33,2.35,30957000,2.35,TSLA
12-13-2012,1355409000,2.35,2.35,2.18,2.24,32269500,2.24,TSLA
12-14-2012,1355495400,2.25,2.29,2.24,2.25,15345000,2.25,TSLA
12-17-2012,1355754600,2.25,2.3,2.25,2.29,12373500,2.29,TSLA
12-18-2012,1355841000,2.28,2.34,2.28,2.31,23308500,2.31,TSLA
12-19-2012,1355927400,2.32,2.35,2.3,2.31,19482000,2.31,TSLA
12-20-2012,1356013800,2.3,2.32,2.27,2.3,13818000,2.3,TSLA
12-21-2012,1356100200,2.26,2.28,2.24,2.27,22386000,2.27,TSLA
12-24-2012,1356359400,2.24,2.29,2.24,2.29,5637000,2.29,TSLA
12-26-2012,1356532200,2.26,2.3,2.23,2.24,9021000,2.24,TSLA
12-27-2012,1356618600,2.23,2.26,2.2,2.25,8416500,2.25,TSLA
12-28-2012,1356705000,2.23,2.24,2.2,2.21,6211500,2.21,TSLA
12-31-2012,1356964200,2.2,2.26,2.2,2.26,8923500,2.26,TSLA
01-02-2013,1357137000,2.33,2.36,2.31,2.36,17922000,2.36,TSLA
01-03-2013,1357223400,2.35,2.36,2.32,2.32,11130000,2.32,TSLA
01-04-2013,1357309800,2.32,2.32,2.26,2.29,10110000,2.29,TSLA
01-07-2013,1357569000,2.32,2.32,2.26,2.29,6630000,2.29,TSLA
01-08-2013,1357655400,2.3,2.3,2.21,2.25,19260000,2.25,TSLA
01-09-2013,1357741800,2.27,2.28,2.23,2.24,10470000,2.24,TSLA
01-10-2013,1357828200,2.26,2.27,2.23,2.24,13837500,2.24,TSLA
01-11-2013,1357914600,2.27,2.27,2.14,2.19,23448000,2.19,TSLA
01-14-2013,1358173800,2.21,2.23,2.19,2.22,13876500,2.22,TSLA
01-15-2013,1358260200,2.21,2.28,2.21,2.26,24363000,2.26,TSLA
01-16-2013,1358346600,2.26,2.28,2.25,2.27,20673000,2.27,TSLA
01-17-2013,1358433000,2.28,2.32,2.26,2.29,21550500,2.29,TSLA
01-18-2013,1358519400,2.32,2.32,2.25,2.3,53326500,2.3,TSLA
01-22-2013,1358865000,2.3,2.37,2.28,2.35,28803000,2.35,TSLA
01-23-2013,1358951400,2.33,2.42,2.33,2.4,23464500,2.4,TSLA
01-24-2013,1359037800,2.4,2.51,2.39,2.47,29556000,2.47,TSLA
01-25-2013,1359124200,2.47,2.5,2.45,2.47,19317000,2.47,TSLA
01-28-2013,1359383400,2.46,2.58,2.46,2.54,29790000,2.54,TSLA
01-29-2013,1359469800,2.54,2.56,2.48,2.53,21399000,2.53,TSLA
01-30-2013,1359556200,2.52,2.53,2.5,2.5,14521500,2.5,TSLA
01-31-2013,1359642600,2.52,2.52,2.46,2.5,13521000,2.5,TSLA
02-01-2013,1359729000,2.54,2.57,2.51,2.55,16509000,2.55,TSLA
02-04-2013,1359988200,2.56,2.56,2.51,2.52,16920000,2.52,TSLA
02-05-2013,1360074600,2.53,2.58,2.51,2.54,19653000,2.54,TSLA
02-06-2013,1360161000,2.55,2.63,2.53,2.61,28398000,2.61,TSLA
02-07-2013,1360247400,2.61,2.65,2.6,2.63,17949000,2.63,TSLA
02-08-2013,1360333800,2.63,2.67,2.61,2.62,17097000,2.62,TSLA
02-11-2013,1360593000,2.53,2.61,2.5,2.56,48994500,2.56,TSLA
02-12-2013,1360679400,2.56,2.59,2.49,2.53,33919500,2.53,TSLA
02-13-2013,1360765800,2.55,2.6,2.54,2.56,14502000,2.56,TSLA
02-14-2013,1360852200,2.58,2.58,2.55,2.55,14860500,2.55,TSLA
02-15-2013,1360938600,2.57,2.57,2.46,2.47,30264000,2.47,TSLA
02-19-2013,1361284200,2.49,2.62,2.49,2.62,40521000,2.62,TSLA
02-20-2013,1361370600,2.62,2.64,2.56,2.57,46830000,2.57,TSLA
02-21-2013,1361457000,2.43,2.49,2.3,2.34,135567000,2.34,TSLA
02-22-2013,1361543400,2.38,2.43,2.37,2.41,38209500,2.41,TSLA
02-25-2013,1361802600,2.41,2.45,2.29,2.29,43341000,2.29,TSLA
02-26-2013,1361889000,2.3,2.33,2.25,2.3,41443500,2.3,TSLA
02-27-2013,1361975400,2.29,2.36,2.29,2.34,29388000,2.34,TSLA
02-28-2013,1362061800,2.39,2.41,2.29,2.32,29473500,2.32,TSLA
03-01-2013,1362148200,2.33,2.34,2.28,2.31,23199000,2.31,TSLA
03-04-2013,1362407400,2.32,2.39,2.31,2.37,26365500,2.37,TSLA
03-05-2013,1362493800,2.4,2.46,2.39,2.44,31305000,2.44,TSLA
03-06-2013,1362580200,2.47,2.53,2.46,2.51,17250000,2.51,TSLA
03-07-2013,1362666600,2.52,2.58,2.46,2.55,17374500,2.55,TSLA
03-08-2013,1362753000,2.54,2.63,2.49,2.56,13681500,2.56,TSLA
03-11-2013,1363008600,2.59,2.63,2.58,2.61,23692500,2.61,TSLA
03-12-2013,1363095000,2.59,2.63,2.59,2.61,19126500,2.61,TSLA
03-13-2013,1363181400,2.6,2.63,2.59,2.6,12330000,2.6,TSLA
