date,date_utc,open,high,low,close,volume,adjclose,symbol
11-05-2012,1352125800,56.26,56.4,54.83,55.28,6149600,47.36,UNH
11-06-2012,1352212200,55.28,56.49,54.65,56.39,4880800,48.31,UNH
11-07-2012,1352298600,55.38,55.4,53.39,54.26,13812600,46.49,UNH
11-08-2012,1352385000,54.35,54.98,53.42,53.44,8846100,45.78,UNH
11-09-2012,1352471400,53.36,54.0,52.64,52.9,8585800,45.32,UNH
11-12-2012,1352730600,53.04,53.51,52.05,52.2,5944000,44.72,UNH
11-13-2012,1352817000,52.04,52.98,52.0,52.19,5669900,44.71,UNH
11-14-2012,1352903400,52.39,52.43,51.1,51.25,5792500,43.91,UNH
11-15-2012,1352989800,51.27,51.72,51.09,51.25,6668600,43.91,UNH
11-16-2012,1353076200,51.25,52.19,51.14,51.9,6388000,44.46,UNH
11-19-2012,1353335400,52.23,52.91,51.85,52.91,5868900,45.33,UNH
11-20-2012,1353421800,52.92,53.18,52.66,53.14,4737800,45.53,UNH
11-21-2012,1353508200,53.2,53.7,52.82,53.53,5097000,45.86,UNH
11-23-2012,1353681000,53.67,53.93,53.5,53.92,1709300,46.19,UNH
11-26-2012,1353940200,52.99,53.61,52.76,53.53,5692900,45.86,UNH
11-27-2012,1354026600,53.13,53.83,52.55,52.59,7859400,45.05,UNH
11-28-2012,1354113000,52.27,53.24,52.24,52.75,5744200,45.19,UNH
11-29-2012,1354199400,53.26,54.59,53.0,54.36,10911600,46.57,UNH
11-30-2012,1354285800,54.18,54.88,54.07,54.39,7818600,46.6,UNH
12-03-2012,1354545000,54.56,54.95,53.83,53.89,3861300,46.17,UNH
12-04-2012,1354631400,53.96,54.24,53.52,53.54,5948900,45.87,UNH
12-05-2012,1354717800,53.73,54.23,53.61,53.84,4495100,46.13,UNH
12-06-2012,1354804200,53.9,53.9,53.28,53.65,3771900,45.96,UNH
12-07-2012,1354890600,53.8,53.9,53.39,53.87,4206200,46.34,UNH
12-10-2012,1355149800,53.87,54.33,53.74,54.19,4113500,46.61,UNH
12-11-2012,1355236200,54.25,54.98,54.08,54.76,4970400,47.1,UNH
12-12-2012,1355322600,55.0,55.82,54.9,55.25,7054000,47.52,UNH
12-13-2012,1355409000,55.22,55.39,54.31,54.38,4911800,46.77,UNH
12-14-2012,1355495400,54.17,54.53,53.92,54.05,3468700,46.49,UNH
12-17-2012,1355754600,54.08,54.55,53.98,54.36,6336900,46.76,UNH
12-18-2012,1355841000,54.62,55.34,54.47,54.95,4637800,47.26,UNH
12-19-2012,1355927400,55.12,55.12,54.43,54.49,5537600,46.87,UNH
12-20-2012,1356013800,54.48,55.51,54.45,55.46,5025900,47.7,UNH
12-21-2012,1356100200,55.38,55.52,54.43,55.03,9440100,47.33,UNH
12-24-2012,1356359400,54.8,55.05,54.53,54.85,1713900,47.18,UNH
12-26-2012,1356532200,54.8,54.85,54.12,54.22,3232400,46.64,UNH
12-27-2012,1356618600,54.12,54.59,53.95,54.44,3245700,46.83,UNH
12-28-2012,1356705000,54.09,54.64,53.8,53.86,3137400,46.33,UNH
12-31-2012,1356964200,53.63,54.26,53.49,54.24,4948700,46.65,UNH
01-02-2013,1357137000,54.88,55.0,54.01,54.54,5358100,46.91,UNH
01-03-2013,1357223400,53.44,53.52,51.85,51.99,14413200,44.72,UNH
01-04-2013,1357309800,52.2,52.73,52.06,52.09,10458000,44.8,UNH
01-07-2013,1357569000,51.88,52.33,51.55,52.09,7804500,44.8,UNH
01-08-2013,1357655400,52.0,52.24,51.36,51.4,8196200,44.21,UNH
01-09-2013,1357741800,51.59,52.5,51.5,52.37,5154300,45.05,UNH
01-10-2013,1357828200,52.52,53.19,52.33,53.11,6506500,45.68,UNH
01-11-2013,1357914600,53.4,53.4,52.33,52.82,10182500,45.43,UNH
01-14-2013,1358173800,52.87,54.42,52.6,53.36,7119900,45.9,UNH
01-15-2013,1358260200,53.22,53.85,53.21,53.62,5802900,46.12,UNH
01-16-2013,1358346600,53.64,53.8,53.34,53.66,6474500,46.15,UNH
01-17-2013,1358433000,53.76,54.53,53.17,54.4,14438900,46.79,UNH
01-18-2013,1358519400,54.4,54.63,54.22,54.56,7023900,46.93,UNH
01-22-2013,1358865000,54.65,56.09,54.56,56.02,9330000,48.18,UNH
01-23-2013,1358951400,56.11,56.25,55.45,55.91,6665700,48.09,UNH
01-24-2013,1359037800,56.03,56.44,55.9,56.22,4221700,48.36,UNH
01-25-2013,1359124200,56.36,56.38,55.72,56.04,5604700,48.2,UNH
01-28-2013,1359383400,56.42,56.53,55.8,55.81,5736900,48.0,UNH
01-29-2013,1359469800,55.75,56.69,55.68,56.28,7317600,48.41,UNH
01-30-2013,1359556200,56.25,56.44,55.92,56.08,6269200,48.24,UNH
