date,date_utc,open,high,low,close,volume,adjclose,symbol
11-05-2012,1352125800,35.69,35.97,35.31,35.38,13864000,32.99,V
11-06-2012,1352212200,35.62,36.21,35.47,35.97,9089200,33.54,V
11-07-2012,1352298600,35.63,35.9,35.38,35.64,10431600,33.23,V
11-08-2012,1352385000,35.54,35.81,35.47,35.51,10133200,33.12,V
11-09-2012,1352471400,35.23,35.95,35.07,35.73,11799600,33.32,V
11-12-2012,1352730600,35.51,35.94,35.51,35.81,8943600,33.39,V
11-13-2012,1352817000,35.65,36.2,35.61,35.61,10149200,33.21,V
11-14-2012,1352903400,35.65,35.81,34.91,34.99,13608000,32.7,V
11-15-2012,1352989800,35.0,35.12,34.63,35.0,13717600,32.71,V
11-16-2012,1353076200,35.01,35.89,35.01,35.68,16632400,33.35,V
11-19-2012,1353335400,36.0,36.42,35.92,36.41,15120400,34.03,V
11-20-2012,1353421800,36.38,36.85,36.29,36.58,9566400,34.2,V
11-21-2012,1353508200,36.56,36.72,36.44,36.67,6565200,34.27,V
11-23-2012,1353681000,36.83,37.03,36.6,37.03,4454400,34.61,V
11-26-2012,1353940200,36.9,36.9,36.6,36.81,8623600,34.41,V
11-27-2012,1354026600,36.78,36.96,36.58,36.69,9981600,34.3,V
11-28-2012,1354113000,36.51,36.84,36.47,36.82,10358400,34.42,V
11-29-2012,1354199400,36.98,37.08,36.81,37.04,12572800,34.63,V
11-30-2012,1354285800,37.08,37.48,37.0,37.43,14048000,34.98,V
12-03-2012,1354545000,37.5,37.68,37.11,37.16,11736800,34.73,V
12-04-2012,1354631400,37.24,37.31,36.8,36.9,9100800,34.49,V
12-05-2012,1354717800,37.13,37.13,36.53,37.01,11971200,34.6,V
12-06-2012,1354804200,37.11,37.22,36.76,37.12,9124000,34.69,V
12-07-2012,1354890600,37.28,37.32,36.95,37.14,7557200,34.71,V
12-10-2012,1355149800,37.19,37.32,37.07,37.17,9288800,34.74,V
12-11-2012,1355236200,37.1,37.58,37.1,37.22,14492800,34.79,V
12-12-2012,1355322600,37.42,37.45,36.96,36.97,18319600,34.56,V
12-13-2012,1355409000,37.03,37.28,36.72,36.8,13042800,34.4,V
12-14-2012,1355495400,36.72,36.92,36.56,36.71,9579200,34.31,V
12-17-2012,1355754600,36.74,37.28,36.72,37.28,13903200,34.85,V
12-18-2012,1355841000,37.25,37.89,37.17,37.68,11869600,35.22,V
12-19-2012,1355927400,37.7,37.71,37.29,37.29,8640400,34.85,V
12-20-2012,1356013800,37.47,38.13,37.33,38.12,10863200,35.63,V
12-21-2012,1356100200,37.74,37.99,37.49,37.69,13930400,35.23,V
12-24-2012,1356359400,37.56,37.9,37.56,37.79,3272000,35.33,V
12-26-2012,1356532200,37.82,37.82,37.3,37.44,7614400,34.99,V
12-27-2012,1356618600,37.42,37.66,36.97,37.35,11976800,34.91,V
12-28-2012,1356705000,37.12,37.48,37.06,37.16,6973600,34.74,V
12-31-2012,1356964200,37.09,37.9,37.09,37.9,12868000,35.42,V
01-02-2013,1357137000,38.54,38.99,38.48,38.85,15826400,36.31,V
01-03-2013,1357223400,39.28,39.52,38.71,38.88,14937200,36.34,V
01-04-2013,1357309800,38.9,39.3,38.69,39.19,10376000,36.63,V
01-07-2013,1357569000,39.24,39.69,39.2,39.47,10242400,36.89,V
01-08-2013,1357655400,39.41,39.84,39.25,39.84,11800400,37.24,V
