date,date_utc,open,high,low,close,volume,adjclose,symbol
11-05-2012,1352125800,90.04,90.81,89.7,90.63,11222600,59.45,XOM
11-06-2012,1352212200,90.86,92.05,90.73,91.61,12026500,60.09,XOM
11-07-2012,1352298600,90.24,90.24,87.7,88.18,19423500,58.2,XOM
11-08-2012,1352385000,88.27,88.43,87.03,87.07,13743000,57.47,XOM
11-09-2012,1352471400,86.61,87.95,86.61,87.21,13407000,57.56,XOM
11-12-2012,1352730600,87.27,87.69,86.95,87.32,9004300,57.63,XOM
11-13-2012,1352817000,86.75,87.99,86.44,86.47,12260300,57.07,XOM
11-14-2012,1352903400,86.75,87.11,85.88,86.07,14524100,56.81,XOM
11-15-2012,1352989800,86.09,86.56,85.37,86.14,13783600,56.85,XOM
11-16-2012,1353076200,86.14,86.71,85.06,86.45,17405200,57.06,XOM
11-19-2012,1353335400,87.4,88.2,87.09,87.67,12911000,57.86,XOM
11-20-2012,1353421800,87.51,87.88,86.77,87.5,10288100,57.75,XOM
11-21-2012,1353508200,87.81,88.02,87.48,88.01,13905300,58.09,XOM
11-23-2012,1353681000,88.25,89.09,88.01,89.09,11931000,58.8,XOM
11-26-2012,1353940200,88.32,88.63,88.03,88.62,16423600,58.49,XOM
11-27-2012,1354026600,88.4,88.54,87.24,87.35,11841600,57.65,XOM
11-28-2012,1354113000,86.53,88.19,86.28,88.1,15959900,58.15,XOM
11-29-2012,1354199400,88.37,88.69,87.63,88.12,11579100,58.16,XOM
11-30-2012,1354285800,88.07,88.4,87.82,88.14,15522100,58.17,XOM
12-03-2012,1354545000,88.55,88.58,87.47,87.61,10937300,57.82,XOM
12-04-2012,1354631400,87.38,87.97,87.19,87.19,11980000,57.55,XOM
12-05-2012,1354717800,87.27,88.27,87.1,87.73,12717800,57.9,XOM
12-06-2012,1354804200,87.76,88.06,87.24,88.0,12077000,58.08,XOM
12-07-2012,1354890600,88.17,88.64,87.77,88.6,10603100,58.48,XOM
12-10-2012,1355149800,88.58,88.95,88.24,88.41,11549400,58.35,XOM
12-11-2012,1355236200,88.61,89.49,88.4,88.99,12634600,58.74,XOM
12-12-2012,1355322600,89.09,90.37,88.91,89.45,14729500,59.04,XOM
12-13-2012,1355409000,89.16,89.45,88.27,88.58,12290300,58.47,XOM
12-14-2012,1355495400,88.0,88.45,87.92,88.08,13363600,58.14,XOM
12-17-2012,1355754600,88.36,88.94,88.1,88.87,15672500,58.66,XOM
12-18-2012,1355841000,88.75,89.74,88.56,89.56,15396600,59.11,XOM
12-19-2012,1355927400,89.54,89.61,88.38,88.44,15092500,58.37,XOM
12-20-2012,1356013800,88.38,88.94,87.98,88.89,15789000,58.67,XOM
12-21-2012,1356100200,87.66,88.6,87.01,87.23,33057000,57.57,XOM
12-24-2012,1356359400,87.13,87.32,86.8,86.92,6385200,57.37,XOM
12-26-2012,1356532200,87.21,87.68,86.57,87.07,10737800,57.47,XOM
12-27-2012,1356618600,87.05,87.24,85.75,86.86,14258500,57.33,XOM
12-28-2012,1356705000,86.1,86.29,85.07,85.1,13358700,56.17,XOM
12-31-2012,1356964200,85.04,86.66,84.7,86.55,19810800,57.13,XOM
01-02-2013,1357137000,87.79,88.72,87.24,88.71,16143700,58.55,XOM
01-03-2013,1357223400,88.46,88.89,88.16,88.55,13268200,58.45,XOM
01-04-2013,1357309800,88.5,89.09,88.37,88.96,11427900,58.72,XOM
01-07-2013,1357569000,88.31,88.49,87.57,87.93,11799800,58.04,XOM
01-08-2013,1357655400,87.82,88.48,87.29,88.48,14226400,58.4,XOM
01-09-2013,1357741800,88.4,88.54,87.75,88.14,10892200,58.17,XOM
01-10-2013,1357828200,88.75,89.48,88.37,89.1,13099600,58.81,XOM
01-11-2013,1357914600,88.97,89.71,88.86,89.61,11645600,59.14,XOM
01-14-2013,1358173800,89.46,89.75,89.32,89.58,9606700,59.13,XOM
01-15-2013,1358260200,89.18,89.61,89.0,89.53,9195400,59.09,XOM
01-16-2013,1358346600,89.16,89.48,89.07,89.47,9645000,59.05,XOM
01-17-2013,1358433000,89.76,90.94,89.6,90.2,13400300,59.53,XOM
01-18-2013,1358519400,90.09,90.83,89.83,90.8,17196000,59.93,XOM
01-22-2013,1358865000,90.27,90.94,90.21,90.92,11897500,60.01,XOM
01-23-2013,1358951400,90.5,90.88,90.42,90.7,10906800,59.86,XOM
01-24-2013,1359037800,90.88,91.72,90.75,91.35,11100000,60.29,XOM
01-25-2013,1359124200,91.57,91.8,91.13,91.73,11090600,60.54,XOM
01-28-2013,1359383400,91.67,91.67,90.77,91.11,11617500,60.13,XOM
01-29-2013,1359469800,91.21,91.93,91.2,91.76,11700600,60.56,XOM
01-30-2013,1359556200,91.17,91.72,90.38,90.67,15645400,59.84,XOM
01-31-2013,1359642600,90.69,91.21,89.74,89.97,15991500,59.38,XOM
02-01-2013,1359729000,90.44,90.5,89.36,90.04,15699200,59.43,XOM
02-04-2013,1359988200,89.41,89.62,88.84,89.15,13347300,58.84,XOM
02-05-2013,1360074600,89.88,90.19,89.42,89.74,11679700,59.23,XOM
02-06-2013,1360161000,89.37,89.89,89.16,89.79,11768700,59.26,XOM
02-07-2013,1360247400,89.21,89.22,87.61,88.25,13463300,58.62,XOM
02-08-2013,1360333800,88.5,88.8,88.11,88.61,11412300,58.86,XOM
02-11-2013,1360593000,88.35,88.51,87.97,88.28,8764700,58.64,XOM
02-12-2013,1360679400,88.25,88.62,87.92,88.46,9752100,58.76,XOM
02-13-2013,1360765800,88.46,88.77,88.24,88.67,8940300,58.9,XOM
02-14-2013,1360852200,88.34,88.81,88.06,88.52,13238900,58.8,XOM
02-15-2013,1360938600,88.57,88.61,87.8,88.36,15696900,58.69,XOM
02-19-2013,1361284200,88.54,89.41,88.38,89.32,12158900,59.33,XOM
02-20-2013,1361370600,89.14,89.82,88.9,88.97,13936400,59.1,XOM
02-21-2013,1361457000,88.79,89.02,88.36,88.59,10939800,58.85,XOM
02-22-2013,1361543400,89.02,89.28,88.4,89.2,10260200,59.25,XOM
02-25-2013,1361802600,89.88,90.19,87.7,87.7,15302900,58.25,XOM
02-26-2013,1361889000,88.5,88.98,87.76,88.51,15073200,58.79,XOM
02-27-2013,1361975400,88.5,89.65,88.31,89.53,11195200,59.47,XOM
02-28-2013,1362061800,89.67,89.81,89.03,89.55,14552000,59.48,XOM
03-01-2013,1362148200,89.07,89.68,88.92,89.43,11301600,59.4,XOM
03-04-2013,1362407400,89.13,89.25,88.46,88.95,10994000,59.08,XOM
03-05-2013,1362493800,89.48,90.15,89.29,89.61,13072600,59.52,XOM
03-06-2013,1362580200,89.6,89.95,89.05,89.56,13234400,59.49,XOM
03-07-2013,1362666600,89.63,89.76,88.68,88.71,12905300,58.93,XOM
03-08-2013,1362753000,89.01,89.23,88.35,88.97,11896300,59.1,XOM
03-11-2013,1363008600,89.01,89.55,88.54,89.16,12454800,59.22,XOM
03-12-2013,1363095000,89.45,89.91,89.01,89.16,11470000,59.22,XOM
03-13-2013,1363181400,89.02,89.5,88.83,89.26,10539900,59.29,XOM
03-14-2013,1363267800,89.41,89.91,89.41,89.83,13775500,59.67,XOM
03-15-2013,1363354200,89.2,89.61,88.79,89.37,29240100,59.36,XOM
03-18-2013,1363613400,88.74,89.39,88.55,88.77,11553700,58.96,XOM
03-19-2013,1363699800,88.89,89.09,88.02,88.58,11987900,58.84,XOM
03-20-2013,1363786200,88.95,89.21,88.3,88.63,11319000,58.87,XOM
03-21-2013,1363872600,88.12,88.64,87.9,88.17,13447500,58.57,XOM
03-22-2013,1363959000,88.4,89.29,88.32,89.29,10786600,59.31,XOM
03-25-2013,1364218200,89.5,89.9,88.66,89.02,12900800,59.13,XOM
03-26-2013,1364304600,89.41,90.3,89.36,90.13,12329600,59.87,XOM
03-27-2013,1364391000,89.56,90.74,89.47,90.58,12350800,60.17,XOM
03-28-2013,1364477400,90.64,90.98,89.99,90.11,17485200,59.85,XOM
04-01-2013,1364823000,90.13,90.99,89.98,90.77,9414200,60.29,XOM
04-02-2013,1364909400,90.59,90.92,90.28,90.58,9991800,60.17,XOM
04-03-2013,1364995800,90.65,90.83,89.86,89.93,12197100,59.74,XOM
04-04-2013,1365082200,90.1,90.33,89.22,89.77,11582000,59.63,XOM
04-05-2013,1365168600,88.61,89.21,88.4,89.01,12771600,59.12,XOM
04-08-2013,1365427800,89.11,89.11,88.15,88.6,11013900,58.85,XOM
04-09-2013,1365514200,88.69,89.34,88.59,88.77,10753400,58.96,XOM
04-10-2013,1365600600,88.45,89.16,88.2,88.68,14823700,58.91,XOM
04-11-2013,1365687000,88.95,89.27,88.23,89.22,14979900,59.26,XOM
04-12-2013,1365773400,88.88,89.19,88.41,88.99,11505100,59.11,XOM
04-15-2013,1366032600,88.29,88.67,86.27,86.49,19626200,57.45,XOM
04-16-2013,1366119000,87.19,87.23,86.09,86.61,14578800,57.53,XOM
04-17-2013,1366205400,86.21,86.38,85.02,86.08,17341200,57.18,XOM
04-18-2013,1366291800,86.28,87.08,85.78,86.62,14730400,57.54,XOM
04-19-2013,1366378200,87.27,87.49,86.43,87.45,18393300,58.09,XOM
04-22-2013,1366637400,87.61,88.32,87.29,88.09,11262000,58.51,XOM
04-23-2013,1366723800,88.39,89.49,87.94,89.3,15567700,59.32,XOM
04-24-2013,1366810200,89.45,89.89,89.35,89.43,13028800,59.4,XOM
04-25-2013,1366896600,88.89,88.9,87.65,88.07,16328700,58.5,XOM
04-26-2013,1366983000,87.81,88.28,87.6,88.0,10791800,58.45,XOM
04-29-2013,1367242200,88.26,88.83,88.01,88.21,11093000,58.59,XOM
04-30-2013,1367328600,88.26,88.99,87.76,88.99,14572600,59.11,XOM
05-01-2013,1367415000,88.52,88.84,87.48,87.51,11616500,58.13,XOM
05-02-2013,1367501400,87.98,88.84,87.74,88.63,11330100,58.87,XOM
05-03-2013,1367587800,89.0,90.19,88.92,90.02,13036600,59.8,XOM
05-06-2013,1367847000,90.25,90.88,89.93,90.58,10613400,60.17,XOM
05-07-2013,1367933400,90.62,91.15,90.14,91.15,11088900,60.55,XOM
05-08-2013,1368019800,91.05,91.85,91.03,91.7,13638300,60.91,XOM
05-09-2013,1368106200,91.14,91.56,90.69,91.03,13771900,60.88,XOM
05-10-2013,1368192600,90.87,90.95,89.79,90.14,10975400,60.29,XOM
05-13-2013,1368451800,89.8,90.14,89.43,90.1,9810100,60.26,XOM
05-14-2013,1368538200,90.15,91.19,90.02,91.11,9890300,60.94,XOM
05-15-2013,1368624600,90.64,91.32,90.41,91.24,10399400,61.02,XOM
05-16-2013,1368711000,90.8,91.29,90.5,90.7,10469600,60.66,XOM
05-17-2013,1368797400,91.07,91.88,90.53,91.76,12721300,61.37,XOM
05-20-2013,1369056600,91.61,92.69,91.46,92.52,12417700,61.88,XOM
05-21-2013,1369143000,92.67,93.43,92.38,92.8,12519900,62.07,XOM
05-22-2013,1369229400,92.83,93.5,91.81,92.19,19253300,61.66,XOM
05-23-2013,1369315800,91.56,92.36,91.36,91.79,15357300,61.39,XOM
05-24-2013,1369402200,91.38,91.77,91.0,91.53,12771900,61.22,XOM
05-28-2013,1369747800,92.94,93.18,91.76,92.38,15197800,61.79,XOM
05-29-2013,1369834200,91.76,92.42,91.59,92.08,11563200,61.59,XOM
05-30-2013,1369920600,91.97,92.68,91.6,92.09,9734700,61.59,XOM
05-31-2013,1370007000,91.95,92.37,90.46,90.47,17917400,60.51,XOM
06-03-2013,1370266200,90.53,91.51,90.48,91.46,14177500,61.17,XOM
06-04-2013,1370352600,91.18,91.49,90.22,90.79,12481300,60.72,XOM
06-05-2013,1370439000,90.68,91.12,89.61,89.65,12888000,59.96,XOM
06-06-2013,1370525400,89.45,90.23,89.0,90.23,15393300,60.35,XOM
06-07-2013,1370611800,90.89,91.5,90.49,91.45,12504700,61.17,XOM
06-10-2013,1370871000,91.93,91.94,90.87,91.12,10372300,60.94,XOM
06-11-2013,1370957400,90.38,91.04,90.23,90.46,10739400,60.5,XOM
06-12-2013,1371043800,91.13,91.32,89.59,89.74,10864500,60.02,XOM
06-13-2013,1371130200,89.63,91.71,89.61,91.33,13501300,61.09,XOM
06-14-2013,1371216600,91.16,91.3,90.29,90.58,12158400,60.58,XOM
06-17-2013,1371475800,90.97,91.77,90.77,91.51,12026400,61.21,XOM
06-18-2013,1371562200,91.36,92.06,91.26,91.93,10678200,61.49,XOM
06-19-2013,1371648600,91.79,92.27,91.0,91.0,14189500,60.86,XOM
06-20-2013,1371735000,90.24,90.52,88.79,89.05,21077700,59.56,XOM
06-21-2013,1371821400,89.76,90.14,88.85,89.48,25493800,59.85,XOM
06-24-2013,1372080600,88.95,89.5,88.02,88.48,17653000,59.18,XOM
06-25-2013,1372167000,89.58,89.62,88.48,89.11,15790100,59.6,XOM
06-26-2013,1372253400,89.42,89.97,88.73,89.8,14446000,60.06,XOM
06-27-2013,1372339800,90.24,90.67,90.03,90.04,12348000,60.22,XOM
06-28-2013,1372426200,89.85,90.75,89.56,90.35,22984200,60.43,XOM
07-01-2013,1372685400,90.39,91.13,89.96,90.3,13182200,60.4,XOM
07-02-2013,1372771800,90.37,91.1,90.12,90.64,12320700,60.62,XOM
07-03-2013,1372858200,90.63,90.87,90.14,90.69,5674000,60.66,XOM
07-05-2013,1373031000,91.1,91.61,90.57,91.57,8917900,61.25,XOM
07-08-2013,1373290200,91.96,92.53,91.9,92.25,12086700,61.7,XOM
07-09-2013,1373376600,92.64,93.44,92.25,93.34,12940000,62.43,XOM
07-10-2013,1373463000,93.28,93.39,92.38,92.82,12430000,62.08,XOM
07-11-2013,1373549400,93.8,93.81,93.04,93.27,16184700,62.38,XOM
07-12-2013,1373635800,93.25,93.45,92.72,93.4,11370300,62.47,XOM
07-15-2013,1373895000,93.19,93.5,93.09,93.25,8256200,62.37,XOM
07-16-2013,1373981400,93.19,93.47,92.77,93.3,11413500,62.4,XOM
07-17-2013,1374067800,93.56,93.74,93.14,93.46,9393300,62.51,XOM
07-18-2013,1374154200,93.8,94.84,93.71,94.38,10555400,63.12,XOM
07-19-2013,1374240600,94.69,95.25,94.41,95.17,14431700,63.65,XOM
07-22-2013,1374499800,94.87,95.2,94.78,94.83,9530400,63.43,XOM
07-23-2013,1374586200,94.86,95.49,94.84,95.2,7377400,63.67,XOM
07-24-2013,1374672600,95.31,95.31,94.42,94.99,8222800,63.53,XOM
07-25-2013,1374759000,94.69,95.31,94.42,94.97,10059800,63.52,XOM
07-26-2013,1374845400,94.77,94.86,93.84,94.79,9721000,63.4,XOM
07-29-2013,1375104600,94.51,94.52,93.61,94.03,8844700,62.89,XOM
07-30-2013,1375191000,94.22,94.33,93.46,93.81,10470700,62.74,XOM
07-31-2013,1375277400,93.93,94.6,93.38,93.75,14400800,62.7,XOM
08-01-2013,1375363800,92.69,93.1,91.25,92.73,23117700,62.02,XOM
08-02-2013,1375450200,92.46,92.53,91.34,91.95,14408600,61.5,XOM
08-05-2013,1375709400,91.42,91.76,91.01,91.59,12625900,61.26,XOM
08-06-2013,1375795800,91.33,91.91,91.28,91.47,11689200,61.18,XOM
08-07-2013,1375882200,91.18,91.55,91.13,91.34,8163800,61.09,XOM
08-08-2013,1375968600,91.93,91.97,91.28,91.78,11529500,61.39,XOM
08-09-2013,1376055000,91.2,91.36,90.43,90.72,9467800,61.1,XOM
08-12-2013,1376314200,90.43,90.43,89.69,89.89,10133700,60.54,XOM
08-13-2013,1376400600,89.85,89.92,89.14,89.4,10892700,60.21,XOM
08-14-2013,1376487000,89.34,89.48,88.9,88.95,9797300,59.9,XOM
08-15-2013,1376573400,88.66,88.87,88.06,88.16,11273400,59.37,XOM
08-16-2013,1376659800,88.01,88.49,87.65,87.91,11872500,59.2,XOM
08-19-2013,1376919000,87.82,87.87,86.78,86.92,11745600,58.54,XOM
08-20-2013,1377005400,87.13,87.87,86.83,86.83,16498800,58.48,XOM
08-21-2013,1377091800,86.95,87.35,86.39,86.42,12766900,58.2,XOM
08-22-2013,1377178200,86.58,87.42,86.45,86.98,10199900,58.58,XOM
08-23-2013,1377264600,87.15,87.69,86.76,87.52,9206400,58.94,XOM
08-26-2013,1377523800,87.5,87.7,86.82,87.09,10654700,58.65,XOM
08-27-2013,1377610200,86.62,87.49,86.58,86.82,13960200,58.47,XOM
08-28-2013,1377696600,87.28,88.99,87.28,88.84,17738800,59.83,XOM
08-29-2013,1377783000,88.63,88.63,87.23,87.27,11407800,58.77,XOM
08-30-2013,1377869400,87.39,87.55,86.79,87.16,12480400,58.7,XOM
09-03-2013,1378215000,87.7,88.0,86.83,87.15,10546700,58.69,XOM
