ds,Most Likely Case,Worst Case,Best Case
2020-11-17,125.164678646246,117.82372133879959,133.04300573920614
2020-11-18,125.30988498089965,116.70308883806437,132.71836759509128
2020-11-19,125.30764286461927,117.0996678911465,133.0904158835152
2020-11-20,125.38373991149388,117.84708459863765,132.95253988803125
2020-11-23,125.90893764860954,118.25759041292994,134.0484615207937
2020-11-24,126.03972830481835,118.24691856509455,134.3346360718107
2020-11-25,126.16317253452696,118.44742142861737,134.01882103793665
2020-11-27,126.19973864405448,118.12521425621016,134.21908034895318
2020-11-30,126.6886001148989,118.98368524879994,134.70778246808229
2020-12-01,126.81335126691535,118.74893170872038,134.9550061533846
2020-12-02,126.9340138472563,119.28467777494177,134.49423438130532
2020-12-03,126.91251299929888,119.02330531570077,134.73121829571258
2020-12-04,126.97490422268656,119.24325463544788,135.10143087146363
2020-12-07,127.49347111214104,119.02410291940296,135.47253029675542
2020-12-08,127.63335012537095,119.95554775772284,135.29375368779756
2020-12-09,127.77110610496796,119.72668883606617,135.4171569425681
2020-12-10,127.76815231279205,119.42331440019589,135.24238966564184
2020-12-11,127.8499565921166,120.52305314586745,135.4442036726249
2020-12-14,128.42512957752643,120.70410591960166,136.4097052990629
2020-12-15,128.5808230552914,120.002486266954,136.94234421790588
2020-12-16,128.73154705477637,120.91188293237562,136.1574595579433
2020-12-17,128.73792134701185,120.72871295898283,137.28150701586856
2020-12-18,128.82464622836483,120.86237730618319,136.72773228673742
2020-12-21,129.38128440154318,121.53378302426025,137.4311032651895
2020-12-22,129.5178357122924,121.12274893325234,137.3440889850244
2020-12-23,129.6422809903382,122.0629876247844,137.53790077315594
2020-12-24,129.61505075857082,120.92603035262827,137.67227214670655
2020-12-28,130.05260739645098,121.55363694046717,138.12340505625775
2020-12-29,130.1218368334926,122.31680995781787,138.1640196697062
2020-12-30,130.17401143171313,121.86173061996493,138.7961577130597
2020-12-31,130.07054990844009,122.66112823860053,137.9997159154634
2021-01-04,130.1879974029606,122.47520162677996,137.78324896834883
2021-01-05,130.18035594355663,122.02480229877064,138.33544986566108
2021-01-06,130.1598858520517,122.2594737949105,139.07876895832132
2021-01-07,129.98948985705283,122.43597459528435,138.21324600048544
2021-01-08,129.8963986394681,122.31906636155274,137.65913120362382
2021-01-11,129.92336821672941,121.72570009574838,137.60802950770756
2021-01-12,129.89651186254653,121.45992565883611,137.53277342608038
2021-01-13,129.86912316188383,121.75252892922131,137.77053784132133
2021-01-14,129.70452766169086,121.90496474847139,137.79812859065817
2021-01-15,129.63012286276907,121.68399610286988,137.3642111608126
2021-01-19,129.8276490143072,121.85746464230323,138.22231757718623
2021-01-20,129.87633665319146,122.18796702563937,137.96924242178576
2021-01-21,129.79601921686805,121.88843090483257,137.70831242346014
2021-01-22,129.81244626201934,121.81039672843771,137.94882506088035
2021-01-25,130.26312666740515,122.20478904584422,138.1515246155131
2021-01-26,130.40008608844363,122.8771214274037,137.94095451987013
2021-01-27,130.54241219172295,122.51900137573507,138.36317383131018
2021-01-28,130.54983038990193,122.33911914852558,138.3397439721953
2021-01-29,130.6459921360135,122.8049361300521,138.74123361699114
2021-02-01,131.26894448737374,123.524020495413,138.7915262591936
2021-02-02,131.4356975313854,123.53633166054276,139.55383811878863
2021-02-03,131.59197159510106,123.94759304826582,139.73390992404063
2021-02-04,131.59671828080903,123.18268104917462,139.68316041068942
2021-02-05,131.67314482508294,123.70483643353569,139.2350350956016
2021-02-08,132.13526374033742,124.0771752406933,139.76677061514914
2021-02-09,132.21652612878412,124.67552904073051,140.50162737357678
2021-02-10,132.2732105775362,124.39233094842274,140.6023323686283
2021-02-11,132.1658394028259,124.31869939714066,139.7908829650767
2021-02-12,132.11946178917665,124.63023441439196,139.28670579102123
2021-02-16,132.1088882684023,124.41844500563086,139.49585638181335
2021-02-17,132.02360440591326,124.2228095740365,140.2142057735861
2021-02-18,131.777939971702,123.9527884698112,139.31318766230154
2021-02-19,131.59942206879822,124.2331719869489,139.56472397171794
2021-02-22,131.31394354618953,123.10969749976164,139.38526744727207
2021-02-23,131.16633633157215,123.57986743279284,139.2555560995896
2021-02-24,131.0111795057572,122.98395802574703,138.78435002650755
2021-02-25,130.71267821428015,122.95789578850768,138.7234661759241
2021-02-26,130.49916728884034,122.98034461737727,138.75577311176022
2021-03-01,130.21862375412977,122.11303455148405,137.92872895056684
2021-03-02,130.10850709507346,121.92670804414792,138.35953074304965
2021-03-03,130.00753189478863,122.09403209986318,137.76638804267503
2021-03-04,129.7787051382126,121.43344213172395,138.01332484458413
2021-03-05,129.64889792143265,121.75487636575116,137.46905657042097
2021-03-08,129.68581682653712,121.76034675180743,137.83138021580982
2021-03-09,129.6969367146169,121.6855027318221,137.71432269362765
2021-03-10,129.7213376513295,122.38124820800404,137.95722917476215
2021-03-11,129.61985526666928,121.83783142300119,138.1536542186018
2021-03-12,129.61723477883476,121.41242519882098,137.6719731596351
2021-03-15,130.0150958953126,121.93157155922273,137.3573008253558
2021-03-16,130.13389360890528,122.4217376868796,138.10610583851985
2021-03-17,130.25727843891514,122.44581151984166,138.09290121603883
2021-03-18,130.2450131734131,122.39177527173987,138.56391139114638
2021-03-19,130.32102595453054,122.79612221344202,138.4118794091495
2021-03-22,130.88702338092162,122.7408620930229,138.98988205046626
2021-03-23,131.03912483477484,123.30185720609119,138.6638470883431
2021-03-24,131.1849513088014,123.34910564294522,138.7905632504338
2021-03-25,131.18487841415194,123.63005532571135,139.4775942105525
2021-03-26,131.2636144042825,123.21111314741076,139.53705136447792
2021-03-29,131.7905985286114,122.94081425654895,139.87031301261206
2021-03-30,131.9175472306147,124.53761468419187,140.27838618441334
2021-03-31,132.03399830470678,124.14885560013535,140.12719397412238
2021-04-01,132.00140452671704,124.24023094593446,140.3559056297758
2021-04-05,132.46430257738783,124.76848964454113,140.4355332410092
2021-04-06,132.55602347933896,124.81467202174332,140.0933330494359
2021-04-07,132.63841220538055,124.92073649118304,140.26354603561006
2021-04-08,132.5731434526037,124.4846773056835,140.53593407489123
2021-04-09,132.5860087553435,124.39900799629848,140.62408784487818
2021-04-12,132.9186154131742,124.67846640072536,141.2950395842616
2021-04-13,132.98307317784068,124.94924777482548,141.07492228226528
2021-04-14,133.03822301701757,125.00300153463478,140.48860802785916
2021-04-15,132.9452374234748,124.95340843118261,141.30921035458366
2021-04-16,132.9293930330324,125.26430442345858,140.84477538741206
