Most Likely Case,Worst Case,Best Case
166.69071326511963,158.57984088194812,173.91639003502664
166.88440026260406,159.41837251248683,174.39492296478525
166.93369355596792,159.10134605860003,174.87571185996853
167.06379978839016,159.0483818617108,174.51074588546135
170.19170001241716,162.33383422207592,178.0072110448502
170.3701669724484,162.83447693679378,178.03636416129345
167.7597849132868,159.82961155301206,175.68247028613436
167.94831641386267,160.23205433280503,175.51664131216393
168.12882153450943,160.323837216,176.65813828620037
168.16251722656202,160.41553744062588,175.88620407394367
168.27481982797156,160.1998473360469,175.6046945724694
171.38292583915322,163.5428029752994,179.37836376286054
171.53982913153624,163.54982929142167,179.41359213662696
168.90634113455022,161.05385926050982,176.8048527169183
169.07045839972739,161.1673590918103,176.47729273726947
169.22548270254734,161.2635012821861,177.574298954044
169.2328814819743,161.4286495531649,177.47148775297313
169.31833127752577,160.57257429379956,177.36705941928946
172.39929918701853,164.42061845701696,180.74445897580696
172.52906032666846,164.89640705364027,180.27706269197736
169.86871767766652,162.06419872255978,177.7167194575354
170.00656857272577,162.088584587763,178.19546487261772
170.13622286314796,162.786210576375,178.39201238191492
170.11946047800012,162.21828014970217,178.34236793223454
170.18227098472445,162.7123085818146,178.240674731041
173.24243016682053,164.99695486620902,181.3413663072263
173.35351163892724,165.31806014225836,180.8430272088552
170.6768999702064,163.08534669102417,178.75191154642965
170.8011497041067,162.49029232186956,178.95375007680562
170.92009549629563,162.83630493356995,179.2185191047943
170.89570130531663,162.8417226822477,178.1117959214691
170.95409150601185,162.63654069748722,178.84097943416734
174.0131192312913,166.13895984878852,181.60909405741185
