ds,Most Likely Case,Worst Case,Best Case
2020-11-17,174.60501468098158,164.57770083725794,185.00779675046383
2020-11-18,174.71738514427878,164.168770358997,184.58550832615384
2020-11-19,174.7524651163546,165.12563176506345,185.24819236485084
2020-11-20,174.67984218377612,164.26409637058705,184.5443927683516
2020-11-23,174.8167150479111,164.20638537555246,185.52365572373108
2020-11-24,174.88905170928362,164.62947407378263,185.70408366363105
2020-11-25,174.8576644806806,164.59413718915835,185.02040176816124
2020-11-27,174.50270893200403,164.02589561919402,185.23078107872783
2020-11-30,174.1404139905621,164.39991355807544,184.69822453150923
2020-12-01,174.05467869964187,163.50125390265094,184.78008637470452
2020-12-02,173.87527029686265,163.78173248714367,183.91469651190835
2020-12-03,173.62082002531284,163.0643589482693,183.59832481997393
2020-12-04,173.26712075654564,162.74446692640737,183.35359198493686
2020-12-07,172.67014279197952,162.54991608735997,182.28753063235706
2020-12-08,172.5517169234996,162.54658364187466,181.85462375222562
2020-12-09,172.36364757394932,161.70486361697883,182.58045598214426
2020-12-10,172.1244410932909,161.30830815317898,182.6179897925128
2020-12-11,171.80917156749555,161.71982635280182,181.62078735496723
2020-12-14,171.45094417802758,162.1294678162873,181.1637342625511
2020-12-15,171.4454994558049,161.3118245175074,181.62743596765466
2020-12-16,171.38216753487768,161.52643079637593,181.48430160148456
2020-12-17,171.2760056432824,160.9406993752269,181.51188045603263
2020-12-18,171.09843685049375,160.0020873784685,181.4602491186119
2020-12-21,171.1437169752716,161.3480998445192,181.75623764496453
2020-12-22,171.25741156604042,160.7718155326537,180.98566778979813
2020-12-23,171.29996370041627,161.6520458436266,181.991577117632
2020-12-24,171.28357998122695,160.7950550047372,181.26747682803588
2020-12-28,171.30899970823688,161.49086244079842,181.51041408977673
2020-12-29,171.40656909867667,161.31195140309214,181.68289958643507
2020-12-30,171.41081295801231,162.1050351168274,182.13922955896862
2020-12-31,171.33503146256385,160.40569834095456,180.83631120580222
2021-01-04,170.95327751130063,160.95216992919848,181.25189416013527
2021-01-05,170.92105519765894,160.1183174968099,181.072986504735
2021-01-06,170.79127366723912,160.5098659640534,181.4715724110574
2021-01-07,170.581068070818,159.8004167304637,180.7095625396135
2021-01-08,170.26500554360177,160.2931560673907,179.59520931674305
2021-01-11,169.73365315200658,158.83367694786344,179.81215045889988
2021-01-12,169.62044584339176,159.43130230699538,179.09520975257618
2021-01-13,169.42965851712611,158.9948365208809,180.08000334346661
2021-01-14,169.18051945203177,158.9694655989993,180.0018716070997
2021-01-15,168.8491217275094,157.6397199755208,177.9347713210367
2021-01-19,168.38784940196695,157.40581290672498,179.16467594546077
2021-01-20,168.30057282679604,158.2133263185312,178.3983339619766
2021-01-21,168.17445780036402,158.401309973165,177.94383866253318
2021-01-22,167.98283583270003,158.1600821112213,178.81595841246116
2021-01-25,168.0387730659399,157.04588256278487,177.89627941308586
2021-01-26,168.17850236280717,157.6943991446066,177.703125837822
2021-01-27,168.26013748502686,157.14392579987089,178.5736945109218
2021-01-28,168.29650664578838,158.42745914992867,178.3783482234938
2021-01-29,168.2568928010355,158.34613066591274,178.9281441497315
2021-02-01,168.6694418190673,159.25607943621705,178.57351669837465
2021-02-02,168.88466804539135,158.55651169738888,179.22261721358782
2021-02-03,169.0162425664259,158.61427603482628,178.76082255883793
2021-02-04,169.07554782191633,158.66560815603012,179.72543269637742
2021-02-05,169.03106348665855,158.84073358166938,179.21360699762243
2021-02-08,169.2640681607082,159.15148600765855,179.15284976787734
2021-02-09,169.3683611829378,158.8010842182378,180.30249470925057
2021-02-10,169.3669300776936,158.68433870973166,178.83190296739934
2021-02-11,169.27404800781895,158.89153464881173,179.11600189879385
2021-02-12,169.06152867870452,158.77862772814063,179.46105174587936
2021-02-16,168.64551414455434,158.08052561807295,178.61605123235407
2021-02-17,168.45608736502996,158.1228342484313,178.53253487467762
2021-02-18,168.18354720280394,158.04394198613068,178.6491557572878
2021-02-19,167.80350875502774,157.64095543843,178.1672963108271
2021-02-22,167.07853177691078,155.98407580572825,177.65336772482468
