ds,Most Likely Case,Worst Case,Best Case
2020-11-17,239.94251003405938,224.87112050829032,254.7633133181512
2020-11-18,240.16803648387736,223.91500627372537,255.10612901627331
2020-11-19,240.33097959165295,224.0563573098677,255.6472708038892
2020-11-20,240.85718431209173,225.0961123037815,256.82910824273847
2020-11-23,241.2902379947231,225.1275125484461,256.0032753993349
2020-11-24,241.4993885028791,225.62809503857687,255.73501594719437
2020-11-25,241.59635192364402,225.74235411747418,256.5907691450628
2020-11-27,242.0382592500037,226.01372020142276,257.2486355927794
2020-11-30,242.143029825733,227.1805503192427,258.17770564900206
2020-12-01,242.25874336155636,226.82984632309714,256.84518485633214
2020-12-02,242.27206650958826,226.05458961830573,256.66291931081724
2020-12-03,242.2364685282793,227.19383413436992,256.819126731646
2020-12-04,242.57985390759814,227.39877926900942,258.70534730032557
2020-12-07,242.57736075501003,226.88992389729478,258.193706608577
2020-12-08,242.68425432471128,226.2667865738613,258.1491333015602
2020-12-09,242.70249831360164,226.72181129912002,259.0572682129711
2020-12-10,242.685430467871,227.17508516395569,257.75355252916967
2020-12-11,243.0606153244462,226.6154133530081,258.93219967791987
2020-12-14,243.2265807588077,226.71766896483825,258.59643711614507
2020-12-15,243.41077501766043,228.085798668358,258.7512606435995
2020-12-16,243.5148182120619,226.49780339406223,259.3937699607974
2020-12-17,243.59055457253208,228.60285796949515,259.72020513235293
2020-12-18,244.06392115102344,229.0086222571426,259.88723213176735
2020-12-21,244.53901397987067,229.26582390963537,261.0625572650826
2020-12-22,244.8249741077545,228.99491085857485,259.8725206111589
2020-12-23,245.02707640423642,229.96851801647145,260.61597771221096
2020-12-24,245.19539942575784,229.42686546542927,259.831023741908
2020-12-28,246.4283505069007,231.21594367535968,261.79417804313795
2020-12-29,246.7576627044847,231.45717073707763,262.0171753927847
2020-12-30,246.99021870832723,231.8698599210206,261.36390632949855
2020-12-31,247.17562114252655,231.00489324656735,263.3111591868362
2021-01-04,248.3426426299496,231.75997947876454,264.0782083829067
2021-01-05,248.62399328356486,233.10888812464157,264.1045469714439
2021-01-06,248.79764734211076,234.003787133258,264.77623116010705
2021-01-07,248.91438762851342,233.74574301078727,264.5077984110468
2021-01-08,249.39960750570037,236.00026425020698,265.0834148814655
2021-01-11,249.73770624757205,233.87635885908009,265.21463072655655
2021-01-12,249.92377004764984,234.89675130496684,265.4655632481066
2021-01-13,250.0016612072124,235.29391150303437,265.3640131998703
2021-01-14,250.02375131514876,234.6485921461602,265.383600945814
2021-01-15,250.41694311107315,235.45240353035715,265.979721330593
2021-01-19,250.6250739740384,235.58474214200456,266.6085915155668
2021-01-20,250.6420587508582,234.99040547593302,266.01982651634705
2021-01-21,250.61188121233582,235.53660425827448,267.41726243462205
2021-01-22,250.96180673281432,234.9564222561124,266.9190078337548
2021-01-25,250.9778873164316,235.3523312879794,266.82895847431075
2021-01-26,251.0876582322537,235.96068079113175,266.3621142744911
2021-01-27,251.1055145188374,234.8348194077339,265.72302515838317
2021-01-28,251.08380293212565,233.81850306056452,265.70075909110216
2021-01-29,251.44911846512062,237.40731336908755,267.1254033656815
2021-02-01,251.54539537454647,236.38350366412118,266.25880511287727
2021-02-02,251.69063084342574,236.66710804736056,267.32397364804234
2021-02-03,251.74703863062842,236.073022909937,266.371555690324
2021-02-04,251.76625330543476,236.9797060161124,266.7555108619248
2021-02-05,252.17421569178254,236.99580182447662,267.7594111303414
2021-02-08,252.4032756263621,236.7408899195425,267.1046026411597
2021-02-09,252.59293993197775,236.7147964966153,267.46704989911024
2021-02-10,252.69332331866704,236.3134910843966,267.4741803275524
2021-02-11,252.7558370868528,237.41693075792287,268.8641500390068
2021-02-12,253.20625067482987,237.32341758299896,268.74750683487105
2021-02-16,253.78390647207056,239.42407364913254,267.9135750122542
2021-02-17,253.92074888890593,238.29514665475511,269.18626826848214
2021-02-18,254.01812220198138,238.5883444336337,269.9258734870751
2021-02-19,254.50157966410046,238.77830741488572,269.226779368358
2021-02-22,254.93687737688413,240.85445665882673,270.6937900413523
2021-02-23,255.18685911989257,240.64523844667974,271.2199985969715
2021-02-24,255.34233131860597,239.289425352331,271.1305612698245
2021-02-25,255.45397792200316,240.3433416906858,270.92988707160777
2021-02-26,255.9467633628989,241.0490530722477,271.9091031768651
2021-03-01,256.3744419413227,241.80125482921892,271.76264284736226
2021-03-02,256.6081839491509,241.9320937535415,272.29202638505643
2021-03-03,256.7398103210719,241.21215646920837,272.28834496255126
2021-03-04,256.8197018722228,241.00207738082995,273.07652571680444
2021-03-05,257.2726555102364,241.65812601017072,272.4748513796287
2021-03-08,257.5331925777773,240.85717678694166,272.68436921546686
2021-03-09,257.69655840400856,243.02479154267078,273.7352426912868
2021-03-10,257.7515987221241,243.80902866280434,272.47688995143477
2021-03-11,257.74968078053234,241.88415981479514,273.62774874474565
2021-03-12,258.1167898794547,242.71137340172461,274.1188652041209
2021-03-15,258.11015682170876,243.1406681043119,272.79148987159175
