ds,Most Likely Case,Worst Case,Best Case
2020-11-17,288.88910828601854,265.6708460159359,312.6069616663336
2020-11-18,289.0992728552039,265.7072652969037,313.42925395332327
2020-11-19,289.3308696278921,266.054488260284,313.7493959360439
2020-11-20,289.84157632477854,266.8709604982734,313.78027276950905
2020-11-23,290.49846771913724,266.5046457579761,313.47889294939023
2020-11-24,290.67061289072075,267.00605053476164,315.1500286282362
2020-11-25,290.6854169039383,267.3660848212439,312.4574597310638
2020-11-27,291.01893548038413,268.60334901348045,314.46798928318407
2020-11-30,291.0738206702589,265.97641311650983,314.1893226512871
2020-12-01,291.0631902534967,269.3276458878538,314.6286133653671
2020-12-02,290.9099214202002,268.6325799136321,313.98334379990825
2020-12-03,290.7885530073038,265.84290977252573,314.16269274994085
2020-12-04,290.9630583382462,266.93499847631404,314.19768396216386
2020-12-07,290.76868204043546,266.38772927827233,313.28198325754283
2020-12-08,290.72542344045564,267.15480029729815,313.35159342484053
2020-12-09,290.56503839232676,269.35382001287417,312.14820583173884
2020-12-10,290.46132948213835,266.66944686110884,313.5773174721491
2020-12-11,290.6769451984263,267.12516353648726,314.911283504844
2020-12-14,290.7252718909855,265.82296180934674,314.6516024559923
2020-12-15,290.79327305473294,267.206493163273,315.42653016589566
2020-12-16,290.7536935851223,267.0104934809096,312.6376485215525
2020-12-17,290.7765782094894,267.39570340240516,315.7670350735437
2020-12-18,291.12069430889613,267.7380440711534,314.0395861364834
2020-12-21,291.52735432622427,268.2628950183069,314.5847553172273
2020-12-22,291.6936216998964,268.048627166775,315.7223825823823
2020-12-23,291.7363550002893,267.55607525851667,316.34271780155876
2020-12-24,291.82297359624215,268.63629325593615,313.67286019554155
2020-12-28,292.60874655149917,269.650725481307,315.6616670453477
2020-12-29,292.72539343061555,269.30872504553025,315.47972776317465
2020-12-30,292.69596365043503,270.2644117409992,315.741482182835
2020-12-31,292.6893411619053,270.45429192655234,315.4257736463602
2021-01-04,292.9390246306521,266.5168558785087,315.80785542438446
2021-01-05,292.8964629705287,269.7582551768173,316.2924527969924
2021-01-06,292.7050053790884,267.43921418753126,315.5781280445189
2021-01-07,292.5374109981163,268.7886467920304,316.36453919359786
2021-01-08,292.6561963533752,269.43056493055764,317.5720703554652
2021-01-11,292.228521103894,269.0410952873519,315.442025982413
2021-01-12,292.0842856007077,269.0979177995415,315.47625110927805
2021-01-13,291.81168658319115,266.8896146518115,314.6179525302232
2021-01-14,291.5852929563009,267.5933132629891,315.9058857139553
2021-01-15,291.66884946564863,268.92944369579203,316.5916237295939
2021-01-19,291.19450058207883,267.6200639755477,314.5010957729513
2021-01-20,291.00113833385575,267.1567534217825,313.8101240179527
2021-01-21,290.87195302676827,268.0751776844668,312.73162862518996
2021-01-22,291.06780594043386,267.36497771963906,314.42923052353024
2021-01-25,291.0718079530806,267.8756054851746,312.9736605524024
2021-01-26,291.12339780710334,268.4302666508331,315.82942802204093
2021-01-27,291.063337965934,268.33519646303165,315.0099347225608
