ds,Most Likely Case,Worst Case,Best Case
2020-11-17,147.83884701030928,142.47873567080717,153.38781430651198
2020-11-18,147.8499474448467,142.37058752227026,153.63922595872944
2020-11-19,147.89107054882467,142.30598145739853,152.6951554026764
2020-11-20,147.98864760835158,142.31392918554343,153.15199529795004
2020-11-23,147.97998140582834,142.40824055746657,153.50754773741286
2020-11-24,148.18045537963835,142.54917282129585,153.99424632289683
2020-11-25,148.1986757136844,142.7281167777008,153.57218387244782
2020-11-27,148.3593764656556,142.80906903154502,153.50156808357673
2020-11-30,148.3940065526101,143.51482874262663,153.911959401698
2020-12-01,148.60919093839954,143.1078314154426,154.5237521286018
2020-12-02,148.64128096420197,142.89514176095835,154.0789398982208
2020-12-03,148.7048031283404,143.19253502128674,153.8833677641145
2020-12-04,148.825121492187,142.95771231072638,154.4062149620692
2020-12-07,148.87674653095254,143.08704305154245,154.5364966790014
2020-12-08,149.09172162376152,143.3782639220504,154.44353676471258
2020-12-09,149.12042207477654,143.8217652851867,154.74698142423026
2020-12-10,149.17735643370517,143.49204393440579,154.76468860148293
2020-12-11,149.28795610896583,143.94981902514272,155.1526265194168
2020-12-14,149.29353090819052,144.0780096660119,155.0617593085894
2020-12-15,149.48852468621806,143.9196099403074,154.68492002199875
2020-12-16,149.49558801984008,144.37686062392902,155.08168170685465
2020-12-17,149.52970234519464,143.49363318767502,154.59024094198847
2020-12-18,149.61680863321416,144.52035300543858,154.6879456185187
2020-12-21,149.55326084374676,143.94303884995153,155.0740168401927
2020-12-22,149.7274792618267,144.42067581730367,155.2465647142196
2020-12-23,149.71576919191997,144.1222864284487,154.71244167923416
2020-12-24,149.7335852066451,144.07681092379178,155.1875456801087
2020-12-28,149.7242442108059,143.9890725925605,155.1876932410001
2020-12-29,149.89958439551557,144.3059315847534,155.54616406525668
2020-12-30,149.89295750338388,144.68386196917783,155.35830752851837
2020-12-31,149.91977229083378,144.28836794692512,155.64471673840325
2021-01-04,149.9814275506237,144.650952764372,155.56716021048888
2021-01-05,150.18145785774098,144.71607299482852,155.37583259962548
2021-01-06,150.20129820752777,144.78789251768268,155.41791967524023
2021-01-07,150.25574428184737,145.00442895652037,155.53628779105173
2021-01-08,150.37036253170692,145.1152728372313,156.0476726852343
2021-01-11,150.42596132514493,145.54565549009305,155.86881178644688
