ds,Most Likely Case,Worst Case,Best Case
2020-11-17,128.13601894717075,112.35735841240432,142.50498704688368
2020-11-18,128.17124455436897,112.91627029455542,141.29774992047678
2020-11-19,128.36831189284658,114.2840215431252,143.71921328239694
2020-11-20,128.55037608238996,113.42184544909674,142.38293904787045
2020-11-23,128.86083427539245,114.38527398491166,143.44463343239653
2020-11-24,129.04533771613353,115.27699356385584,143.6161378454852
2020-11-25,129.01344410873267,113.8702054338429,143.66816232466817
2020-11-27,129.22763001192797,114.68078552252187,144.20303507948543
2020-11-30,129.23104057956192,114.85444056934743,144.87678764451238
2020-12-01,129.3042769363589,112.8608055977616,144.53818118957085
2020-12-02,129.16039293708192,113.23056502576945,143.6596701542335
2020-12-03,129.1696715775749,114.15072062714533,144.72162075016544
2020-12-04,129.1586795812458,115.88247284880023,143.26558407144122
2020-12-07,128.89803725310654,113.01605079352994,142.194137141398
2020-12-08,128.90920411275957,113.9788463627174,143.290135147019
2020-12-09,128.719801391367,112.75459403691598,143.96931321657988
2020-12-10,128.70178064913296,115.02955172524979,144.61452845097497
2020-12-11,128.6829709581034,114.30443620742183,143.4046245237553
2020-12-14,128.52131758526147,115.07952498849356,143.8214587794276
2020-12-15,128.6055761660144,114.59309720677571,143.27980079053702
2020-12-16,128.5076266306469,113.58645222789863,142.59157603754358
2020-12-17,128.59762783248448,114.00795917827877,143.68919730616696
2020-12-18,128.70113303769978,114.52148053683848,143.17679802588242
2020-12-21,128.96322904747993,114.39388577548793,143.23114559557695
2020-12-22,129.1964214079529,114.46735043538484,143.05673128120284
2020-12-23,129.2451023675568,114.93791828530726,143.23971999944342
2020-12-24,129.4756211464762,115.39594741392462,143.3746056007778
2020-12-28,130.26988513502832,115.41436719350737,145.93480270666953
2020-12-29,130.5611331287358,116.60052706250318,144.93085943438808
2020-12-30,130.64333570764256,116.20075156775171,144.99102683281083
2020-12-31,130.88131125178353,116.44527487637383,145.14278475682778
2021-01-04,131.43619024398842,116.67014415768264,145.50028398768447
2021-01-05,131.6039174561434,116.88522721037941,146.33029727708683
2021-01-06,131.54084967598445,116.98568285310782,145.70552395958123
2021-01-07,131.61470951425582,116.751859158381,145.85315897186248
2021-01-08,131.64978638183567,116.2977079281668,146.40562357798527
2021-01-11,131.398772032672,117.10562390552884,146.6729206148983
2021-01-12,131.36649409032174,116.43585408075322,147.03944953998695
2021-01-13,131.10954993750505,115.78265488233171,146.3598918877957
2021-01-14,131.00014686120824,115.96092233620332,147.13781961074312
2021-01-15,130.86685783564428,115.7652833259342,144.8584477703312
2021-01-19,130.13192246877557,116.56895101994434,145.50765536541795
2021-01-20,129.8312750126601,114.78141378803915,144.23759888308732
2021-01-21,129.70917038696484,114.81496497419558,144.96078307374634
2021-01-22,129.59461401040687,113.77330349445539,145.28573090105382
2021-01-25,129.2036042664002,115.69875018361698,143.67000476198737
2021-01-26,129.23197814432064,114.56776587091552,143.37404020833407
2021-01-27,129.08840479803385,114.08950590063375,143.86417205097092
2021-01-28,129.14266342473562,114.29712695861471,143.3148655343873
2021-01-29,129.2197156163415,114.43531618760271,144.19329886480455
2021-02-01,129.4497473376936,115.13860729768024,144.1908707241913
2021-02-02,129.68460777597045,113.7654727346354,144.76948337078127
2021-02-03,129.73926383890952,114.88233051628991,145.14629768908313
2021-02-04,129.97891984379646,115.61652235196505,144.84136436066157
2021-02-05,130.2242614094083,115.26868773831394,145.17863256285355
2021-02-08,130.8202307896262,115.81917324085518,146.11640451386563
2021-02-09,131.12138153678853,115.93965011030936,146.12821243240327
2021-02-10,131.21136456235004,116.64348479836845,146.7059873585777
2021-02-11,131.45453858688617,116.92987399706243,146.44558634132906
2021-02-12,131.67145152253545,116.80714666853319,146.41654591595352
2021-02-16,132.15661470073934,117.10173047754085,147.62075129875265
2021-02-17,132.07980984033804,118.17128822897169,146.60778091629487
2021-02-18,132.13682764092846,117.10189349685726,146.99336873310972
2021-02-19,132.15199689002563,116.89649718361908,146.15398165165416
2021-02-22,131.82231834296985,117.0359508944837,146.4316085293237
2021-02-23,131.75684880187382,117.24480091961112,146.0386377229537
2021-02-24,131.46260269830813,116.75744698365587,146.7190892122178
2021-02-25,131.31121299155564,116.21304217906003,146.2564126973245
2021-02-26,131.1305433008566,116.53840793337518,145.7453170099097
2021-03-01,130.31801568285428,114.02358739340919,144.7782004327385
2021-03-02,130.1338455526338,115.41615745376527,145.0185419607257
2021-03-03,129.7443901231155,115.36028911199425,145.2152637392607
2021-03-04,129.5218842449086,113.66414177139993,144.7256177597421
2021-03-05,129.29425456266654,114.07557488682582,143.97168839831494
2021-03-08,128.47889834011548,114.46248313579892,142.21226896392574
2021-03-09,128.33529961430543,113.37052073308413,142.79520523799377
2021-03-10,128.00401135074134,112.44065120481503,141.46443465676782
2021-03-11,127.8549622900954,113.06764024021726,143.23689388541715
2021-03-12,127.71359991750205,112.34741069406489,142.70232738707193
2021-03-15,127.2080633208589,112.0772201820098,141.25536897499623
2021-03-16,127.17627248877783,112.38480150809454,142.96209646310828
2021-03-17,126.95712220724529,111.59975967244046,142.22703791941382
2021-03-18,126.9184749068137,112.45166676512602,141.2363286218913
2021-03-19,126.88397124275029,111.71606484745139,141.1870572416653
2021-03-22,126.66415756610607,112.3308699579403,143.12520594698353
2021-03-23,126.71304295728952,112.55736989577609,140.2481802721568
2021-03-24,126.56660222368706,111.90239324493595,140.6309212407218
2021-03-25,126.59273062277461,110.85864467376445,140.37306855866123
2021-03-26,126.6153603355735,111.54869910679848,141.63244971296876
2021-03-29,126.5270866475187,112.31622751287902,140.55533708027878
2021-03-30,126.60924472237329,111.67083977108187,141.56111002797772
2021-03-31,126.49233588837825,111.20797548176817,140.79234476634946
2021-04-01,126.54519564278237,110.73064595082936,140.8912074995117
2021-04-05,126.57451742037935,111.93292957866196,142.9040897618063
2021-04-06,126.6802686096085,112.15911703358039,140.4254632207029
2021-04-07,126.58742928528763,111.26672480462986,141.7573325798123
2021-04-08,126.6647698127734,111.0131279829278,141.04997414555285
2021-04-09,126.73685346288885,113.7170794069253,141.55767135662353
