ds,Most Likely Case,Worst Case,Best Case
2020-11-17,155.8680060337595,145.22754825148021,166.4016703400529
2020-11-18,156.1735142295043,146.13301357857102,166.16406478338698
2020-11-19,156.30728784972993,146.14912530262882,166.66304008145408
2020-11-20,156.41836642835946,146.08094982936936,167.22899985357438
2020-11-23,156.35099051210813,145.8648058346253,166.69227470462107
2020-11-24,156.4744847038864,146.39366785589104,167.03412008571925
2020-11-25,156.8273057653908,146.3908254840311,167.18776883745306
2020-11-27,157.24071114953207,147.02509527694323,167.6987953752512
2020-11-30,157.59107658567245,147.3413047261429,167.7140760489741
2020-12-01,157.88870432561149,147.80476563671502,168.01298240089858
2020-12-02,158.42795838871288,148.4001090726987,169.01780666637936
2020-12-03,158.82904678232796,148.959315701951,169.16312591780385
2020-12-04,159.23638724674439,149.3595166523182,170.16578397699135
2020-12-07,160.1749979590031,149.71563708116972,170.5283915581969
2020-12-08,160.65156137786855,150.407637036671,170.6806026220946
2020-12-09,161.35493570849584,150.92429365383626,171.88804668058944
2020-12-10,161.90202984692496,152.09150283122213,171.66551678747658
2020-12-11,162.43437949200106,152.42619152899954,172.9269542214932
2020-12-14,163.60090659964482,152.67652792741052,173.7006263272108
2020-12-15,164.10027756874678,153.99050803781068,174.39829239083966
2020-12-16,164.79937796343725,154.54951767849997,174.7038764222763
2020-12-17,165.31577430243826,154.83555604708852,176.38026179224036
2020-12-18,165.79227915143036,155.65123678335965,175.6882976182391
2020-12-21,166.66159934304417,156.35599095790116,177.04818748803726
2020-12-22,167.0281418174395,156.46910655427203,177.7196228819747
2020-12-23,167.58319587316103,157.58996010266534,177.21694843461208
2020-12-24,167.948094505701,157.8186151702049,177.6746805954441
2020-12-28,168.69035154434812,158.11223813924917,178.83477812106182
2020-12-29,168.9248148258062,159.67382100085493,178.57467183981666
2020-12-30,169.36164658069396,158.89486110895294,180.16264727121248
2020-12-31,169.62463151144425,159.1761201839439,179.81099504917225
2021-01-04,170.15230976992424,160.90237303719155,179.92079912885544
2021-01-05,170.38368440402303,160.2489898672442,180.83130149356833
2021-01-06,170.8364411698146,160.27282866936469,180.33362648030436
2021-01-07,171.1327503155556,161.03826874707474,181.27875044636778
2021-01-08,171.41910929529396,161.10561601016775,180.98912354090822
2021-01-11,171.9190910432269,161.78877982343184,182.30294426267972
2021-01-12,172.23130628230533,162.16779848353175,182.08196080913496
2021-01-13,172.76461265061803,162.26656502065856,183.2556642359329
2021-01-14,173.13773198317543,162.45411136125773,183.30877110751408
2021-01-15,173.49383859384162,163.24696553828267,183.5141267833229
2021-01-19,174.45767876970444,164.5856340721919,185.07160380064514
2021-01-20,174.98647499071103,165.00580749367154,185.2605814292135
2021-01-21,175.33568593781683,164.13171247029666,186.17926970767198
2021-01-22,175.64829464446385,164.5937177551861,185.51766736510552
2021-01-25,176.0450507996537,165.4095436957984,186.45164568348275
2021-01-26,176.25968039401013,165.97707562251185,186.49258922846983
2021-01-27,176.6650785699326,166.27233337273378,186.76579097129627
2021-01-28,176.88222552330805,166.10111441216785,186.82152164055725
2021-01-29,177.05748807190926,166.57617849374762,186.85106451960317
2021-02-01,177.04727668989392,166.35386775016283,187.26403028298733
2021-02-02,177.14044589793448,166.555805629671,187.1751899918202
2021-02-03,177.4374874883253,167.03149618650562,187.46884536738776
2021-02-04,177.56261945870847,167.37330206505055,187.46541875532478
2021-02-05,177.6650676803865,167.35815257202307,187.35213507547573
2021-02-08,177.57284780486503,166.84476936401236,188.60776888570118
2021-02-09,177.6883484493776,167.32945843341193,188.40551716783904
2021-02-10,178.0330625872971,168.05141351049554,188.58198275964443
2021-02-11,178.2305223432587,168.33209347202356,188.43245543582307
2021-02-12,178.42861611248168,168.2530361700382,188.25411689142976
2021-02-16,179.0202691851512,168.47285573594718,189.37405926660986
2021-02-17,179.5373975193123,169.95044570660934,189.67401418532876
2021-02-18,179.91170408720808,169.231737989869,190.92024467600905
2021-02-19,180.28688382614914,170.3397898034733,190.82584493896886
2021-02-22,181.09019774472182,170.2274145992776,191.0723727127096
2021-02-23,181.50693980875837,171.06783904763233,191.65908516264633
2021-02-24,182.1425156653416,172.1356813733842,192.43782842238633
2021-02-25,182.613671371385,171.50936594597601,193.750642758776
2021-02-26,183.0619394411244,172.49330953837656,193.58989472344786
2021-03-01,183.92992227031831,173.93705520352367,194.45109273522786
2021-03-02,184.31608712319178,174.07268822526908,194.2661143329847
2021-03-03,184.8964421722905,175.0012055119161,194.82768096688443
2021-03-04,185.289580949152,175.26683993436313,195.96661360694785
2021-03-05,185.63948476114658,175.3940060636243,195.70949358252133
2021-03-08,186.1223122561882,175.67247774811437,195.9573292319603
2021-03-09,186.36263580982427,175.5249936644958,196.67063957989794
2021-03-10,186.79529116062685,176.78912255944056,196.5227242219446
2021-03-11,187.04311245778786,176.63546935243585,197.29692933867537
2021-03-12,187.25423978615,176.45412351977518,198.09546960643988
2021-03-15,187.3980003135962,177.12450080818078,197.37559970430735
2021-03-16,187.56181992143775,177.14133677619742,197.84383637377292
2021-03-17,187.94034837758323,177.19118427315058,198.0788454641397
2021-03-18,188.15798365365538,178.45636631560083,198.85021161704952
2021-03-19,188.36375608603643,177.98625619473097,198.61058812286558
2021-03-22,188.63883593199552,178.37734493120988,199.1360147711255
2021-03-23,188.8915639052365,178.37383408765558,199.33692233418063
2021-03-24,189.3779517576177,179.82960725679038,199.65234721695484
2021-03-25,189.71937021483518,179.53512819469196,200.456785079935
2021-03-26,190.06135693159612,180.6412776038401,199.77068528289973
2021-03-29,190.7797893740492,179.70922471808066,200.92374817153953
2021-03-30,191.1776860108252,180.96432515486467,201.29145061232185
2021-03-31,191.8007961938657,181.44483042024626,201.53844438458216
2021-04-01,192.26642275158167,181.9182640064514,202.8587771613509
2021-04-05,193.62971870729157,183.5147884452991,203.87167613806866
2021-04-06,194.04204380952683,182.71587762858096,204.66735085065017
2021-04-07,194.65209883402616,184.50237886647082,204.73086200085777
2021-04-08,195.07690824187327,184.90218909646856,205.84452863459478
2021-04-09,195.4586819980154,185.85057584699547,204.95434521183833
2021-04-12,196.0185964464773,185.58485107619092,206.4673794280414
2021-04-13,196.27158234711348,186.25489373558585,206.5741438678499
2021-04-14,196.70701348672927,186.04793397726667,207.11436701681336
2021-04-15,196.9458610228464,186.97223443831368,207.06629592185848
2021-04-16,197.1345876151148,186.16106588603293,207.11254219615748
2021-04-19,197.1176596267912,186.41704827268805,206.1996968954891
2021-04-20,197.19403116654044,187.10309200051555,207.93049668015868
2021-04-21,197.46771707714487,187.28612523698064,208.31478958314253
2021-04-22,197.5634367976215,187.67613213136676,208.64275627723018
2021-04-23,197.63095105255906,187.7799060479875,208.19823931729277
2021-04-26,197.4065034718853,187.0344020983669,206.69648512096137
2021-04-27,197.4707693263264,187.6173864587327,207.537803486546
2021-04-28,197.76168829915088,188.0860780545817,207.79752326793556
2021-04-29,197.90341527022102,187.9231497684258,208.37902197606397
2021-04-30,198.0444668025802,188.0831196562789,208.03982298241203
2021-05-03,198.18405551988516,187.7124050294059,208.60128924431606
2021-05-04,198.40755380563306,188.11036730682878,209.22440742844063
2021-05-05,198.87063159128712,188.97282744401878,209.79426550846466
2021-05-06,199.1933947803424,189.55545306904577,209.31048725397815
2021-05-07,199.52016156445436,189.01829606465478,209.51649182150666
2021-05-10,200.20298504678885,189.963690075221,209.9159256161457
2021-05-11,200.58965974428867,190.44672358391196,210.7916329325073
2021-05-12,201.20103714128143,191.20263872791088,211.24650618997038
2021-05-13,201.65427318654605,191.37665571788443,211.97592218803723
2021-05-14,202.091240280205,192.20780350097846,212.45507352162275
2021-05-17,202.96716152327238,192.85566331775675,213.49412457119408
2021-05-18,203.3701403660165,193.80513148191798,213.54829142532122
2021-05-19,203.97423269696074,193.95658528803966,214.08012878832594
2021-05-20,204.39776260567484,193.92579692398323,214.6844543829776
2021-05-21,204.78432422057082,195.2302576066417,215.15849561835714
2021-05-24,205.40915649357257,194.6835151131976,215.41212348795202
2021-05-25,205.7051243879042,194.64023981603947,215.67351783769513
2021-05-26,206.1961822255259,196.469536446833,216.42863692921182
2021-05-27,206.50423376738442,196.80326930517623,216.6894587286904
2021-05-28,206.77645625426123,197.60773614778364,217.35109862771927
2021-06-01,207.31808567425514,197.44871425734806,218.50331173601452
2021-06-02,207.74825034252396,197.83869290014914,218.5180172296555
2021-06-03,208.01339125846474,197.74082942709876,218.27913175009857
2021-06-04,208.26209241425565,197.69505450286007,217.46167031303588
2021-06-07,208.6368082534445,198.9787732342025,219.0561148877728
2021-06-08,208.9135077790502,198.83847337181047,219.32509802276854
2021-06-09,209.4200393411827,199.58895872135125,219.72224707241412
2021-06-10,209.77858685938276,199.1559491292927,220.95205942396996
2021-06-11,210.1357184533239,199.6289455641104,220.36718406541806
2021-06-14,210.90090169154595,200.16101109808417,220.5809791876749
