ds,Most Likely Case,Worst Case,Best Case
2020-11-17,348.5630044116486,332.5560507159616,365.87816984684343
2020-11-18,348.779759957661,331.08174113599966,365.1068664617659
2020-11-19,348.8743523253896,331.89599688584417,365.63497820130345
2020-11-20,348.97305523207007,331.92549910911436,366.5753467964202
2020-11-23,348.5586778332969,332.24705641517806,365.5104405846895
2020-11-24,348.584574941089,331.64003842525045,365.94074527836915
2020-11-25,348.61324066771493,331.9043898599032,366.0428601748025
2020-11-27,348.4601958662166,331.27628162025377,364.69743897598534
2020-11-30,347.6505918507196,330.7206374597626,363.7414554581092
2020-12-01,347.58923525981896,330.8668995076323,364.2631351823202
2020-12-02,347.55654769994544,332.07731615013887,364.17702888780474
2020-12-03,347.43789123007605,331.3856391201409,362.4110068809685
2020-12-04,347.3640758952958,331.80530804959955,364.4260203228999
2020-12-07,346.71070545594523,330.6043142815398,362.8569474202638
2020-12-08,346.75693148195853,331.49475744692387,363.4940808800443
2020-12-09,346.8571752136372,329.5864417611337,362.9498677848687
2020-12-10,346.8945730412999,330.2355982462063,363.2100117829728
2020-12-11,346.9972328094352,330.2725473374827,363.919838757836
2020-12-14,346.9626815000622,328.67204680358145,362.9059469052304
2020-12-15,347.2323272863491,330.06140437841316,365.0920522524436
2020-12-16,347.5576838209632,330.4157097709693,364.1969924457017
2020-12-17,347.817592003609,329.7297905485337,364.89783884178667
2020-12-18,348.1358701159542,331.9817319322656,364.4220291158573
2020-12-21,348.6658188127832,332.22041632046273,365.2125641431862
2020-12-22,349.08372946749023,331.6193609621625,366.6000185673834
2020-12-23,349.5320590704801,332.4079183861669,366.1379314445349
2020-12-24,349.8871228023168,332.66002964085186,367.70056611352726
2020-12-28,350.80695122035235,334.11458350317486,366.7867777090956
2020-12-29,351.16319982581985,333.9606447478195,368.3616127855706
2020-12-30,351.5193709217569,334.13364528393606,369.09384974804215
2020-12-31,351.75355893281926,336.04218783483157,369.2608062088288
2021-01-04,351.9582482134699,336.0216096014637,368.71814437216227
2021-01-05,352.0958983409097,335.3223135751784,369.3827896851962
2021-01-06,352.2260677260856,335.8640920721572,368.02142766921907
2021-01-07,352.23151717443284,334.97655751024644,369.9309478442529
2021-01-08,352.2412010489504,335.84954309102767,369.59894675657154
2021-01-11,351.5879655601666,335.2305028232838,370.2783179515095
2021-01-12,351.5525575959179,335.57892253425973,367.62901542574866
2021-01-13,351.5331848968267,333.73012156697615,368.98413034133006
2021-01-14,351.41581261415456,334.51611980089103,368.11500917712135
2021-01-15,351.3320476659677,333.9110307075154,368.57573542439064
2021-01-19,350.5940762467348,335.1595839611796,368.37744765031226
2021-01-20,350.6451285472244,333.78138105527177,366.2316183386123
2021-01-21,350.62945878483356,333.9421415062655,367.07386273508996
2021-01-22,350.6765522424105,334.32020011222903,367.47221379687915
2021-01-25,350.47336683014623,332.1866159786723,365.81657799713247
2021-01-26,350.69008649440013,333.42671992758574,366.6149014873769
2021-01-27,350.9658333046328,333.92912091298587,368.7442574899211
2021-01-28,351.1802371532458,333.68862671156313,368.4093579239108
2021-01-29,351.4577404669695,334.8784991547151,367.8534267125866
2021-02-01,351.8973004368314,334.11175096081377,369.02823331320906
2021-02-02,352.29597726359987,336.63229684135763,369.6917538907897
2021-02-03,352.73017138843164,335.7091902270047,367.9646619165488
2021-02-04,353.07570678971473,336.88308318158465,369.57066648772104
2021-02-05,353.45374027462185,337.75061495686714,369.9516560312035
2021-02-08,353.987512134164,337.07337873193006,370.5003775473291
2021-02-09,354.3438742579752,336.6104734088892,371.17336123470886
2021-02-10,354.69834744304967,338.7388825181464,371.38776018478467
2021-02-11,354.9274855539743,338.5608957613641,371.73932740063
2021-02-12,355.1538584214996,339.03263332524944,373.085889933761
