Most Likely Case,Worst Case,Best Case
192.6851487319733,155.3468751629802,228.27310089450586
192.85879751592472,157.55708554690736,227.0322408216015
192.91703023674597,157.3089569560209,228.84674610138606
193.3006434722259,157.1626590042342,231.03144794463768
194.10897220980385,157.44087304206946,230.29173495644915
194.36683326047014,155.72662509031883,229.9112073715436
194.035632082001,159.1540842235286,231.08756153546562
194.38176876048658,159.55081739881015,231.14666621801385
194.5839844704744,160.4053213574572,230.69923072734656
194.63226383576585,155.13373586782,231.0045054972886
194.96704994347812,158.0789371640422,231.83373799526393
195.68824209795253,159.0499498007877,228.81044852457322
195.82213372308797,157.9233695814682,229.1004277361266
195.33248846523117,160.38757308165552,230.55005298922228
195.48889111314614,156.87423886378096,232.3738884889978
195.4740162152721,161.28002062243067,234.2908481029429
195.2824320214448,159.26140652391376,230.52295143998484
195.35969928646887,158.8117853967112,231.05113507988116
195.8112383045177,157.31947736114626,231.62177001949004
195.66912526686113,159.32587948575318,232.14151886579972
194.90301997341592,155.84573317178413,230.69532772517442
194.78836567198076,157.4711722312164,231.2757539333656
194.51350812201372,159.9323608076748,228.88616617558228
194.078355664807,160.01712174607175,230.9506763871268
193.93334381155165,156.3603021929193,229.31257690289505
194.18818139869464,157.28463308468852,232.21468869889364
193.87854268603056,154.67661862473554,231.0487354625546
192.97691022132628,156.3241876423534,229.92022337822354
192.76071147170939,157.2692862957511,226.74668205875457
192.41939791749004,161.88338395025437,226.68416183361336
191.95308931922142,158.18222375347335,225.17160427565014
191.81154690607343,156.0877384664749,228.25692884336286
192.1029520765985,156.3510950209556,229.7099482586598
