ds,Most Likely Case,Worst Case,Best Case
2020-11-17,241.83341229278633,223.94530746260486,261.6176193246473
2020-11-18,242.10796449646557,221.13900744123805,261.78840155849394
2020-11-19,242.09623301396635,222.24943465122502,261.0314673061152
2020-11-20,242.3727872149874,222.56177224054943,260.5480938595826
2020-11-23,242.25214148507018,223.097860626463,261.2312499759952
2020-11-24,242.09691862566623,222.07884702351697,260.6400564265654
2020-11-25,242.13878675881094,222.5288857856667,260.92915739873035
2020-11-27,242.02471406342232,224.28972721534225,261.483661444463
2020-11-30,241.5855830958101,221.96377806805174,259.75698593883067
2020-12-01,241.39487574938124,221.3996042922658,262.18380422636665
2020-12-02,241.4361201067299,221.57393074577783,260.37350461248985
2020-12-03,241.25239792471845,222.50791107251868,262.1730340325617
2020-12-04,241.41908660051806,222.60361918071723,261.916181686396
2020-12-07,241.33022389742388,222.26123768491976,260.7627601992381
2020-12-08,241.29600100295488,222.20350713782392,260.91088722175226
2020-12-09,241.50615291235505,222.64675334900787,259.71281855436735
2020-12-10,241.49888946806598,222.39702101998768,260.5982333195697
2020-12-11,241.8445964554185,222.28991775097447,259.9466619115228
2020-12-14,242.25880944095923,221.37318234883418,261.6736720899707
2020-12-15,242.36547953612018,222.24972748479985,261.76385922913244
2020-12-16,242.69624406894414,224.20224210564234,262.1683552840104
2020-12-17,242.78589737824387,223.21163266971288,262.4462893849843
2020-12-18,243.20199874270617,223.93137502994847,261.184084140862
2020-12-21,243.65006631892024,223.9914458556653,264.1845557869154
2020-12-22,243.70647068887817,224.17714942847618,260.20252939750713
2020-12-23,243.9568412392535,224.0478977695339,263.6440179083522
2020-12-24,243.93746663906543,224.9828626437134,263.3534693291973
2020-12-28,244.13226774966398,224.46228257307908,263.7852728041225
2020-12-29,243.9811770776127,225.8759933907128,265.21850244551547
2020-12-30,244.01674299100705,224.997014376287,264.7712277485195
2020-12-31,243.78009826081507,225.2160122170932,262.8848627364012
2021-01-04,243.1789988950243,223.57533143274122,263.5206822649184
2021-01-05,242.87037292019465,222.92866409597812,262.8142775213239
2021-01-06,242.77312362583163,223.68968526396128,261.75459519592425
2021-01-07,242.4316355321495,223.484031975704,260.6305110268503
2021-01-08,242.42325440593194,223.78452558918855,262.7557118888046
2021-01-11,241.73397093807478,221.50290613217962,262.756200271532
2021-01-12,241.4865765708698,221.99803542575572,259.4036341087509
2021-01-13,241.48402260188433,221.43545784420235,260.3353391574161
2021-01-14,241.26908593353198,222.75726064870446,260.21946130571536
2021-01-15,241.41682738047035,221.9481097892343,260.6438396295355
2021-01-19,241.33417052296446,221.84949702421943,261.5861300024675
2021-01-20,241.58189775728582,224.18705165953807,260.2312391080999
2021-01-21,241.62258791311575,222.86750154233073,260.57173471514733
2021-01-22,242.02633648031917,223.31212701093028,262.6922297519812
2021-01-25,242.67234332729794,224.61995187065645,261.7097890667764
2021-01-26,242.8745214535788,223.85639400589827,262.8404261094561
2021-01-27,243.3093836081032,224.68021683921467,261.1718231074051
2021-01-28,243.5113577422001,225.10808503660894,262.6200455589011
2021-01-29,244.04758852542005,223.4141280946924,263.07139409066434
2021-02-01,244.89775028190292,225.2596642318616,264.52487195094335
2021-02-02,245.0999475414052,225.7949225936693,263.8068124426132
2021-02-03,245.5006658064979,227.00277180013603,265.89299688859853
2021-02-04,245.63522263853616,226.4427796976727,264.9672956043936
2021-02-05,246.07226866420243,226.96041346990742,264.6401791693136
2021-02-08,246.4576135990889,227.92907907346333,265.1891341793323
2021-02-09,246.4592420197096,227.72086497697907,265.71868587440156
2021-02-10,246.64256300550818,225.9521491992729,267.1894040531089
2021-02-11,246.5468753077481,227.737497355631,266.16983976071776
2021-02-12,246.7449533156792,226.25361898648222,265.75151396966186
2021-02-16,246.17157596179544,226.66209460998886,265.60873100577277
2021-02-17,246.13333180290408,226.7180433492929,265.6901097364331
2021-02-18,245.8305232454401,226.8136781162275,263.7825223191979
2021-02-19,245.83886062166331,228.38064089977811,265.7683849655644
2021-02-22,245.05466564641767,225.70493100801974,264.6076239374683
2021-02-23,244.72412631494848,224.71594940651545,263.57551395251176
2021-02-24,244.61185896867136,224.57321816383782,263.17212909970635
2021-02-25,244.26067133457965,224.5940462459529,264.4905007982104
2021-02-26,244.2460344959349,223.63563369281349,262.5900786909545
2021-03-01,243.53688986007256,223.3255352684121,263.65775783345964
2021-03-02,243.274794652277,224.8853561136466,262.3968925519347
2021-03-03,243.24969388180892,223.4767170535641,262.0412381667746
2021-03-04,243.0022828363092,224.3828586894852,262.27935876481575
2021-03-05,243.1057836962772,223.54057433968495,261.4686315977742
2021-03-08,242.81380160647868,224.75468584558854,264.58351583048506
2021-03-09,242.7039133536048,222.72042227947222,263.1006238596266
2021-03-10,242.8338934835881,222.90869086205706,260.7206677848321
2021-03-11,242.74240484854914,222.71763826168467,263.1728783819474
2021-03-12,243.0008066825227,223.83114735627376,263.31675687352435
2021-03-15,243.15173842061492,224.5474759421341,263.57216855804984
2021-03-16,243.17807469297267,225.06238065778285,262.052417306389
2021-03-17,243.43704217693738,224.20321609611594,262.2621284919966
2021-03-18,243.4667013363773,223.5497340550066,261.2139571514566
2021-03-19,243.83800237005698,223.67094373491932,263.7859191536054
2021-03-22,244.27654464026898,224.40284502599732,262.46856600743723
2021-03-23,244.38185992837722,226.68201682854516,264.0625586919693
2021-03-24,244.71167574038685,224.02626748572172,263.5946259609686
2021-03-25,244.80433427366881,226.6357132674681,264.8603505727902
2021-03-26,245.23109395956615,227.39855715894126,265.1199280886498
2021-03-29,245.7937822767004,228.243660289518,264.67404660460556
2021-03-30,245.92725691186303,226.2402924467972,264.7803559888087
2021-03-31,246.27892454113373,226.15419136588568,265.25481821786906
2021-04-01,246.38721802394718,226.9199233353328,264.90818328341976
2021-04-05,247.37664427376183,228.1038877053611,267.62753608913005
2021-04-06,247.49390864378586,228.73603405616024,264.8828794966437
2021-04-07,247.82253368771435,227.2465580752351,266.23433166507743
2021-04-08,247.90075664671875,228.18237317011915,265.7166884964606
2021-04-09,248.2996822340283,228.37211955709293,267.31152278495006
2021-04-12,248.69667924211672,230.64242170789333,268.1091324360893
2021-04-13,248.7470262082907,229.13891261142018,267.23657001557945
2021-04-14,249.0015166770826,230.91715861047413,268.1160428903844
2021-04-15,248.99867353296435,229.61080397377145,267.3884282571089
2021-04-16,249.31000924428605,230.91341109876038,269.26381826675214
2021-04-19,249.41108262231745,230.78029767105915,267.31966345758565
2021-04-20,249.35436191066978,230.79577458023854,268.93933437414506
2021-04-21,249.4991763502327,229.23824407339825,269.0419491428382
2021-04-22,249.3851638282499,231.5487290642798,267.4277258853721
2021-04-23,249.58503130787807,229.89331749159166,269.3724289911257
2021-04-26,249.36261850464425,229.39745147000903,268.7079252622324
