ds,Most Likely Case,Worst Case,Best Case
2020-11-17,162.31270758483097,131.89832282357432,191.8545276316203
2020-11-18,162.63824113487743,133.94456510448774,191.74402893196321
2020-11-19,162.84416093905884,129.76740244012794,193.22358657799796
2020-11-20,163.0563830243692,132.33736093228177,192.63060884211328
2020-11-23,163.25417456316197,133.86990369457538,194.2786418789336
2020-11-24,163.2255862301528,133.91539197424578,195.40865699834487
2020-11-25,163.11628126227842,132.81531274892424,195.36597700852815
2020-11-27,162.74143796136892,129.92773467517634,193.06398785849126
2020-11-30,162.0074503786369,130.6173227395984,192.78134881174475
2020-12-01,161.7507811594554,132.35586755382658,195.36368196840115
2020-12-02,161.4585567978747,129.9100891764607,192.43433429935476
2020-12-03,161.1171139819511,129.97438591032062,193.3635870253145
2020-12-04,160.85780569623418,129.52414532266133,193.55770491939816
2020-12-07,160.13197102522537,129.79447469621581,191.8056475390802
2020-12-08,159.96462888661034,129.28361844296157,192.26495463954407
2020-12-09,159.8005002073257,129.19684804538963,190.04512357249735
2020-12-10,159.62222703652287,129.71549953724025,191.28612484323807
2020-12-11,159.55689552184677,127.18314565145911,191.88967369612848
2020-12-14,159.54809660089634,128.68800977891823,189.27419715894203
2020-12-15,159.64645538481903,128.65766291491374,193.04723670991365
2020-12-16,159.75164528385918,128.58700928907533,190.83822823785806
2020-12-17,159.84035373851708,129.0272340906157,191.65432569069642
2020-12-18,160.03378250464007,131.67863747068785,189.2520601046587
2020-12-21,160.69640945243958,127.73749761184105,192.4536399799567
2020-12-22,160.966954612472,127.89884483135755,192.05340526517918
2020-12-23,161.21144698547027,131.6295413890315,192.01106773356727
2020-12-24,161.4032728495482,128.2649639812982,195.04194157670668
2020-12-28,162.27071004868182,130.06933808867345,190.71030646471357
2020-12-29,162.44132841409262,130.30854157701458,193.65548663288064
2020-12-30,162.54682223946304,133.21596899389172,193.37145865765885
2020-12-31,162.56310080160256,132.48001890636027,192.62754079438727
2021-01-04,162.44034572295598,129.87264025519565,190.7670285940705
2021-01-05,162.3165175066199,131.60420215572782,194.83020012395986
2021-01-06,162.12060402404256,130.19166022932845,192.57807818414514
2021-01-07,161.83497288664523,129.8064461221008,193.820952073211
2021-01-08,161.58816254406258,129.98634791898917,191.2776392003221
2021-01-11,160.62980015965638,130.0197981335085,188.6791756927795
2021-01-12,160.29756543583215,130.92935500583118,191.54280486988392
2021-01-13,159.92905348250898,127.90490888394358,191.519756126683
2021-01-14,159.51102716236332,128.41681865361704,190.7500917604285
2021-01-15,159.1756307543256,129.3887513146453,190.8837120132437
2021-01-19,158.00871040391374,125.16678567327888,188.56221971210783
2021-01-20,157.79182006313388,125.87462822349866,187.85939019067013
2021-01-21,157.5705438916775,130.10919285679367,187.88781796889958
2021-01-22,157.47367012745875,124.63175660357216,186.2231514865528
