ds,Most Likely Case,Worst Case,Best Case
2020-11-17,132.78845074230128,127.70569151316906,137.29443560730354
2020-11-18,132.86290460281066,128.268536511509,137.56101594601355
2020-11-19,132.91146551998997,128.4877740572965,137.58047946224949
2020-11-20,133.02818114532653,128.36832879598353,137.34493337713818
2020-11-23,133.29689739121108,128.62187807630715,137.56200561211
2020-11-24,133.4262353231466,129.0494212829271,137.9789856937294
2020-11-25,133.52404067465025,129.32500566686278,138.002487706407
2020-11-27,133.73299818693832,128.92541726844138,138.0601511929238
2020-11-30,134.05090904304404,129.4307926845141,138.8130674668487
2020-12-01,134.19023026795662,129.2182959927289,139.0429500154308
2020-12-02,134.29411137450623,129.48564471404097,138.8572280099857
2020-12-03,134.36707036720065,130.18549727686766,138.97357347314477
2020-12-04,134.5022973447441,129.55068171718628,139.09620474045488
2020-12-07,134.78433981180893,130.1067474801237,139.39335082757225
2020-12-08,134.90240411633437,130.34609974236562,139.34264564337624
2020-12-09,134.98061291479397,130.57438574608733,139.51428962078091
2020-12-10,135.02375259205604,130.44943077242527,139.77885770529414
2020-12-11,135.12536143929552,130.55387470018877,139.65174873943954
2020-12-14,135.2883050603632,130.72548384572715,139.37685156792523
2020-12-15,135.36240308135268,131.05185194782928,139.75338432458415
2020-12-16,135.39553471326687,130.94472909400997,140.11105195411415
2020-12-17,135.39314532659776,130.64291861395466,139.8888509916204
2020-12-18,135.44944538906608,131.17569754150696,139.9418130443389
2020-12-21,135.484431783072,130.80687442627095,140.0371478578828
2020-12-22,135.52063390647876,130.83317722034224,140.33488002700292
2020-12-23,135.5191962045948,130.7771084507098,140.11340924078374
2020-12-24,135.48604752632338,130.58882277026822,140.2001984676414
2020-12-28,135.499400146085,131.1637724492277,139.8985961197368
2020-12-29,135.5283829855024,131.26731807090994,140.06529212398567
2020-12-30,135.52469895104105,131.19720075723384,139.91651743634776
2020-12-31,135.49414325100125,130.59473840611537,140.22013697007694
2021-01-04,135.5604686606727,131.00999624591344,140.15921550890639
2021-01-05,135.61121326617913,131.20058394211412,139.9633589084788
2021-01-06,135.6316253846848,130.9857840208585,139.96210894971762
2021-01-07,135.62688608216936,131.20679881086338,140.5249352221717
2021-01-08,135.69075442328165,131.3141407808661,139.93593639976697
2021-01-11,135.80088403408715,131.06161676430895,140.53482426503186
2021-01-12,135.87652029359464,131.12500337209556,140.39102686944292
2021-01-13,135.9198675901557,131.27001055449472,140.35776604363105
2021-01-14,135.93562209017963,131.110393986181,140.49058452668888
2021-01-15,136.01712552098647,131.01394649473102,140.37600559311016
2021-01-19,136.2392732798391,131.368608366387,140.7441022806019
2021-01-20,136.28253629324308,131.7358573173858,140.87935048207657
2021-01-21,136.29458437322998,131.84108111282964,140.76177549907268
2021-01-22,136.36892986070455,131.56572013940584,140.5335915430635
2021-01-25,136.47239090304114,131.88967355865327,140.86466014038652
2021-01-26,136.53373283965078,132.0532210204663,140.8972243711431
2021-01-27,136.55738399277877,131.8384309893508,140.98881519643632
2021-01-28,136.5485828182771,131.93325314756612,141.02489367697692
