ds,Most Likely Case,Worst Case,Best Case
2020-11-17,131.37627403175776,125.74059533685521,137.10158813405388
2020-11-18,131.33286894620895,125.18013017792755,137.0837635435646
2020-11-19,131.31193241619485,125.54229887571182,137.24371972337062
2020-11-20,131.46011054465478,125.66600001987312,137.67177709637159
2020-11-23,131.5078069463191,125.62340656877306,136.9341413592585
2020-11-24,131.53557924791312,125.80361349977153,137.49176631260883
2020-11-25,131.51818233895244,125.6101720943872,137.03821703422003
2020-11-27,131.7203268340001,125.82393681508081,137.61782593340993
2020-11-30,131.9181042780004,125.9141776255093,137.70569831892675
2020-12-01,132.0002643832251,126.07292951373772,137.4387294074043
2020-12-02,132.03700516858285,126.42229971956006,138.01318982741313
2020-12-03,132.102581907624,126.21634026210609,138.13700641031872
2020-12-04,132.34111053299048,126.329293048346,138.13345633898652
2020-12-07,132.65766603889952,126.5042190194957,138.28224170211382
2020-12-08,132.766326846641,126.81994835962297,138.70955089255767
2020-12-09,132.8218265277574,126.97389715119513,138.85638981881584
2020-12-10,132.89796785179627,127.18552156422746,139.0489060636926
2020-12-11,133.13859759492823,127.24006987018853,139.35679575333975
2020-12-14,133.41068918974293,127.26576960288638,139.24678408318087
2020-12-15,133.48846167942565,127.52414036677695,139.52894683312587
2020-12-16,133.5058513894587,127.37690830031292,139.48258362380025
2020-12-17,133.5373458798119,127.524355683759,139.59992929640129
2020-12-18,133.72758242765542,127.30408030532654,139.51365890992037
2020-12-21,133.82306616728602,128.09062698600863,139.17956756918488
2020-12-22,133.83673937104453,128.1989356852473,139.65538443135594
2020-12-23,133.7890770301261,127.55973713577846,139.20275624103584
2020-12-24,133.75554434382965,128.0657704517078,139.650644066003
2020-12-28,133.7992457614444,127.48074358382658,139.5330570070042
2020-12-29,133.76077057519151,127.99466518628799,139.80503009526433
2020-12-30,133.66552602918213,127.62167346210678,139.89503282681363
2020-12-31,133.58941515500916,127.9476413236611,139.58513378198003
2021-01-04,133.51797980822383,127.89387991372277,139.79413299570058
2021-01-05,133.46493041681995,127.91797835082129,139.5326452016516
2021-01-06,133.36064524121497,127.47414760894365,139.18087975753676
2021-01-07,133.28081494277916,127.6548133003202,138.93594239864817
2021-01-08,133.3710723517244,127.60847302231815,139.28579290714296
2021-01-11,133.24144178499853,127.00198954726787,139.13769044704785
2021-01-12,133.20620768573312,127.18913823892126,138.9910209984468
2021-01-13,133.12279045064716,127.27144006998739,139.0595498247366
2021-01-14,133.0664250461867,126.96710792976135,138.62151173749288
2021-01-15,133.1822880314392,127.06741284471484,139.58590010981612
2021-01-19,133.13241344405532,127.1235000278497,138.91924064643825
2021-01-20,133.07880133133796,127.22874575890488,138.94026340863567
2021-01-21,133.05189339351892,127.46370725088602,138.83282481200266
2021-01-22,133.1965149877075,127.19075360444315,139.00219782290054
2021-01-25,133.23094663156186,127.20032547696601,138.5355695319421
2021-01-26,133.2483158205783,127.33304165214213,139.23807350705275
2021-01-27,133.21533817514947,127.4622848527503,139.03452764321028
2021-01-28,133.20662572917226,127.66256154975953,139.3659499391298
2021-01-29,133.36676502321197,127.55572180370625,139.17261085839917
2021-02-01,133.42949391177464,127.58858165917516,139.45288791556268
2021-02-02,133.44955289968908,127.38109972010116,139.32265809525782
2021-02-03,133.4156072167301,127.69971785633186,139.77539236496594
2021-02-04,133.40212756924666,127.81722062836975,139.16254542115234
2021-02-05,133.5535841442876,127.78510917726939,139.47631483835127
2021-02-08,133.56606613733175,127.51780614323233,139.44099336061106
2021-02-09,133.5612571346395,127.72390520071892,139.36284508776578
2021-02-10,133.49846377399217,127.73028427477588,139.63454733263157
2021-02-11,133.452276849369,127.51815066353319,139.28929149590275
2021-02-12,133.56733963946587,127.70251956700321,139.18193590308724
2021-02-16,133.3980137762241,127.42898119915466,139.28063654303782
2021-02-17,133.28498159267116,127.46474561829467,139.55070729606902
2021-02-18,133.18710507159085,127.19463609874995,139.22182325998446
2021-02-19,133.24959180367918,127.02552318669981,138.51052635096198
2021-02-22,132.97658852889967,126.87498877924104,139.53797412391097
2021-02-23,132.87383539200434,126.97827880789919,138.75340727775588
2021-02-24,132.7136092485938,126.44203803694771,138.1632710036169
2021-02-25,132.5717373958312,126.77131679020913,138.24281817645098
2021-02-26,132.59414359907,126.33714829402213,138.1603714599466
2021-03-01,132.23121920346878,126.422141677168,138.35128760769456
2021-03-02,132.11068805991061,126.12753562136498,138.12070503941868
2021-03-03,131.93969378022783,126.290553796042,137.72998569768347
2021-03-04,131.79450976424127,126.0889200093721,137.61022658578094
2021-03-05,131.8214253756875,125.777062805228,137.51787646918675
2021-03-08,131.52124564710212,125.77935695883818,137.4682187720147
2021-03-09,131.43829868340669,125.66344952193695,137.37890709353476
2021-03-10,131.31309128559508,125.43956675717567,136.9682952387857
2021-03-11,131.22165485629182,125.41374529120446,137.0037152790734
2021-03-12,131.30992814443934,125.41923343683531,136.9896083766226
2021-03-15,131.23440174996722,125.4550295949481,137.59155691313998
2021-03-16,131.23768088127352,125.84843335253665,137.52153431901397
2021-03-17,131.2030554128279,125.37990520621736,136.82565804576726
2021-03-18,131.2056521775675,125.18033077074314,137.17396788788605
2021-03-19,131.39044250671492,125.4640872934285,137.15849378052775
2021-03-22,131.60900156662902,125.56541374485981,137.31230307739852
2021-03-23,131.7082226247455,125.7094906583517,137.9075826311587
2021-03-24,131.76667331901854,126.16442966837502,137.48687517383723
2021-03-25,131.85840220089813,126.07968014990087,137.87973649339227
2021-03-26,132.12733213668298,126.49079883400492,138.28251861735862
2021-03-29,132.55860548137446,126.90392221880205,138.32638985613093
2021-03-30,132.71258315664886,126.99697231219061,138.68468343340123
2021-03-31,132.81647047280444,126.72157338539485,138.7523631509396
2021-04-01,132.94371780369988,127.5353086432393,139.17894792587134
2021-04-05,133.6789512184251,128.0435230660779,139.62363269316955
2021-04-06,133.81407328950996,128.05698101883453,139.76757230649557
2021-04-07,133.88818615968336,127.79532071059506,139.57757230342418
2021-04-08,133.97504097618292,128.22901245681118,139.86397761144278
2021-04-09,134.21850975604883,128.794840000774,140.24695426758336
2021-04-12,134.45312270535698,128.51870468794928,140.20345732005808
2021-04-13,134.50377548641657,128.81474751449807,140.79143724551986
2021-04-14,134.48721015730752,128.85646935584094,140.49716362982662
2021-04-15,134.47826770932812,128.76208256208452,140.31491929284635
2021-04-16,134.62197885590996,128.64070969501225,140.71703158358974
2021-04-19,134.5458444404463,128.96337239435985,140.32915604945893
2021-04-20,134.49329956379555,128.41634946204994,140.24108457624035
2021-04-21,134.37582746209796,128.40460276422831,140.3240730108484
2021-04-22,134.269485516581,128.205209057789,140.09081573654362
2021-04-23,134.3204664349158,128.51443945999935,140.15313962530072
2021-04-26,134.00458896288933,128.4518323509085,139.42664270603393
2021-04-27,133.88791208739923,127.68603971145579,139.0866550813128
2021-04-28,133.71537595656127,127.98224337611167,139.52280981382876
2021-04-29,133.56353448006843,127.9091035084671,139.49575687554193
2021-04-30,133.57892402146695,127.79940481829061,139.1728203107559
2021-05-03,133.21675393904275,127.45811452605138,138.8739427110205
2021-05-04,133.1043383219179,127.3326409085745,138.93894013132117
2021-05-05,132.94527689409642,127.06497341537354,138.6658045870088
2021-05-06,132.8155178831084,126.98739626280306,138.90199514710952
2021-05-07,132.86085527193535,126.64147240307312,138.74063258368096
2021-05-10,132.6265520174355,127.1999581225361,138.7339472788289
2021-05-11,132.56591889283564,127.25996196721229,138.36248573653327
2021-05-12,132.46130519481656,126.47656260606962,138.33188653497498
2021-05-13,132.387462504642,126.23440195378788,138.42531555886882
2021-05-14,132.48898944404766,126.31420843355266,138.59863676154552
2021-05-17,132.4134644724248,126.54886464959812,138.10050044370928
2021-05-18,132.39902172159438,126.12838803184907,138.29519857268318
2021-05-19,132.33573913456678,126.69216098256236,138.6012450019995
2021-05-20,132.2976607061311,126.49736809913776,138.1543472187905
2021-05-21,132.42882474623715,126.80671055498318,137.98090266674797
2021-05-24,132.40228480925498,126.43777796194082,138.00887535331952
2021-05-25,132.39066474753832,126.37479094955921,137.92932460690568
