ds,Most Likely Case,Worst Case,Best Case
2020-11-17,206.6525540438399,180.11805142198108,236.00890409764617
2020-11-18,207.19583734998088,177.33365999047862,238.3007653527049
2020-11-19,207.25688904876935,175.40495974461314,236.22829045773022
2020-11-20,207.521180747538,179.75856911084057,234.85054314963443
2020-11-23,209.32829768009285,181.6657129469117,239.48081138068653
2020-11-24,209.2555225355732,180.93866401485673,238.3302471741633
2020-11-25,209.59475814186814,180.355446672358,239.14992070174117
2020-11-27,209.49266748857744,180.12537244280605,237.67001293760316
2020-11-30,210.63147206290336,180.8034223857781,238.6323101134088
2020-12-01,210.33853045959918,178.9633552027891,237.81846646259453
2020-12-02,210.46457513135243,181.39757863969257,239.43183090589528
2020-12-03,210.11268508700093,182.9043179943843,237.3864292456402
2020-12-04,209.973437065501,180.35330271937266,236.69430953738134
2020-12-07,210.68789786588243,180.78476449535137,238.51199032939286
2020-12-08,210.31313167082587,180.3102232306793,240.3346075570839
2020-12-09,210.39344982471687,181.94507997218477,237.99887275988124
2020-12-10,210.0349053763211,180.35970209478856,238.60499731106881
2020-12-11,209.9303283475594,180.74534033462646,240.87972840420596
2020-12-14,211.00620487644846,184.0724966620528,239.16064743029412
2020-12-15,210.83595220720395,183.5721077638704,239.73482570189526
2020-12-16,211.15931882652984,183.48167306283167,240.86144690438584
2020-12-17,211.078693078193,181.50942039255165,239.74236614907392
2020-12-18,211.2822421379856,182.19510178642636,239.83614968854403
2020-12-21,213.40395421651004,183.5490987415144,240.2066084789166
2020-12-22,213.59934566344612,182.65812228293782,243.26574389901018
2020-12-23,214.2839254875954,187.18866307681495,244.53198314289529
2020-12-24,214.55195950286287,186.93173224296723,245.21640036560888
2020-12-28,217.98955578459524,188.0031017439582,243.78378935807393
2020-12-29,218.35750325450167,187.1173862649544,247.2409160126969
2020-12-30,219.16120000054755,190.23960667517667,249.12017811425963
2020-12-31,219.49113373315265,190.45802301188837,248.7099779677096
2021-01-04,222.57407322190085,192.88579995084876,251.12625681651963
2021-01-05,222.70734197942951,194.78851753662707,252.1543461816249
2021-01-06,223.22458149532858,193.39102870634582,250.63729919245458
2021-01-07,223.22183351727378,195.99465751058378,253.83413898594998
2021-01-08,223.38331634846193,193.71809986019386,252.49944537380807
2021-01-11,224.65796590210476,194.7995528476849,254.55882358877133
2021-01-12,224.3432624844591,195.83755470020233,252.0373670938985
2021-01-13,224.41641146125605,194.71538468135282,253.98290793418454
2021-01-14,223.9826470373464,192.41468075161185,252.36340821632515
2021-01-15,223.73500075004256,194.99644717896896,252.431720981488
2021-01-19,223.42802276829946,195.18338002754882,252.43736997784885
2021-01-20,223.3054771998052,193.2741375658286,250.9093925482863
2021-01-21,222.73143740146222,192.53707256367395,251.68259813698103
2021-01-22,222.399933870295,192.92794759282447,253.32524929304955
2021-01-25,222.73087172918648,192.94665895575181,252.49996770392013
2021-01-26,222.28983030157409,193.85820588623534,249.74762134098012
2021-01-27,222.32942612993068,193.63007278944062,251.35724913713005
2021-01-28,221.95038946609444,190.340404951396,250.891357030992
2021-01-29,221.83892768026385,191.7048018075315,251.55008179632756
2021-02-01,222.89396162786804,194.86289505331771,252.48731635373852
2021-02-02,222.6858532234458,192.83540730734472,251.58815902928384
2021-02-03,222.93964896779258,196.05146624076963,252.02096871529835
2021-02-04,222.7480938571502,192.6274164816488,252.58070452335662
2021-02-05,222.7902102208386,193.2843403684155,252.89174702582048
2021-02-08,224.04671789600178,193.4424769986473,255.58034549779353
2021-02-09,223.80712977111915,196.5168799367827,251.7339302798075
2021-02-10,223.97758342620136,195.07186140871997,253.26641853271548
2021-02-11,223.65154921386682,195.38792309799143,252.34320962961687
2021-02-12,223.51027511079678,195.3777076227506,249.27489704755396
2021-02-16,223.3973981560279,197.94367650189034,254.4573430440577
2021-02-17,223.21985020999315,195.92260911315014,252.71003200182773
2021-02-18,222.53612464323322,192.48605064487992,251.46184065094698
2021-02-19,222.0367035646882,192.65499420738783,248.50075290447148
2021-02-22,221.50919703876295,189.84964537807028,253.53262140411883
2021-02-23,220.67226014645485,192.59289262173561,248.472255215219
