ds,Most Likely Case,Worst Case,Best Case
2020-11-17,327.3702839528755,314.02361779270564,340.01222196502437
2020-11-18,327.8539916549843,312.8206516667355,341.4647484236321
2020-11-19,328.42144286521204,314.3185791317949,342.78140811847874
2020-11-20,328.9429477679792,315.012818834274,341.8826053267436
2020-11-23,329.88875323082135,315.4354384238802,344.76911773060846
2020-11-24,330.5745728021191,316.6345993978686,344.51695751166443
2020-11-25,331.14428001111503,317.0823344506452,344.99203098881253
2020-11-27,332.38464083777745,317.7881313630958,346.3428438771567
2020-11-30,333.47836734651264,319.9145099654605,347.43125924108597
2020-12-01,334.1877057241629,319.4252609893153,348.34423237629267
2020-12-02,334.7672242755688,320.31419190530283,348.876569185329
2020-12-03,335.41071035363393,320.3284975011426,348.31588519928084
2020-12-04,335.9866270323441,322.96250735877186,349.17251662530765
2020-12-07,336.9569888585703,323.081199355349,350.73963962793033
2020-12-08,337.60471589465,323.9539009985182,350.5392336455106
2020-12-09,338.1144412353532,324.0858317428126,352.59761910553533
2020-12-10,338.6812693116472,324.5061120073605,352.37932899922265
2020-12-11,339.1749686601761,325.6683134384506,353.0933349619364
2020-12-14,339.87740864577796,326.72594635217035,353.63151349407445
2020-12-15,340.4322410470337,325.91692861453305,353.52963988114806
2020-12-16,340.8486991968231,326.22113877329986,354.224546715721
2020-12-17,341.3225234286153,328.4618593430013,356.07604494153446
2020-12-18,341.7239753188802,328.1383880811807,355.37609037259864
2020-12-21,342.1572573209534,328.58888281972594,356.53893037675186
2020-12-22,342.62542092647965,328.9169507605871,357.8741418254933
2020-12-23,342.9568351694402,329.30942533796804,357.725025663166
2020-12-24,343.34725973480397,329.3422027327629,356.8077407958198
2020-12-28,343.86611553467736,330.1980939583235,358.52624947827286
2020-12-29,344.2605813994873,330.55088852327543,358.22901171293046
2020-12-30,344.5210338544448,330.7436355300572,358.90358225077523
2020-12-31,344.84370864660525,331.3178774696884,359.0693128309229
2021-01-04,345.13595568444975,331.10754890168135,358.52429321676
2021-01-05,345.4883601563758,331.79986402190866,360.0964458854359
2021-01-06,345.7140082557938,331.66108958797054,358.747846791681
2021-01-07,346.00976919051925,331.5908015770795,359.7364045741616
2021-01-08,346.24703297173113,332.69797263618165,361.0638990445573
2021-01-11,346.28176671608304,331.73745453847744,360.34724471707057
2021-01-12,346.6516040868032,332.49855310859,360.59449240962687
2021-01-13,346.9032062576765,332.9008722973447,360.7882963186709
2021-01-14,347.232790330467,332.52944003040625,361.17532968685333
2021-01-15,347.5108488733786,333.6061076500553,360.82945802455475
2021-01-19,348.1224109647148,333.3615042733055,361.6901457036267
2021-01-20,348.42858821300086,334.3961932366713,363.45118952165734
2021-01-21,348.81017134185277,335.25034476009023,364.2118447038349
2021-01-22,349.1357013087677,335.0930032315733,363.6133326414992
2021-01-25,349.41874211947817,335.45604277276357,363.93212410623494
2021-01-26,349.8551371412481,335.8485350487509,364.8502568634541
2021-01-27,350.15998221571465,336.14411513238724,364.42415761259804
2021-01-28,350.52665579004014,336.6164386715778,364.1004292222998
2021-01-29,350.8231349338,335.6373588518899,365.555654786638
2021-02-01,350.93438680435963,336.6592303443647,364.39274518645885
2021-02-02,351.2874332638969,337.0120943223805,365.42731615016055
2021-02-03,351.4979767262152,337.1894495113921,364.8249819751338
2021-02-04,351.7612300345762,337.7574620746694,365.79696045018875
2021-02-05,351.94734537941616,337.4971225254722,365.8047260922849
2021-02-08,351.7116198678585,337.5483070943204,365.55769037861415
2021-02-09,351.9531953855505,338.5754892730428,365.4614935700083
2021-02-10,352.05929128044966,337.48450360771557,365.47208239737006
2021-02-11,352.2280225450137,338.0228670993358,366.7058431813371
2021-02-12,352.33229142493724,338.63106675820285,367.2724248202831
2021-02-16,352.1828325995312,338.3883635514366,365.5145370975607
