ds,Most Likely Case,Worst Case,Best Case
2020-11-17,214.59863168804483,204.38050105697403,224.18453000385364
2020-11-18,214.58943723379141,203.9712264662392,224.12970398931174
2020-11-19,214.5655878547502,204.34886513079718,224.11406484246436
2020-11-20,214.63418336463016,204.24208417487773,224.2388912777428
2020-11-23,214.2160426359766,204.08069670058006,223.65014761212984
2020-11-24,214.2371111968976,203.97573622336975,224.57754212907062
2020-11-25,214.19172231620007,203.857265446245,224.6457813952416
2020-11-27,214.18590878681914,204.62070952895004,224.5783121382866
2020-11-30,213.75232415869127,203.84245725857883,223.9332149597264
2020-12-01,213.78507826992018,204.119800904078,223.67891808781368
2020-12-02,213.7597494910939,204.36202654603474,224.51358736113832
2020-12-03,213.73504982331977,203.9147506422442,223.60291234466177
2020-12-04,213.8182733438915,204.00071248733397,223.68027096490118
2020-12-07,213.53553642477544,203.0866763790697,223.40765782405612
2020-12-08,213.63072736135925,203.80940769896506,223.00234505324408
2020-12-09,213.6726856910994,204.33489607309585,223.91490385032563
2020-12-10,213.71927547274166,202.89661529419124,223.5022548428236
2020-12-11,213.8768801810158,204.18059700291397,223.55109912928586
2020-12-14,213.82599015796075,204.10193359669003,223.62017468604094
2020-12-15,213.99790730634024,204.15689075850753,224.14522804460782
2020-12-16,214.114537071085,204.3037495627473,224.25460341265165
2020-12-17,214.2326741743448,203.8257082417384,224.25626435712724
2020-12-18,214.45764897268782,204.60988403782224,223.7634536251867
2020-12-21,214.5738177253952,204.31997067896424,224.39327608532878
2020-12-22,214.78669383545915,204.50156609758665,224.65064946946373
2020-12-23,214.93559410431692,204.62679702178406,224.9694855496758
2020-12-24,215.0766690549603,204.73881054636436,225.0976616958716
2020-12-28,215.4078979435049,204.79948946009847,226.00251513531882
2020-12-29,215.5921095065281,205.59406198150666,225.70141660698005
2020-12-30,215.70214695660337,205.91965603314958,225.65290579282072
2020-12-31,215.79461015522224,205.76010224378868,225.5149346451165
2021-01-04,215.84919843545006,205.86704128976615,225.90201508186524
2021-01-05,215.9490205801043,206.06762274527915,225.67770995797014
2021-01-06,215.9712378083179,207.01075372006784,225.49388114270235
2021-01-07,215.9739983970843,205.65805782991862,226.55446109151967
2021-01-08,216.06437791918614,205.87547941157015,226.54088656683786
2021-01-11,215.68438453284892,205.53321282187818,225.70497309817333
2021-01-12,215.71035284814423,205.69442457189567,225.4657051358925
2021-01-13,215.66689801675628,205.86316406828314,225.2505274332013
2021-01-14,215.61366290373599,205.6198855988572,225.9330619104841
2021-01-15,215.65907089831512,204.88913911372578,226.1438104840439
2021-01-19,215.2553878437787,205.32317263453632,226.08141539239605
2021-01-20,215.23493553096543,205.4874682272582,225.2274610133524
2021-01-21,215.21903669564202,204.9276136631918,224.9809020399184
2021-01-22,215.31567036865297,204.8765253110914,225.26857679019292
2021-01-25,215.10544910535057,205.00047261367465,224.79780695897526
2021-01-26,215.23621264600493,204.921305637342,225.53030264248028
2021-01-27,215.31924901900092,205.71113847952233,225.28004916583768
2021-01-28,215.4119735611734,205.91840129465686,225.50136002602844
2021-01-29,215.62009523209662,206.1658561476553,224.7032280609579
2021-02-01,215.73706649262496,205.88647878423617,225.47937187107374
2021-02-02,215.96607567038615,205.91969253340324,225.43808944066396
2021-02-03,216.13781373812193,206.11002539975365,226.35948774228373
2021-02-04,216.30736553636916,207.37970072144503,226.42750726627685
2021-02-05,216.57828365513456,206.82036612296602,226.25975268457321
2021-02-08,216.78152542298224,207.05767225873424,227.3910165845865
2021-02-09,217.00078125429428,206.75644344607235,226.56753775480735
2021-02-10,217.1421507610993,207.59972007146283,226.53499506071861
2021-02-11,217.2604809721861,207.05521430660968,227.20678652162516
2021-02-12,217.4594927298145,207.15161409960328,227.44683439384525
2021-02-16,217.40502227919163,207.45230238378446,227.8194548064899
2021-02-17,217.38752104165977,207.36810854427787,227.2430033364959
2021-02-18,217.33539079651993,206.9787513011159,227.0067010390639
2021-02-19,217.35496368322612,207.07047803340436,226.99495736314043
2021-02-22,216.6626854402282,206.85888702719885,227.17422916589194
2021-02-23,216.55084695892594,206.21010077597992,226.76335368501327
2021-02-24,216.35302377400595,206.26662795111284,226.2455367774114
2021-02-25,216.12932423604607,206.61597424360784,225.57463031649147
2021-02-26,215.98881527405715,205.853592837792,225.67510187403107
2021-03-01,214.90899365332734,205.54560927473625,225.0741565269408
2021-03-02,214.70529109846083,204.9743737326971,225.1371424256825
2021-03-03,214.43658903104614,204.2869708848082,224.27379566773422
2021-03-04,214.1638095767722,204.36406514286858,224.3479804900606
2021-03-05,213.99642625415098,203.88510339398889,224.3156968947947
2021-03-08,212.9672098499838,202.79439040928293,222.7190232305201
2021-03-09,212.82152304296736,202.15827398224474,222.9281017629807
2021-03-10,212.62923682619956,202.45269760727692,222.0902146999482
2021-03-11,212.44951732851763,202.32128309387187,223.09910194189436
2021-03-12,212.38984168423883,202.37054629919365,222.68013453675448
2021-03-15,211.74913330212885,201.61701892566992,221.34001829894316
2021-03-16,211.74677599163596,201.9984860678461,221.5322924465579
2021-03-17,211.7007063747783,201.9408075043822,222.47578021430317
2021-03-18,211.6677609732023,201.62150801749814,220.85440039918592
2021-03-19,211.75321359211722,201.68673575592285,221.1048036263887
2021-03-22,211.51874007559434,201.14290095760867,221.43417591255152
2021-03-23,211.6368013973965,201.95666595209678,221.36525587721144
2021-03-24,211.70167111222176,202.1423994442473,221.5790483159402
2021-03-25,211.76941628733232,202.41238794624934,221.51273152017276
2021-03-26,211.94482467736734,202.69976331314803,220.96183883614256
2021-03-29,211.9149829798668,201.26955822253572,222.13608503873638
2021-03-30,212.0804429678118,202.45227679658245,222.04173957372194
2021-03-31,212.18328149944847,201.8537553621592,222.3684302131051
2021-04-01,212.2803874534551,201.68156612784657,221.64693496428964
2021-04-05,212.47661845879935,202.3323121453591,222.87401088027022
2021-04-06,212.64305172832414,203.73945263760726,222.92391653228066
2021-04-07,212.74405582930547,202.99860160359225,222.67974737614622
2021-04-08,212.83730134265554,202.77110658819984,223.34054065694465
2021-04-09,213.02915859760253,203.2875723884904,222.54713116756537
2021-04-12,213.00875812454973,203.50139059043178,223.39143859451494
2021-04-13,213.16808871953089,203.41238634811248,223.6670195857062
2021-04-14,213.261674610162,203.59285883365393,223.40473992504272
2021-04-15,213.34697686398817,203.29306570110887,223.36491918603298
2021-04-16,213.53005198800778,203.46594398448303,223.00703886225998
2021-04-19,213.47412317078332,203.8799580284639,223.54224617451962
2021-04-20,213.6170414754668,203.9335633564274,223.34964117847488
2021-04-21,213.69122465168803,203.6823123535183,223.806817762254
2021-04-22,213.75380613471478,204.13182364464345,223.6488441505626
2021-04-23,213.91061975534325,203.64241950469238,223.595180227011
2021-04-26,213.7545038357799,204.53041257124517,223.88318023900104
2021-04-27,213.85764692938167,204.3819232941957,223.9854452562696
2021-04-28,213.8896772664406,204.01811353950762,224.31395953217094
2021-04-29,213.90847652596855,204.43299645087995,223.81046947422604
2021-04-30,214.02078788227902,204.50738602577064,224.27907967937037
2021-05-03,213.73792439754743,204.34013727981502,223.70120196225136
2021-05-04,213.80522622426773,204.2778482941665,224.1221335252743
2021-05-05,213.80680349580442,204.2200063974679,223.96646527829503
2021-05-06,213.8018273649245,204.1514140376102,223.56907318547033
2021-05-07,213.89825533672877,203.93974315832529,224.11383727680675
2021-05-10,213.62518615064027,203.6901037526282,223.36270414699507
2021-05-11,213.71729224512865,203.53844555057134,222.8123102929067
2021-05-12,213.75502596844706,204.1227384920737,223.70903146383685
2021-05-13,213.79747919116318,202.90426088661232,223.28667097919356
2021-05-14,213.95221672529001,203.93888239954643,223.6909087814197
2021-05-17,213.9106065453284,203.664622052848,224.07520100153315
2021-05-18,214.09422869062922,203.93286451533655,223.32525329385012
2021-05-19,214.22770412791982,203.96416016354405,224.04321821443907
2021-05-20,214.36798705561137,204.4796961289358,224.22675952818088
2021-05-21,214.6203211832527,204.97463429111716,224.09412606837756
2021-05-24,214.84527715972405,205.52573489037755,224.7841473427665
2021-05-25,215.10062738572114,205.12963409846517,224.59424183033047
2021-05-26,215.29324676465504,204.75118984036033,225.9111877460018
2021-05-27,215.47792033394137,204.99727793332158,226.38521409912764
2021-05-28,215.75797531872539,205.4392986193283,225.18358266771608
2021-06-01,216.15615372072125,206.4599368231051,226.34539468637578
2021-06-02,216.2770550139141,206.10101270911292,226.3918823008203
2021-06-03,216.36999914546365,206.93151910120366,225.8849782471043
2021-06-04,216.53940660172418,206.45846199577434,226.18853273627838
2021-06-07,216.3060154837913,206.1527738238622,226.4296077422795
2021-06-08,216.34424768002697,206.2404320203381,226.13752627011732
2021-06-09,216.2924131889242,206.25936597605272,226.20030786341692
2021-06-10,216.2093636711316,206.37392213762445,226.4917491719845
2021-06-11,216.20318215489206,206.22159210192711,225.36674119120144
2021-06-14,215.48322751750334,205.17803323382367,225.62136771815656
2021-06-15,215.38503778006873,205.7037322686396,225.84203730150136
2021-06-16,215.21542414136027,206.07478233581693,224.81409209626565
2021-06-17,215.03626074975247,204.7672494403612,224.41404626454928
2021-06-18,214.95825318213363,204.63828205472538,225.84314518925288
2021-06-21,214.18738795907268,203.73519626081438,223.7908419561356
2021-06-22,214.13054107206804,203.4852111705429,223.7419296896234
2021-06-23,214.03162193694612,203.68049222772012,223.8664222783556
2021-06-24,213.9516675245122,203.55118808955316,224.14557741938512
2021-06-25,213.99991476396534,204.72019332531607,223.74891900547593
2021-06-28,213.74652048295044,203.49652272315376,224.06339454092762
2021-06-29,213.8979108624775,204.1002521272271,224.18950588675827
2021-06-30,214.0187658178798,204.4196793867676,223.68158904876552
2021-07-01,214.16582990892732,204.73431521685586,224.61072890428898
2021-07-02,214.44384692048735,203.7007599682494,224.94671533237388
2021-07-06,215.1971120762511,205.85180145484438,225.00754799111454
2021-07-07,215.49404909720283,205.3575361088584,224.9575371774265
2021-07-08,215.79435213525656,206.57745976947788,226.16578470823615
2021-07-09,216.1996206888977,207.19158828257522,225.79836449149713
2021-07-12,216.808972265898,206.13432952598612,226.4114756937739
2021-07-13,217.159080428864,206.59465837397983,227.18703107786482
2021-07-14,217.42673112291908,207.6592295918651,227.19628899142094
2021-07-15,217.66572345273178,207.79160482430922,228.42557074456488
2021-07-16,217.9789883234759,208.69166256192253,228.4788693234349
2021-07-19,218.15067459863127,208.3875524291449,228.18117531250022
2021-07-20,218.31118324522984,208.75515642940414,228.62143370591392
2021-07-21,218.37355074188153,208.7085215754736,228.26347359860267
2021-07-22,218.39575243066167,207.78368926587706,227.7632315360298
2021-07-23,218.48507908447863,208.63538338975235,228.73941185683822
2021-07-26,217.9863200276023,208.25569232766745,228.1074907534363
2021-07-27,217.93807683734533,207.78871379073638,227.46502019617304
2021-07-28,217.8056223302194,208.0929097907651,228.69674432280428
2021-07-29,217.6503453396499,207.6143575068264,228.06496213225225
2021-07-30,217.5824948063067,208.2651080119186,228.46377706122263
2021-08-02,216.75559075434353,207.0265181324845,226.36297211013198
2021-08-03,216.65001964734435,207.43714807521755,226.79155058391143
2021-08-04,216.48685982838083,207.07160735366108,226.75840868834143
2021-08-05,216.3269389492469,205.8661314803734,227.3122749561552
2021-08-06,216.2793602937716,205.9043133032577,226.3588143737728
2021-08-09,215.64342925233484,206.14378479139506,225.72090821357088
2021-08-10,215.63623174731848,205.5147386954819,225.24400092447348
2021-08-11,215.58360198061408,205.50068798705695,225.45623446184553
2021-08-12,215.5428938133291,205.27219111166383,225.13780156482935
2021-08-13,215.61962115995829,205.6544238390809,225.56537312989832
2021-08-16,215.35137309458267,204.5247100560745,225.2737971726077
2021-08-17,215.45368250346579,205.5838577163289,224.9213451586491
2021-08-18,215.49896141789333,205.9838089795381,225.7558414944638
2021-08-19,215.5420141057679,206.1595096700549,225.2068640838492
2021-08-20,215.686211922476,206.14172173902375,225.2124685699399
2021-08-23,215.5081025875654,205.672244187064,225.39456769564734
2021-08-24,215.60063925283848,205.46769991684945,225.41305871824576
2021-08-25,215.61628015398114,205.90358864988937,225.53629712704043
2021-08-26,215.61057725669795,204.6511311680491,225.11939505789078
2021-08-27,215.68809305742093,205.5748770824392,225.22428592227902
2021-08-30,215.22003218270152,205.80635208443908,226.00835550503464
2021-08-31,215.1933705342756,204.55373584223412,225.55238449789195
2021-09-01,215.08280123017545,205.76076064432843,224.48280465047938
2021-09-02,214.94662404554242,205.01783505402864,224.59524414302317
2021-09-03,214.89218003507477,204.65653462520262,224.84873536147515
2021-09-07,213.90771556540946,203.5218108323803,223.9857321651637
2021-09-08,213.6959850855694,203.58090825445518,224.16644864883574
2021-09-09,213.4709802748427,203.60880923650024,223.70263894159874
2021-09-10,213.34140835526136,203.7479650611031,223.03319437034713
2021-09-13,212.36054389547212,201.83174545735218,223.38408542450384
2021-09-14,212.20827369857707,202.36211747847443,222.28344720829614
2021-09-15,211.99790897839793,201.73567929774399,221.73276024632818
2021-09-16,211.78872634676233,201.99184676508634,222.1492647019779
2021-09-17,211.68843063558185,202.27807180946886,221.06156601636354
2021-09-20,210.86270809094447,201.09363279036504,220.73523816806005
2021-09-21,210.77930687164658,201.04299193962208,220.19499983322928
2021-09-22,210.64351012965366,199.6799133075416,220.4643612526412
2021-09-23,210.51282811256493,201.11714167319153,220.42054256945266
2021-09-24,210.49323959373066,199.91375790585303,220.44377412614986
2021-09-27,209.9071107135693,200.16224862215282,220.4016129552063
