horizon,mse,rmse,mae,mape,mdape,smape,coverage
37 days 00:00:00,59.792518328063096,7.732562209776465,5.645960757624915,0.08484143038800099,0.06551353877545808,0.08480931602867196,0.2492354740061162
37 days 12:00:00,60.50458250073343,7.778469161778134,5.664990284633135,0.08484985114530266,0.06385599605157288,0.0848061101741788,0.2489296636085627
38 days 00:00:00,61.61574159739032,7.84956951669264,5.714309243266179,0.08599556873896617,0.06614883441839389,0.08590853862820055,0.2515290519877676
38 days 12:00:00,61.3452746079026,7.832322427473387,5.673771213148393,0.08569917457775193,0.06429943662613612,0.08560665782115073,0.25688073394495414
39 days 00:00:00,62.307082256380916,7.893483531140159,5.703356358056567,0.08667707764575013,0.06385599605157288,0.08655602468099854,0.26360856269113153
39 days 12:00:00,61.84791101907581,7.864344284113954,5.660718352888771,0.08624847142320893,0.06329901145972862,0.08608596598286376,0.2691131498470948
40 days 00:00:00,62.5002433650544,7.905709542163462,5.685578183244397,0.08657277730943301,0.06329901145972862,0.08623019532303164,0.27645259938837924
40 days 12:00:00,62.90335128029259,7.931163299308153,5.702127855863853,0.08644658531572774,0.06329901145972862,0.08605366040466274,0.2770642201834862
41 days 00:00:00,63.182421481494046,7.948737099784723,5.720460769211272,0.0859758610620022,0.06361165503456928,0.08556284673832737,0.28287461773700306
41 days 12:00:00,64.34192512806455,8.021341853335048,5.786534667167302,0.0864832168611992,0.06385599605157288,0.08608728377804316,0.28318042813455657
42 days 00:00:00,66.35089523990342,8.14560588537792,5.87589383516017,0.0869866603954329,0.06614883441839389,0.08676903296915449,0.2874617737003058
42 days 12:00:00,67.39224831150355,8.20927818456066,5.922376252497039,0.08730892259739056,0.06614883441839389,0.08712987531700346,0.2892966360856269
43 days 00:00:00,69.31940474717403,8.325827571309295,6.017108645745334,0.08868897698655918,0.06614883441839389,0.08850751081163656,0.290519877675841
43 days 12:00:00,69.81710671126189,8.355663152094026,6.031965368816638,0.08856702984980533,0.06614883441839389,0.0884096041263665,0.2923547400611621
44 days 00:00:00,71.2003660257289,8.438030932968243,6.100281185651381,0.08966057742135713,0.06385599605157288,0.08949752080203345,0.2889908256880734
44 days 12:00:00,71.29882453558066,8.44386312866218,6.082219815730116,0.08920762114359679,0.06361165503456928,0.08907286643663768,0.29480122324159025
45 days 00:00:00,72.48717331915604,8.513939941011802,6.1242689200084435,0.09038805384581927,0.06361165503456928,0.09020878976419827,0.2974006116207951
45 days 12:00:00,71.96144626839008,8.483009269615946,6.0637008532429295,0.08977736082176703,0.06297019378027842,0.08960837152144101,0.2996941896024465
46 days 00:00:00,73.05415754824931,8.547172488504565,6.089973517034025,0.0909323439622504,0.06283593092403852,0.09066326287697236,0.30642201834862387
46 days 12:00:00,72.32051904022306,8.50414716713105,6.023558424178539,0.08997636306066147,0.061739741421802705,0.0896937843716688,0.3180428134556575
47 days 00:00:00,72.81478150607838,8.533157768732416,6.0304158766085605,0.09038249073720887,0.05790824511998991,0.0898148926914335,0.3253822629969419
47 days 12:00:00,73.04150570068639,8.546432337571414,6.035972290324427,0.09003537894577117,0.057852646304015695,0.08943336296706833,0.32782874617737
48 days 00:00:00,73.43497273024673,8.56942079316022,6.057981403281895,0.08953334445089683,0.05726168399248111,0.08894607216767701,0.327217125382263
48 days 12:00:00,74.60536436501927,8.637439688068408,6.1194262912829105,0.08991710892210622,0.05726168399248111,0.08940092991546315,0.32782874617737
49 days 00:00:00,76.60701231735769,8.75254319140201,6.20661527726957,0.0905389774231608,0.05790824511998991,0.09024902386137552,0.3302752293577982
49 days 12:00:00,77.66194189857858,8.812601312812157,6.253408052123031,0.09097232832798124,0.05790824511998991,0.09075102360358137,0.33211009174311923
50 days 00:00:00,80.6234845115354,8.979058108261434,6.3950987789964335,0.09326053828428453,0.059987391826446065,0.09290840276570787,0.3302752293577982
50 days 12:00:00,81.14281936652885,9.007930914839925,6.407883620194401,0.09310266271123122,0.05790824511998991,0.09279603339490672,0.3363914373088685
51 days 00:00:00,81.94973592933495,9.0526093436829,6.443087464334703,0.09324793425103402,0.05968942512142143,0.09295590972524785,0.3363914373088685
51 days 12:00:00,82.42831249678795,9.079003937480584,6.445496188255881,0.09300256505461575,0.057852646304015695,0.09272873826785191,0.345565749235474
52 days 00:00:00,83.908659703354,9.160167012852659,6.495410029893631,0.0942978784317085,0.05726168399248111,0.09398228518623092,0.3480122324159021
52 days 12:00:00,83.62049618466192,9.144424322211973,6.453806364641495,0.09378189438434169,0.055500381385746506,0.09347806247844181,0.35091743119266056
53 days 00:00:00,84.7697821575773,9.20705067638803,6.470622398044963,0.09474159069622799,0.05407736575496401,0.09438638886761405,0.3553516819571865
53 days 12:00:00,83.89936722672363,9.15965977679977,6.4042072639607674,0.09391006504163625,0.05252397294238795,0.0935548906604866,0.3602446483180428
54 days 00:00:00,84.3271990999302,9.182984215380651,6.4087591378242,0.09432775970496834,0.05228441515089804,0.09377530333013102,0.3669724770642202
54 days 12:00:00,83.96553110672444,9.163270764673738,6.375904824982987,0.09348568569431438,0.051194648734961316,0.09292554786576165,0.3730886850152905
55 days 00:00:00,85.7848401307459,9.262010587920201,6.437081197928569,0.09328739675943029,0.05072063181760599,0.09278581802877486,0.382262996941896
55 days 12:00:00,86.56086727128886,9.303809288204958,6.478945135666431,0.09334612460635389,0.05072063181760599,0.09282143645187493,0.3853211009174312
56 days 00:00:00,89.74405576240353,9.473333930692169,6.615580204763238,0.09405870102275245,0.05072063181760599,0.0938081940717209,0.3876146788990826
56 days 12:00:00,90.61340503509174,9.519107365456687,6.662325460418268,0.0940145796772252,0.051194648734961316,0.09391786474725129,0.38990825688073394
57 days 00:00:00,94.0423121282073,9.697541550733737,6.8308341034898294,0.0963191561312139,0.05252397294238795,0.09624718169557235,0.3837920489296636
57 days 12:00:00,95.13877837949599,9.753910927391944,6.898451189281628,0.096967529973026,0.05283299063888903,0.09696202356608763,0.3802242609582059
58 days 00:00:00,96.11131946119583,9.803638072735847,6.956013572269134,0.09723279079417942,0.055500381385746506,0.09728025936921036,0.3761467889908257
58 days 12:00:00,96.30863531384415,9.813696312493278,6.961568826172095,0.09711029715237396,0.055500381385746506,0.09713986539523314,0.37512742099898067
59 days 00:00:00,98.015996865715,9.900302867373048,7.012884440498381,0.09845120306141611,0.055500381385746506,0.09848078943636332,0.3753822629969419
60 days 00:00:00,99.3096116000133,9.965420793926029,7.013954405680953,0.09921932895346942,0.05407736575496401,0.09909802568871579,0.382262996941896
60 days 12:00:00,98.07397171642504,9.903230367734814,6.9274131428844035,0.09807666905425658,0.05252397294238795,0.09797399175416141,0.38914373088685017
61 days 00:00:00,98.2971714560297,9.914493000452907,6.912575049638164,0.09839974275679911,0.05228441515089804,0.09804231310461814,0.3944954128440367
61 days 12:00:00,98.00633947398497,9.899815123222503,6.885227627280701,0.09798610130805903,0.05228441515089804,0.09768057995034046,0.3952599388379205
62 days 00:00:00,98.82625183191772,9.941139362865693,6.919831656249896,0.09775523005345091,0.05162437084786093,0.09750254213672219,0.39755351681957185
62 days 12:00:00,99.39834290823774,9.969871759869218,6.941358897744142,0.09743956852758595,0.051194648734961316,0.09725760659148046,0.39816513761467887
63 days 00:00:00,101.90087684336582,10.09459641805287,7.05715633181476,0.09834579181064741,0.05228441515089804,0.0984145440548497,0.39143730886850153
63 days 12:00:00,102.84472663264295,10.141238910145198,7.0970241088964325,0.09829529681003547,0.05228441515089804,0.09851598162152383,0.39327217125382263
64 days 00:00:00,105.96301132596949,10.29383365544487,7.254095566964799,0.10077123740523615,0.05252397294238795,0.10090435439892245,0.3865443425076453
64 days 12:00:00,107.3517958064662,10.36107117080402,7.313090903046396,0.10128915567519588,0.05252397294238795,0.10152013328523563,0.382262996941896
65 days 00:00:00,109.54837048459015,10.466535744198753,7.40170609077247,0.10298712155500334,0.05252397294238795,0.10317471102571185,0.38409785932721713
65 days 12:00:00,109.96674671323662,10.486503073629294,7.397049460204338,0.10278091101190223,0.05162437084786093,0.10300687055270552,0.3853211009174312
66 days 00:00:00,112.36795961523278,10.600375446899642,7.462820829300953,0.10405790074388552,0.051194648734961316,0.10431360883905515,0.38715596330275226
66 days 12:00:00,112.42493767273638,10.603062655324468,7.4240768290456804,0.10350262804103817,0.05031327655736799,0.10384947039231761,0.3944954128440367
67 days 00:00:00,113.9450327069315,10.674503862331566,7.446186852661649,0.10461046985829116,0.04987147266031662,0.10495849777391594,0.3938837920489297
67 days 12:00:00,112.96117712363775,10.62831958136552,7.3799425481287155,0.10389451378515013,0.0496996399256579,0.1042516568200003,0.39633027522935776
68 days 00:00:00,112.72825457648905,10.617356289420123,7.356443983536551,0.10438647091533404,0.049117542908903036,0.10445439215813415,0.40214067278287463
68 days 12:00:00,112.18531649806238,10.591757007128816,7.321352135051205,0.10383774034213591,0.048278851173187656,0.10385334395393342,0.40550458715596327
69 days 00:00:00,112.2038855274333,10.592633550134419,7.326809374931145,0.1033237019145502,0.048278851173187656,0.10335593113372175,0.40244648318042814
69 days 12:00:00,112.95255460143652,10.627913934608076,7.34846399407812,0.10292800826815007,0.04821742890307688,0.10305672819975596,0.4074923547400612
70 days 00:00:00,115.90363777307223,10.765855180758853,7.468477690973243,0.10380564260135332,0.04825860386163703,0.10426800479497592,0.40122324159021405
70 days 12:00:00,116.91580563627609,10.812761240140102,7.495416902548827,0.10363833790742592,0.04813275340376507,0.10429498095758225,0.40519877675840976
71 days 00:00:00,119.89506235484859,10.949660376233073,7.619143046618713,0.10593611001609728,0.048278851173187656,0.10657550916314291,0.40122324159021405
71 days 12:00:00,120.8991093151804,10.99541310343456,7.641991491784365,0.10622603314122367,0.04821742890307688,0.10696290935772336,0.40214067278287463
72 days 00:00:00,123.32011709910525,11.104959121901587,7.739174857852717,0.10807217278766634,0.04825860386163703,0.10878086393560302,0.4
72 days 12:00:00,123.26317121914117,11.102394841615983,7.706372790538604,0.10773270377667409,0.04821742890307688,0.10844260060410198,0.40519877675840976
73 days 00:00:00,125.37922113580257,11.197286329097892,7.773051229953497,0.10925909095968594,0.04821742890307688,0.10998513466633307,0.4030581039755352
73 days 12:00:00,124.89761682406757,11.175760234725312,7.703279011931966,0.10821942747705704,0.04795737944486014,0.10905183270450165,0.4090214067278288
74 days 00:00:00,126.44281706052703,11.244679500124805,7.733140076363874,0.1096441197937451,0.04795737944486014,0.11049794167913349,0.4061162079510704
74 days 12:00:00,124.46922271069268,11.15657755365384,7.605484836058079,0.10805971793390104,0.04728738350931283,0.10892671709920089,0.41284403669724773
75 days 00:00:00,124.19630523793178,11.144339605285356,7.586268610036504,0.10884796232756923,0.04705379131984114,0.10949909205846226,0.4134556574923547
75 days 12:00:00,123.20423085083438,11.099740125373854,7.52712049434851,0.10775282851417782,0.0464921502322688,0.10841292045407516,0.4152905198776759
76 days 00:00:00,122.39385170196965,11.063175480031475,7.475371383174067,0.1070261703368381,0.046324544664710574,0.10769291904926748,0.4165137614678899
76 days 12:00:00,123.63482701280124,11.119119884811083,7.5165671759863,0.10708002819159576,0.046324544664710574,0.10782921994273016,0.41712538226299695
77 days 00:00:00,122.9245356179182,11.087133787319345,7.48840912277735,0.10622430616243572,0.046324544664710574,0.10700192586647297,0.41590214067278286
77 days 12:00:00,124.53901011533291,11.159704750365616,7.563858047400039,0.10670892276223912,0.046324544664710574,0.10758205438184917,0.41590214067278286
78 days 00:00:00,126.92471462107041,11.266086925861632,7.643475281795118,0.10720957231560518,0.04705379131984114,0.10847641946776686,0.4146788990825688
78 days 12:00:00,127.84996124492663,11.307075715892532,7.67865008989815,0.10742808277104345,0.045356077702945315,0.10883859330341611,0.4136085626911315
79 days 00:00:00,131.8980335256695,11.484686914568872,7.8337814480161745,0.10994488561364235,0.046324544664710574,0.111388383973717,0.40856269113149846
