horizon,mse,rmse,mae,mape,mdape,smape,coverage
37 days 00:00:00,67.60756181170318,8.22238176027501,6.233943003418908,0.0829166651671752,0.05291834949300357,0.08450514519886727,0.39368770764119604
37 days 12:00:00,67.509098688188,8.216392072448102,6.231969531421868,0.08272488812588144,0.05291538523681629,0.08432318007421687,0.3953488372093023
38 days 00:00:00,69.07178274223033,8.310943553064858,6.308323797834999,0.08386389915932706,0.05291834949300357,0.08554834531571491,0.39069767441860465
38 days 12:00:00,69.32072183954712,8.325906667717764,6.318070879742869,0.08390382413381633,0.05291834949300357,0.08558533341071434,0.39401993355481724
39 days 00:00:00,70.92807847524196,8.421880934520622,6.4005022240604355,0.08520906252340217,0.053491083859086914,0.08694850349852445,0.38870431893687707
39 days 12:00:00,70.71691857636085,8.409335204185933,6.373129250422827,0.08468339769003679,0.05291538523681629,0.08638135829413886,0.39601328903654487
40 days 00:00:00,71.32439244144807,8.445376986342769,6.412477634874147,0.08523610631126302,0.05221824020273444,0.08684602987767971,0.38936877076411963
40 days 12:00:00,71.1559279337156,8.435397319256255,6.3913586717288124,0.08479962056715887,0.05103872276512282,0.08635946936001881,0.3953488372093023
41 days 00:00:00,70.78592343368979,8.413437076111629,6.382880908860102,0.0845175149436306,0.05103872276512282,0.08607018571281136,0.3920265780730897
41 days 12:00:00,71.11955660445584,8.433241168403512,6.396755402118713,0.08459338574163235,0.05081629129151461,0.08622145292558567,0.39368770764119604
42 days 00:00:00,72.62116654732912,8.52180535727783,6.470993434148257,0.08545826172215587,0.050854611112324005,0.08724125837379003,0.3903654485049834
42 days 12:00:00,73.39956383474535,8.567354541207301,6.5019522302386825,0.0857662425393308,0.05081629129151461,0.08762259120465123,0.3953488372093023
43 days 00:00:00,76.19509034872183,8.728979914555985,6.644854361262188,0.08743548678018599,0.05221824020273444,0.08936305094580486,0.38870431893687707
43 days 12:00:00,77.2156490300018,8.78724353992774,6.696227458862873,0.08797272168508319,0.05291538523681629,0.08986398944630172,0.38870431893687707
44 days 00:00:00,79.38497877670495,8.909824845455995,6.805336318473696,0.08928338710089845,0.0541951038539338,0.09117238842552387,0.37790697674418605
44 days 12:00:00,79.64664013656282,8.924496632111126,6.803549897365394,0.0892400665048764,0.0541951038539338,0.09107689236915809,0.3754152823920266
45 days 00:00:00,81.65295902762674,9.036202688498456,6.8922342794603,0.09065620546213106,0.055598348019902946,0.09249345792975974,0.3707641196013289
45 days 12:00:00,82.10087336593027,9.06095322611977,6.900658227888815,0.09075083039023354,0.055598348019902946,0.09256034672831291,0.3707641196013289
46 days 00:00:00,84.10097148282546,9.170658181549754,6.989662040354543,0.09217356709248467,0.05811305994195038,0.09401026109470542,0.3654485049833887
46 days 12:00:00,83.83567251739791,9.156182202064237,6.958028885382069,0.09174784433344339,0.05470349313935014,0.09346844076916071,0.36943521594684386
47 days 00:00:00,84.53471427013304,9.1942761689071,7.005695368132953,0.09241837505110288,0.055598348019902946,0.09401611131268789,0.3627906976744186
47 days 12:00:00,84.84793200070511,9.21129372024935,7.00520164725581,0.0924154600527828,0.055598348019902946,0.09388046554648391,0.3654485049833887
48 days 00:00:00,84.4722955535331,9.190881108660534,7.009938280285634,0.0923692746168185,0.05811305994195038,0.09380608599871793,0.36212624584717606
48 days 12:00:00,85.26970607555485,9.23415973846862,7.041041071277656,0.09268431986633519,0.06028281358573095,0.09423170337226314,0.3637873754152824
49 days 00:00:00,87.02257925630015,9.328589349751663,7.1245974397985234,0.09364638386148702,0.06378006941149951,0.09536968569068137,0.3588039867109635
49 days 12:00:00,87.91975502455642,9.376553472601563,7.152852674144538,0.0939276033446328,0.06378006941149951,0.09574159024478336,0.36046511627906974
50 days 00:00:00,90.69335726344472,9.52330600492522,7.284962209262774,0.09547193253963147,0.0669424176682065,0.09734686873418043,0.3521594684385382
50 days 12:00:00,92.14270122319299,9.5990989797581,7.352510258207056,0.09638776657908515,0.06886777269366547,0.09812745418828743,0.3488372093023256
51 days 00:00:00,91.93946898364854,9.588507130082792,7.347823876341221,0.09625244134822995,0.06856560085761625,0.0979770846938409,0.34717607973421927
51 days 12:00:00,93.73699112265145,9.681786566675154,7.42174709628809,0.09733539983477896,0.06886777269366547,0.09894906612880906,0.34219269102990035
52 days 00:00:00,94.69862856792092,9.73132203597851,7.4601101945840345,0.09788250574913875,0.07146507054947802,0.09954049589989415,0.3372093023255814
52 days 12:00:00,96.15068801604349,9.80564572152408,7.49823325528984,0.09860030798307144,0.07146507054947802,0.10014834285450822,0.33554817275747506
53 days 00:00:00,96.96463229297319,9.847062114812376,7.531384469693669,0.09918599876373305,0.07169276125730732,0.10077985682051806,0.32757475083056475
