horizon,mse,rmse,mae,mape,mdape,smape,coverage
37 days 00:00:00,94.02696187612409,9.696750067735277,6.964090906359461,0.07469950060163084,0.05452887887259685,0.07756792426921891,0.42201834862385323
37 days 12:00:00,94.97263443032762,9.745390419594672,6.991312495237389,0.07496794508371687,0.05473079267807697,0.07785393914597027,0.41834862385321103
38 days 00:00:00,94.1902608964172,9.705166711418057,6.9692367827905075,0.07474526858098819,0.05473079267807697,0.07764763514702903,0.41743119266055045
38 days 12:00:00,93.31655934544729,9.660049655433832,6.930640683218895,0.07438719661165304,0.05473079267807697,0.07723562773752232,0.41773700305810396
39 days 00:00:00,91.81388184999594,9.58195605552415,6.870081619886751,0.07379725805095612,0.05452887887259685,0.07661509502117793,0.41712538226299695
39 days 12:00:00,91.45549565814306,9.563236672703603,6.853993070730404,0.07360001140868981,0.05452887887259685,0.07640537697048651,0.41773700305810396
40 days 00:00:00,92.57810170843938,9.621751488603277,6.926492056453691,0.07429156206537395,0.05588375712542457,0.0771699488421718,0.4122324159021407
40 days 12:00:00,94.44564106673774,9.718314723589566,6.994611327673788,0.07494972237115193,0.05588375712542457,0.07792870942228468,0.4122324159021407
41 days 00:00:00,95.96277822082236,9.796059321013852,7.097246148229543,0.0760645444991906,0.05818352488066527,0.07915459686183718,0.40672782874617736
41 days 12:00:00,98.16533090763063,9.907841889515124,7.184530315310139,0.07698893480907598,0.05842229070507801,0.0801520226404588,0.4042813455657492
42 days 00:00:00,98.17863074155557,9.90851304392115,7.213369225026794,0.07737287637505166,0.05916318704700612,0.08056812582444048,0.40214067278287463
42 days 12:00:00,99.17460540756825,9.958644757574609,7.241842991221169,0.07766358430119481,0.05916318704700612,0.08090117461177901,0.4030581039755352
43 days 00:00:00,99.47321100108657,9.973625770054067,7.280292298261347,0.07808479231571772,0.06404132988484734,0.0813327962011657,0.39908256880733944
43 days 12:00:00,100.36301752875778,10.018134433553874,7.312097256569246,0.0783821280133044,0.06404132988484734,0.08167579147456325,0.39877675840978594
44 days 00:00:00,100.58490276351475,10.0292024988787,7.3427287001423,0.07870035316792169,0.06560257384244418,0.08197219637249827,0.3944954128440367
44 days 12:00:00,100.84629726639214,10.042225712778624,7.365036326764166,0.07898031000783597,0.06594959033937449,0.08225766613528177,0.39204892966360855
45 days 00:00:00,100.2742545812654,10.01370333998693,7.34718838945436,0.07886472912708019,0.06649392559097278,0.08210538567655504,0.3922018348623853
45 days 12:00:00,99.6139331967074,9.98067799283733,7.323899455524202,0.07874117732124077,0.06594959033937449,0.0819184712150102,0.39327217125382263
46 days 00:00:00,98.74552621334026,9.937078353990184,7.2895367642459,0.07845828745362364,0.06560257384244418,0.08155666618472099,0.3951070336391437
46 days 12:00:00,98.40023664311366,9.9196893420668,7.273254918318275,0.07829974841583266,0.06594959033937449,0.08137579051930746,0.39633027522935776
47 days 00:00:00,99.92477130403826,9.99623785751611,7.36189439141079,0.07920353015653218,0.06594959033937449,0.08230046850284814,0.38776758409785933
47 days 12:00:00,101.4807915012637,10.073767492912653,7.419952852579984,0.07975586701182096,0.0676727281698894,0.08295075720292537,0.38776758409785933
48 days 00:00:00,102.67300727227031,10.132768983464999,7.509293323884366,0.08071695983356242,0.0685725945407708,0.08400986227514311,0.37920489296636084
48 days 12:00:00,104.40913924053747,10.21807903867148,7.585312892205983,0.08157651404271286,0.06968609807709417,0.08491280369728749,0.3767584097859327
49 days 00:00:00,103.96314860306963,10.19623207871759,7.594792958808799,0.0817572589214996,0.0717672891494202,0.08509933730910849,0.3746177370030581
49 days 12:00:00,104.4603219683736,10.220583249911602,7.615215677187836,0.08198471170352419,0.07146092000567245,0.08532781029432879,0.37370030581039754
50 days 00:00:00,105.89519071715901,10.290538893428225,7.675348936087869,0.08264247053097616,0.07227058526841057,0.08589044483283333,0.37232415902140675
50 days 12:00:00,106.63123578003713,10.32624015699989,7.68943276317114,0.08278329841101922,0.07146092000567245,0.08604245006715242,0.3749235474006116
51 days 00:00:00,106.62315852074518,10.325849045998357,7.6958595434752555,0.08290286897671709,0.07146092000567245,0.08616872638160603,0.37370030581039754
51 days 12:00:00,107.84379252207597,10.384786590107472,7.747161636010573,0.08345506045824345,0.07296292019886044,0.0867182578397701,0.3730886850152905
52 days 00:00:00,107.87029099246944,10.386062342989735,7.755667621870542,0.08352374087718463,0.07296292019886044,0.08671445020847489,0.37186544342507644
