horizon,mse,rmse,mae,mape,mdape,smape,coverage
37 days 00:00:00,50.28214299970671,7.090990269328164,5.365469789276645,0.07401857474599675,0.06908630480151152,0.07546572890353709,0.2492354740061162
37 days 12:00:00,50.670409079721395,7.118315044989326,5.372534841949842,0.07413137410959761,0.06740590094484851,0.07560166844730383,0.24770642201834864
38 days 00:00:00,50.3783152562128,7.0977683292858185,5.371923395696763,0.07447734070454494,0.06970101606291475,0.0759318627184617,0.24617737003058104
38 days 12:00:00,49.51675496569098,7.036814262554539,5.312048295334437,0.07405593078366131,0.06740590094484851,0.07549573809043272,0.24831804281345565
39 days 00:00:00,48.891079218555475,6.99221561585135,5.282331425420651,0.07402168159256024,0.06694148234238385,0.07540633129640446,0.25198776758409785
39 days 12:00:00,48.47074545304135,6.962093467703616,5.253311347528143,0.07379972533831168,0.06678443997320697,0.0751620933053021,0.25688073394495414
40 days 00:00:00,48.53046052635235,6.966380733663094,5.256538013894406,0.07384881648994127,0.06694148234238385,0.07514746336939893,0.26055045871559634
40 days 12:00:00,49.753700166783624,7.053630282824839,5.307377550484153,0.07419349415638728,0.06694148234238385,0.07554556290132405,0.2617737003058104
41 days 00:00:00,49.87105561748513,7.061944181136321,5.318332084380647,0.07414492917776709,0.06678443997320697,0.07551329023572097,0.26146788990825687
41 days 12:00:00,50.90005444435566,7.1344274083037424,5.373102863286619,0.07467085418469305,0.06694148234238385,0.07609843161154545,0.25688073394495414
42 days 00:00:00,50.78564545287477,7.126404805571655,5.378003116639518,0.07473045490737602,0.06694148234238385,0.0761956697268801,0.2599388379204893
42 days 12:00:00,51.37495866724179,7.167632710124159,5.409545360835768,0.07512746013644762,0.06869234712182823,0.07659490046502343,0.25688073394495414
43 days 00:00:00,51.44815645260065,7.1727370265889885,5.42027522965144,0.07549484304814431,0.06869234712182823,0.07690516245028732,0.26146788990825687
43 days 12:00:00,52.24285693879426,7.227922034637221,5.450485588646587,0.07570849529911998,0.06869234712182823,0.07713834326014918,0.2599388379204893
44 days 00:00:00,52.48446179935911,7.24461605603493,5.468994866993362,0.07621347618303433,0.06908630480151152,0.07761259046264131,0.25840978593272174
44 days 12:00:00,53.04688546051392,7.283329284092126,5.492138375296953,0.0764899985557467,0.06908630480151152,0.07794293993101578,0.25198776758409785
45 days 00:00:00,53.18025521555791,7.292479359967905,5.512090692204087,0.07712985376739383,0.06970101606291475,0.07855577193107256,0.24388379204892965
45 days 12:00:00,52.48113626179599,7.244386534538034,5.464902797900554,0.07686875568180963,0.06908630480151152,0.07830430801165855,0.2415902140672783
46 days 00:00:00,52.354247721441006,7.235623519880026,5.459244853618907,0.07718524764743857,0.06869234712182823,0.07854996821195058,0.2403669724770642
46 days 12:00:00,51.85395051798167,7.200968720802894,5.422912055973899,0.0767962923766489,0.06812711434816716,0.07817174638544225,0.23853211009174313
47 days 00:00:00,51.99036859076646,7.210434701927926,5.416248410862186,0.07683503569118326,0.06740590094484851,0.07811455868300544,0.23730886850152905
47 days 12:00:00,53.1203418634397,7.288370316019878,5.467620907088096,0.07723302673883467,0.06740590094484851,0.07857140094578625,0.22996941896024467
48 days 00:00:00,53.07780151784784,7.285451359926016,5.460074223102489,0.0768700832393336,0.06740590094484851,0.07823015563580016,0.2308868501529052
48 days 12:00:00,54.34022949584479,7.371582563862714,5.525876311237334,0.07752078721361721,0.06740590094484851,0.07896499352312089,0.22813455657492354
49 days 00:00:00,54.09642139284194,7.355026947118681,5.515542009609502,0.07732068828700636,0.06740590094484851,0.07880399914986316,0.2308868501529052
49 days 12:00:00,54.90537790055925,7.409816320298314,5.551590632551431,0.07774949177784775,0.06812711434816716,0.0792439341263203,0.22813455657492354
50 days 00:00:00,55.31697611459366,7.437538310126117,5.590013437137898,0.07850777014604725,0.06869234712182823,0.07991709938540363,0.22935779816513763
50 days 12:00:00,56.11385621636635,7.490918249211264,5.613554822611495,0.0785941849258171,0.06908630480151152,0.08001489382414224,0.2324159021406728
51 days 00:00:00,56.14517317967347,7.49300828637427,5.6185739533100225,0.07862659326885725,0.06992777670863394,0.08005254160694303,0.2324159021406728
51 days 12:00:00,56.87363975914302,7.541461380869295,5.641484707125964,0.07888707155746384,0.0706770687450287,0.08033845325503948,0.2324159021406728
52 days 00:00:00,56.93413340377874,7.545471052477687,5.653369777302264,0.07934254681509421,0.0723744844697156,0.08076307203563175,0.2324159021406728
52 days 12:00:00,55.98654866390986,7.482415964373396,5.583676868826326,0.07881102419558188,0.0706770687450287,0.08020376128851071,0.23776758409785934
53 days 00:00:00,55.51074132460944,7.4505530885035265,5.554457088169676,0.0788809593721879,0.0723744844697156,0.08023087838136926,0.2403669724770642
53 days 12:00:00,54.84615026396869,7.405818676147066,5.5049697605476275,0.07858161543461215,0.0723744844697156,0.07991195928718618,0.24097859327217125
54 days 00:00:00,54.492209970372386,7.381883903880661,5.482349279374746,0.07847051801316651,0.0706770687450287,0.07971881274246789,0.24464831804281345
54 days 12:00:00,55.271260867553835,7.43446439681796,5.491608568072176,0.07828201278587633,0.0706770687450287,0.07957922861778678,0.24770642201834864
55 days 00:00:00,55.47949060492056,7.448455585215002,5.502742419409625,0.07818228436118009,0.0706770687450287,0.07948411429113561,0.25076452599388377
55 days 12:00:00,56.63107466375771,7.525362095192344,5.552762592388553,0.07849683377530108,0.0723744844697156,0.0798261510417259,0.25076452599388377
56 days 00:00:00,56.91915073982758,7.544478162194359,5.578952488140243,0.07861070757518766,0.0723744844697156,0.07997828071516604,0.25076452599388377
56 days 12:00:00,57.58421580860483,7.588426438241648,5.602265130810103,0.07866703264396954,0.0723744844697156,0.08009274693594916,0.25
57 days 00:00:00,57.41281990567108,7.577124778283058,5.615872398001727,0.07904023809255954,0.07412396063869095,0.08040129028412442,0.25076452599388377
57 days 12:00:00,58.07830020644779,7.620912032456994,5.634158145801037,0.07912250946356758,0.07461771935062667,0.08049206714312677,0.2528032619775739
58 days 00:00:00,57.61039995668656,7.5901515107859705,5.61616161574357,0.07887405701612157,0.07461771935062667,0.08022021140314993,0.25382262996941896
58 days 12:00:00,58.311596060539394,7.6362029871225525,5.61586477878919,0.07874999045173713,0.07412396063869095,0.08011135581316377,0.2558613659531091
59 days 00:00:00,57.98092109205971,7.614520411165743,5.61263878990424,0.07907361351353437,0.07461771935062667,0.08038761066479566,0.25382262996941896
60 days 00:00:00,57.44087702207308,7.578975987696034,5.576278515939356,0.07895561063688562,0.07412396063869095,0.08020136107747221,0.254841997961264
60 days 12:00:00,56.85183616517608,7.540015660804431,5.5277115243438075,0.07849307991781751,0.0706770687450287,0.07972256435518425,0.2576452599388379
61 days 00:00:00,56.00586048806733,7.483706333633577,5.471166549165831,0.07805179266883021,0.0706770687450287,0.07922165111619224,0.26299694189602446
61 days 12:00:00,55.593112510477084,7.456078896476155,5.4354385820221705,0.07767123953258127,0.06992777670863394,0.07882620023208294,0.26605504587155965
62 days 00:00:00,55.40088722620114,7.44317722657476,5.404772805883574,0.07705927931162483,0.06992777670863394,0.07820875100085461,0.27522935779816515
62 days 12:00:00,57.03053208922024,7.551856201571918,5.4746900637363085,0.07760384415417736,0.0706770687450287,0.07882315142724622,0.27278287461773704
63 days 00:00:00,57.503166312511105,7.583084221641687,5.510631911020716,0.07776127219830963,0.0711516285453594,0.07902093436507965,0.27217125382262997
63 days 12:00:00,59.14186157641551,7.690374605727312,5.579359075174049,0.07833891342111027,0.07510026287018594,0.07966644951236139,0.26972477064220185
64 days 00:00:00,59.797535373080706,7.73288661323058,5.645218800834137,0.07912790529172947,0.07510026287018594,0.08044028571449245,0.2617737003058104
64 days 12:00:00,61.1096190411521,7.817264166007958,5.703175816923574,0.07951081082893971,0.07546260898751679,0.08087569578422087,0.2599388379204893
65 days 00:00:00,60.91183227229027,7.804603274497063,5.722307926805946,0.07988880215084095,0.07601398501579543,0.08120899918953321,0.25626911314984707
65 days 12:00:00,61.834511034358826,7.86349229250966,5.751636307020803,0.07994616026840329,0.07546260898751679,0.08131106004812588,0.2561162079510703
66 days 00:00:00,61.67899437632706,7.853597543567346,5.751786738017557,0.0801557715655213,0.07510026287018594,0.08153306335409806,0.25565749235474006
66 days 12:00:00,61.05528876002468,7.813788374407428,5.711112935376434,0.07987562729835761,0.07219642825935463,0.08123946343456244,0.25535168195718655
67 days 00:00:00,60.75981065481108,7.794857962452625,5.693960058745555,0.07997485494607727,0.06992777670863394,0.08133318737567982,0.25321100917431194
67 days 12:00:00,59.95255379050044,7.742903447060439,5.6461301782214015,0.07957370915014163,0.0711516285453594,0.08090568402765148,0.2495412844036697
68 days 00:00:00,59.23397617801352,7.696361229698975,5.607439765315293,0.07919107139975085,0.06869234712182823,0.08043115033911902,0.25229357798165136
68 days 12:00:00,60.33902581889585,7.7678198884175895,5.642317442918264,0.07936811005238222,0.06869234712182823,0.08063326348239899,0.24831804281345565
