horizon,mse,rmse,mae,mape,mdape,smape,coverage
37 days 00:00:00,54.57206576183207,7.387290826942721,5.396483656734097,0.07463142935717453,0.06600402576358931,0.07617958307009541,0.27370030581039756
37 days 12:00:00,55.3963535344495,7.442872666816859,5.412440715311957,0.07477937401747485,0.06598752665164684,0.07636950246107968,0.27217125382262997
38 days 00:00:00,55.01957831961889,7.417518339688746,5.410630650904725,0.07513200479813645,0.06643328195356688,0.07669881179487448,0.2706422018348624
38 days 12:00:00,54.17635866730189,7.3604591342729355,5.349929406298883,0.07466884448786233,0.06600402576358931,0.0762286979263524,0.27278287461773704
39 days 00:00:00,53.44083541284618,7.310323892471946,5.319817759252234,0.07468481406212196,0.06598752665164684,0.07618012737595835,0.27339449541284405
39 days 12:00:00,52.9740033165583,7.27832421073411,5.288135873618015,0.07442551438596974,0.06591969864580115,0.07590400210227446,0.2782874617737003
40 days 00:00:00,53.03340395825189,7.282403721179696,5.290877246432007,0.07453102152263816,0.06598752665164684,0.07594076701969611,0.27889908256880735
40 days 12:00:00,54.72093871250625,7.397360252989323,5.351360307144083,0.07492590128250443,0.06598752665164684,0.07640676928459272,0.2801223241590214
41 days 00:00:00,54.8212450660643,7.404137023722907,5.3594411770846575,0.0748690695921322,0.06591969864580115,0.07636764093141227,0.27675840978593275
41 days 12:00:00,56.42482272363734,7.511645806588416,5.427011852423523,0.0754596338933628,0.06598752665164684,0.07703785534972066,0.27400611620795107
42 days 00:00:00,56.23794110827772,7.499196030794082,5.429553182938215,0.07552841512593507,0.06598752665164684,0.07714222953911444,0.27522935779816515
42 days 12:00:00,57.31886562517411,7.570922376116012,5.470799696287044,0.07595280912426737,0.06615413929790019,0.07758555591144162,0.2709480122324159
43 days 00:00:00,57.40274435507475,7.576459882760203,5.480717098968272,0.07636968714632784,0.06615413929790019,0.07793794459252695,0.27370030581039756
43 days 12:00:00,58.68564659278535,7.660655754750069,5.519906737970793,0.07660940715866059,0.06615413929790019,0.0782104894842821,0.27217125382262997
44 days 00:00:00,58.959077045450954,7.678481428345774,5.54425552413736,0.07718908849791284,0.06643328195356688,0.07874803228478883,0.2706422018348624
44 days 12:00:00,60.10519632455292,7.752754112220567,5.579693612045281,0.07752840917618925,0.06643328195356688,0.07916326518285095,0.26422018348623855
45 days 00:00:00,60.20939816504528,7.759471513256897,5.598873960253834,0.07818273088026534,0.06675155513310449,0.07977954180585815,0.2561162079510703
45 days 12:00:00,59.50539069282409,7.713973729072721,5.54954572777948,0.07786745466611836,0.06675155513310449,0.07948134745534251,0.25137614678899084
46 days 00:00:00,59.32588380916222,7.702329765023192,5.544831819765899,0.07825981986447796,0.06643328195356688,0.07978916383777965,0.24648318042813455
46 days 12:00:00,58.7896103396352,7.667438316650171,5.505352130841443,0.077820295680126,0.06615413929790019,0.07936542112016799,0.24587155963302754
47 days 00:00:00,58.977763608883926,7.679698145688015,5.506853732340881,0.07798494146113032,0.06598752665164684,0.0794248485624462,0.2452599388379205
47 days 12:00:00,60.66650190756633,7.788870387133575,5.569304501761263,0.07843256070720826,0.06598752665164684,0.07995072147501858,0.24342507645259936
48 days 00:00:00,60.611841540921965,7.785360720025885,5.558854586139097,0.07807168102943261,0.06598752665164684,0.07960957914711589,0.24464831804281345
48 days 12:00:00,62.467321032932155,7.903627080836504,5.637760178494274,0.07879645731854726,0.06600402576358931,0.08043863930589354,0.2403669724770642
49 days 00:00:00,62.15529893112023,7.883863198402178,5.623236170661676,0.07858737568283286,0.06600402576358931,0.08026437714368696,0.24311926605504589
49 days 12:00:00,63.41490038777345,7.963347310507903,5.666742086135939,0.07901096158915351,0.06643328195356688,0.08071474550954595,0.2403669724770642
50 days 00:00:00,63.78996828006426,7.986862229941384,5.700249783692617,0.07975329629816265,0.06675155513310449,0.08136037796319556,0.2408256880733945
50 days 12:00:00,65.07154869747895,8.066693789743042,5.731096888008638,0.07984919046322053,0.06697075121497229,0.08148056657711464,0.2415902140672783
51 days 00:00:00,65.10422980964243,8.068719217424933,5.736069183569483,0.07987542195499397,0.06768205947410835,0.08151119901291227,0.2415902140672783
51 days 12:00:00,66.33711710615941,8.144760101203682,5.770784582424702,0.08022240507812128,0.06794193791188435,0.08189997211322063,0.2400611620795107
52 days 00:00:00,66.36120468464284,8.146238683260075,5.782206763109071,0.08069364217015555,0.06919747117283126,0.08233209247910529,0.23547400611620795
52 days 12:00:00,65.39245962394992,8.086560432220235,5.711215537956738,0.08011838026779429,0.06919747117283126,0.0817341730597206,0.2408256880733945
53 days 00:00:00,64.81416232472108,8.05072433540741,5.68154640958305,0.0802368567860387,0.06924502112385676,0.08180049804288667,0.2403669724770642
53 days 12:00:00,64.1380799177733,8.008625345074728,5.633682753283562,0.07995461006027069,0.06924502112385676,0.08150580440019965,0.24097859327217125
54 days 00:00:00,63.61681378024367,7.97601490596925,5.604485778065213,0.07986375660898283,0.06919747117283126,0.0813224529555752,0.24464831804281345
54 days 12:00:00,64.91537098842056,8.057007570334074,5.627901930867742,0.07978921010541509,0.06924502112385676,0.08131830739614933,0.24770642201834864
55 days 00:00:00,65.08524082947397,8.067542428117374,5.634652107750001,0.0797100613589711,0.06924502112385676,0.08124111157981055,0.25076452599388377
55 days 12:00:00,66.6578533127318,8.1644260859372,5.693082419452743,0.08004704426003646,0.06928852492172737,0.08161998560161932,0.25076452599388377
56 days 00:00:00,66.89123612358041,8.178706262214117,5.713443696033777,0.08014972234943542,0.06928852492172737,0.0817554252835919,0.24770642201834864
56 days 12:00:00,67.85861287244676,8.237633936540684,5.74139036166716,0.08015645752183412,0.06928852492172737,0.08183300701655846,0.24694189602446484
57 days 00:00:00,67.51428247841025,8.216707520558964,5.744276240022861,0.08046661291093357,0.06929411220310139,0.08206455843820445,0.24770642201834864
57 days 12:00:00,68.57293367619911,8.280877590944037,5.770525091565358,0.08056542215068241,0.06953116299431206,0.08218223543073866,0.24974515800203875
58 days 00:00:00,67.93571895651918,8.242312718922959,5.745656561775008,0.08027022596879452,0.06953116299431206,0.08185595838921572,0.25076452599388377
58 days 12:00:00,69.03221011496552,8.308562457788081,5.757218230808371,0.08023705206201898,0.06928852492172737,0.08184963124701364,0.2558613659531091
59 days 00:00:00,68.54489256015366,8.279184293162803,5.75113585503942,0.08056524894011209,0.06929411220310139,0.08212018954709169,0.25382262996941896
60 days 00:00:00,67.90972725689514,8.240735844382778,5.7127648808605,0.0804513353075424,0.06928852492172737,0.0819275736642756,0.254841997961264
60 days 12:00:00,67.26924713015919,8.201783167711714,5.666430647315347,0.07999693402539228,0.06924502112385676,0.08146514957135531,0.2576452599388379
61 days 00:00:00,66.19795348939712,8.1362124781373,5.604565588626686,0.07955360732055473,0.06919747117283126,0.08095217591251196,0.26299694189602446
61 days 12:00:00,65.78071347218857,8.11053102282388,5.566868376075677,0.07912829969771103,0.06768205947410835,0.08051851546362375,0.26605504587155965
62 days 00:00:00,65.59210783500589,8.098895470062933,5.539050649621499,0.07852102236883592,0.06919747117283126,0.07990488979096311,0.27522935779816515
62 days 12:00:00,67.65237804800611,8.225106567577475,5.616056584426165,0.07906897376172209,0.06928852492172737,0.08053918286923391,0.27278287461773704
63 days 00:00:00,68.18407390219113,8.257364827969704,5.654990162638095,0.07919431714547365,0.06929411220310139,0.08069911567449715,0.27522935779816515
63 days 12:00:00,70.26763306966157,8.382579141866874,5.730749584363889,0.07972139226255472,0.07009211981496713,0.08131223079533474,0.27033639143730887
64 days 00:00:00,71.0453590384079,8.428840907171512,5.803450574464061,0.08051374341960935,0.07009211981496713,0.08208240428729707,0.2617737003058104
64 days 12:00:00,72.84208079547905,8.534757219480765,5.870934482557333,0.08089115283525206,0.0702841198404382,0.0825245344591434,0.2599388379204893
65 days 00:00:00,72.57656201161355,8.519187872773646,5.894710636923502,0.08133008832560722,0.07138814245786529,0.08290291921870234,0.25626911314984707
65 days 12:00:00,73.93887207014588,8.598771544246647,5.930862586148143,0.08138452332177107,0.07067185930526199,0.08301298932910658,0.2591743119266055
66 days 00:00:00,73.65371451288364,8.582174229930528,5.931087931574344,0.08163076759423173,0.07067185930526199,0.08326178597731675,0.2587155963302752
66 days 12:00:00,72.90717702521674,8.538569963712703,5.884699503373011,0.08124428445848556,0.07044487176513221,0.0828617934272181,0.26146788990825687
67 days 00:00:00,72.50893188287974,8.515217665032393,5.868108301826116,0.08135576589813787,0.07009211981496713,0.08296348498188949,0.25932721712538226
67 days 12:00:00,71.57211786507521,8.460030606627567,5.814953557148267,0.08086212187860235,0.0702841198404382,0.0824445978992815,0.2617737003058104
68 days 00:00:00,70.82732604015683,8.415897221339911,5.782492160864276,0.08055737775580647,0.06928852492172737,0.08203563504957903,0.26452599388379205
