horizon,mse,rmse,mae,mape,mdape,smape,coverage
37 days 00:00:00,39.71672729838848,6.3021208571709,4.9875185230398325,0.03978855256655016,0.03433025828477685,0.03930881587214481,0.3944954128440367
37 days 12:00:00,39.9133347048055,6.317700111971563,4.9928007182515115,0.039907425511447464,0.03451559325422501,0.03941792913281999,0.3957186544342508
38 days 00:00:00,39.844145455959,6.312221911178266,4.983085838482262,0.03986057420242148,0.03419847311451809,0.03938426092896508,0.40061162079510704
38 days 12:00:00,39.964456068837194,6.321744701333421,4.984481600273376,0.03997513581729589,0.03419847311451809,0.03949814901865303,0.40122324159021405
39 days 00:00:00,39.91480338896724,6.317816346568429,4.976321191561921,0.039966971149981795,0.03296778043402864,0.039506703149630604,0.4036697247706422
39 days 12:00:00,40.242662043992354,6.343710431915406,4.996131035083939,0.040184561566690674,0.03282016829193742,0.03971784673901968,0.4018348623853211
40 days 00:00:00,40.03090343866217,6.326997979979303,4.981904066042241,0.04011433327509989,0.03269059740696264,0.03964986451903781,0.40795107033639144
40 days 12:00:00,40.30324542892335,6.348483711007169,4.998616249384231,0.04028265588217516,0.03269059740696264,0.039805995439455386,0.40733944954128437
41 days 00:00:00,40.21700270044212,6.341687685501559,4.992435061986745,0.040270043062767824,0.032640196293945996,0.039799135263623775,0.40825688073394495
41 days 12:00:00,40.062481990501105,6.3294930279210435,4.979052585600302,0.04017290292538005,0.03234103252540088,0.03971129373203951,0.41039755351681956
42 days 00:00:00,39.93076424779763,6.319079382932109,4.977019859933198,0.040242667038047096,0.032640196293945996,0.039783186194049636,0.41131498470948014
42 days 12:00:00,39.796452526534736,6.308442955796203,4.968088076282847,0.04017941579698891,0.03234103252540088,0.039728575409262216,0.4152905198776759
43 days 00:00:00,39.69696933109447,6.300553097236342,4.9618675757130175,0.040196063613907006,0.03282016829193742,0.03974799457631155,0.41437308868501527
43 days 12:00:00,40.16610957487644,6.3376738299534185,4.990346260020573,0.040477568663640474,0.03282016829193742,0.040009722927541715,0.4165137614678899
44 days 00:00:00,40.16879288941795,6.337885521955879,5.000328751670583,0.04053189526623249,0.03269059740696264,0.04006920706956083,0.41590214067278286
44 days 12:00:00,40.49302689778808,6.3634131484438505,5.0201397222397866,0.04077420140058439,0.03282016829193742,0.040297992276808005,0.4152905198776759
45 days 00:00:00,40.450053802338715,6.360035676184428,5.020193289781544,0.04082584403501644,0.03282016829193742,0.04035105371402263,0.4136085626911315
45 days 12:00:00,40.886623645535735,6.394264902671435,5.048164368329146,0.04114888145733364,0.03269059740696264,0.04066516723436246,0.41100917431192663
46 days 00:00:00,40.833894066989004,6.390140379286593,5.048118666435298,0.041248332841638646,0.03296778043402864,0.04076698261013908,0.40795107033639144
