horizon,mse,rmse,mae,mape,mdape,smape,coverage
37 days 00:00:00,204.96239742548394,14.316507864192438,9.938910884439373,0.09397155272759507,0.06721477841940579,0.09511513286064481,0.26758409785932724
37 days 12:00:00,206.64362577543574,14.375104374418843,9.97373131124172,0.09423312428430373,0.06721477841940579,0.09537552019865085,0.26238532110091745
38 days 00:00:00,205.60309515139724,14.338866592286758,9.976217238434884,0.09448333160942186,0.06939548454547534,0.09566943472735259,0.26299694189602446
38 days 12:00:00,204.3677772398175,14.295725838159374,9.94007660130273,0.09442243982862925,0.06862185499992197,0.09553811291554766,0.2587155963302752
39 days 00:00:00,202.70365590579428,14.23740341164056,9.926603387669173,0.09461972419595975,0.06939548454547534,0.0957529436604906,0.25749235474006116
39 days 12:00:00,201.21424482431374,14.185000698777344,9.882766168696012,0.0943510142116147,0.06939548454547534,0.09545962681561503,0.25626911314984707
40 days 00:00:00,201.81793957995384,14.206264096515799,9.92165069397654,0.09480157830715433,0.06999969746429074,0.09590390093163102,0.25626911314984707
40 days 12:00:00,203.9985611233173,14.282806486237826,9.98065460572998,0.09509618233145573,0.07032120312508568,0.0962811007257263,0.25565749235474006
41 days 00:00:00,204.2494360819355,14.29158619894711,10.009555428889247,0.09540347971443557,0.076571733679302,0.09662328850603927,0.25688073394495414
41 days 12:00:00,207.50843850683108,14.405153192758176,10.121111887303828,0.09629451020243497,0.07687497106875146,0.09752629171003944,0.25565749235474006
42 days 00:00:00,207.84253174119888,14.416744838596502,10.180571097380168,0.0968909441686945,0.07786327034189992,0.0981848209542853,0.25688073394495414
42 days 12:00:00,209.13606193849293,14.461537329706442,10.233410886124691,0.09728584517264068,0.07804218373746837,0.0985599941843089,0.25565749235474006
43 days 00:00:00,209.97641893633096,14.490563099353004,10.289919305314013,0.09776912714777419,0.08077928211633623,0.09903010239658629,0.25535168195718655
43 days 12:00:00,209.8686583675088,14.486844320538163,10.310768865560338,0.09787787443647361,0.07945363537955573,0.09914117779581245,0.25137614678899084
44 days 00:00:00,210.2861703715646,14.501247200553633,10.356665064646968,0.09825985920155017,0.08077928211633623,0.0994968268853954,0.25229357798165136
44 days 12:00:00,209.31769650984458,14.467815885953366,10.35376963973411,0.09828253827556145,0.08077928211633623,0.09952183583403143,0.2470948012232416
45 days 00:00:00,207.63585006383803,14.409574943898868,10.358286831239456,0.09856240795375754,0.08254751607651399,0.0998630391510278,0.2423547400611621
45 days 12:00:00,206.17001885944595,14.358621760442258,10.308827633351617,0.09831310838799086,0.08077928211633623,0.09955496912827681,0.2397553516819572
46 days 00:00:00,204.1701625400538,14.288812495797327,10.296540562513089,0.09853672515705582,0.0817914694443704,0.09978620871632937,0.23914373088685018
46 days 12:00:00,202.04384805566656,14.214212889065175,10.21476243276534,0.09780707530614403,0.07945363537955573,0.0990381703084107,0.2397553516819572
47 days 00:00:00,203.05739276473759,14.249820797635934,10.253036799570893,0.09818989810598674,0.08077928211633623,0.099400205182012,0.24097859327217125
47 days 12:00:00,203.69000674835138,14.272000796957355,10.277696399772397,0.09813685097588365,0.08077928211633623,0.09943966033666843,0.2403669724770642
48 days 00:00:00,204.36947580823517,14.295785246296727,10.31350179252783,0.09835361300927653,0.0817914694443704,0.09970659706631688,0.23853211009174313
48 days 12:00:00,207.3523753199407,14.39973525173087,10.42588152973875,0.099331097647221,0.0817914694443704,0.10066753361405376,0.236085626911315
49 days 00:00:00,207.43109369142832,14.402468319403738,10.484099012853624,0.09984900689497989,0.08276214068573913,0.101254822388941,0.23700305810397554
49 days 12:00:00,207.9068752991952,14.418976222298003,10.530388970717688,0.1002996321883864,0.08287375710868741,0.1016395797078257,0.23425076452599386
50 days 00:00:00,211.56311134739073,14.545209223225038,10.674199110030337,0.10159078802725661,0.08287375710868741,0.10283615334559004,0.23547400611620795
50 days 12:00:00,210.4330390006778,14.506310316571813,10.674203298946363,0.10154455477012835,0.08318195413678826,0.10276441635748564,0.2379204892966361
51 days 00:00:00,211.0112750904697,14.526227145768777,10.70321983469719,0.10175950952144384,0.08408858067744687,0.10300015976529256,0.23730886850152905
51 days 12:00:00,211.01169896040395,14.526241735576479,10.729917323909435,0.10196217906425667,0.08408906807595658,0.10317623927611505,0.23547400611620795
52 days 00:00:00,211.541445153797,14.544464416189308,10.764778808946978,0.10239680281624526,0.08408906807595658,0.1035541206766081,0.2348623853211009
52 days 12:00:00,211.12366758475278,14.530095236602985,10.766033196186008,0.1028492824241065,0.08408906807595658,0.10385039367962283,0.231651376146789
53 days 00:00:00,210.32518987005153,14.502592522375148,10.759011658546012,0.10313237380825845,0.08506818914025908,0.10412145463690702,0.2311926605504587
53 days 12:00:00,208.46659299271582,14.438372241797751,10.695899030963721,0.10270957006348565,0.08408906807595658,0.10368468576338534,0.22874617737003058
54 days 00:00:00,205.48062183408695,14.334595279744976,10.633192577406877,0.10239487880561644,0.08408858067744687,0.10329981240574246,0.23180428134556574
