horizon,mse,rmse,mae,mape,mdape,smape,coverage
37 days 00:00:00,11.06486901558453,3.3263897870791586,2.5455454370040647,0.05875209227713381,0.0493924857231094,0.05804669409242574,0.27675840978593275
37 days 12:00:00,11.35669911017842,3.369970194256682,2.5815403163834607,0.05957496433966614,0.050260873437718984,0.0588628758184524,0.26972477064220185
38 days 00:00:00,11.172663032269575,3.3425533701452808,2.5636090659868986,0.059177874545459884,0.050260873437718984,0.05850720886357982,0.2668195718654434
38 days 12:00:00,11.343344859604512,3.3679882511084434,2.582424819085916,0.05968765815140743,0.050366385429373495,0.05898423805975867,0.26422018348623855
39 days 00:00:00,11.10790035302295,3.332851684822316,2.551741219726811,0.05900171028209782,0.050260873437718984,0.0583419927270417,0.26972477064220185
39 days 12:00:00,11.095288954265973,3.330959164304776,2.55559985839686,0.059124092793323375,0.050260873437718984,0.05848975077758557,0.26666666666666666
40 days 00:00:00,11.03785956083539,3.3223274313100735,2.5537927520755073,0.05904918218200214,0.050366385429373495,0.05845125310639444,0.2654434250764526
40 days 12:00:00,11.109713634487079,3.3331237052481386,2.5663854352185145,0.05927205883239068,0.05052880056225416,0.058724797151052374,0.26238532110091745
41 days 00:00:00,11.134629675031311,3.3368592531048282,2.575113102519474,0.059426744297202044,0.050366385429373495,0.058888605090310596,0.25688073394495414
41 days 12:00:00,11.446756128591657,3.38330550328989,2.613930952943346,0.06024918801819585,0.05067735780442063,0.05969772220351154,0.25321100917431194
42 days 00:00:00,11.427611115834344,3.3804749837610606,2.6149326399588064,0.060235231645288136,0.05067735780442063,0.05968236476587722,0.2492354740061162
42 days 12:00:00,11.650693742683483,3.4133112578086813,2.6443531413090273,0.06084591889877242,0.051317796434888006,0.06027081927402034,0.2440366972477064
43 days 00:00:00,11.571456379691348,3.401684344511017,2.6396897716615437,0.06066706563755131,0.051768959949639516,0.060124397558932494,0.24311926605504589
43 days 12:00:00,11.725658664536404,3.424274910771097,2.6608480969887953,0.06111061507758514,0.051768959949639516,0.0605631513288386,0.23914373088685018
44 days 00:00:00,11.588457844606749,3.4041824047202214,2.646538963948467,0.06073193771058138,0.051443985874237784,0.06022132764964012,0.2400611620795107
44 days 12:00:00,11.683785012003462,3.4181552059559057,2.6634768704399256,0.061140054371537106,0.051768959949639516,0.06063571075919281,0.23669724770642203
45 days 00:00:00,11.399633501120478,3.3763343289906107,2.629044747948996,0.06035014761964646,0.051443985874237784,0.05989752487372934,0.2415902140672783
45 days 12:00:00,11.54447986931047,3.397716861262938,2.6460933755875473,0.06084038815975252,0.05183172252142185,0.06036065665152162,0.2397553516819572
46 days 00:00:00,11.192472630955237,3.3455153012585725,2.600919344002216,0.05982741231668212,0.051317796434888006,0.05939898742752202,0.24770642201834864
46 days 12:00:00,11.142080348395151,3.3379754864880526,2.597830468832476,0.05979490164363593,0.051443985874237784,0.0593918408815303,0.2489296636085627
47 days 00:00:00,10.922505025204607,3.304921334193086,2.5757653394404034,0.059227026847013184,0.05067735780442063,0.058883212115250744,0.24587155963302754
47 days 12:00:00,10.881856627353462,3.29876592491093,2.5793151514602406,0.059242059596992816,0.05067735780442063,0.05895810374861913,0.24220183486238533
48 days 00:00:00,10.881874218945576,3.2987685912997255,2.5809297483903393,0.05921114341117074,0.050614269777839234,0.05893657146518582,0.23853211009174313
48 days 12:00:00,11.189326826344663,3.3450451157412906,2.614561267377285,0.05991749365366688,0.050745293654714765,0.05961552874191419,0.23914373088685018
49 days 00:00:00,11.14005190921871,3.337671629926873,2.606983441618228,0.059684365046125266,0.050745293654714765,0.05938311249876335,0.23853211009174313
49 days 12:00:00,11.430635808568205,3.3809223310463974,2.6402291218264806,0.06039432261495121,0.051768959949639516,0.06005468929423455,0.236085626911315
50 days 00:00:00,11.367495461203625,3.3715716603986965,2.6323170727609204,0.06012106785669567,0.051768959949639516,0.05980515208292492,0.23853211009174313
50 days 12:00:00,11.542476259342887,3.3974220019513157,2.652453131016311,0.06054387632841961,0.05183172252142185,0.06021335640373293,0.23730886850152905
51 days 00:00:00,11.566930720566939,3.4010190708913908,2.6579035844112244,0.060634293290330196,0.051901585803545286,0.06031241527442714,0.236085626911315
51 days 12:00:00,11.793061427990352,3.434102710751435,2.687052894219534,0.061300619753750195,0.05273983298474351,0.06097059461011874,0.2324159021406728
52 days 00:00:00,11.600585681418147,3.4059632530927497,2.6616957056293495,0.06072724299209294,0.05258679595908917,0.06042465749754554,0.23363914373088687
52 days 12:00:00,11.909875929183482,3.4510688096854114,2.692330953775304,0.06158691687850963,0.05344544632591142,0.061194003929118806,0.22629969418960244
53 days 00:00:00,11.661353712165253,3.4148724298522857,2.6581648554438706,0.06087262275486106,0.05258679595908917,0.06050711744638719,0.2311926605504587
53 days 12:00:00,11.630574796989688,3.4103628541534534,2.6602225448853605,0.06099805454671381,0.05339691619101143,0.06064709306465943,0.22935779816513763
54 days 00:00:00,11.370740842476454,3.3720529121703375,2.6295792729563456,0.06028055570907024,0.05273983298474351,0.059972349151199776,0.22874617737003058
54 days 12:00:00,11.445721280433162,3.383152565349834,2.639667940506105,0.060495273253100605,0.05301386402665807,0.06020914761177742,0.22629969418960244
55 days 00:00:00,11.244717435356089,3.353314395543026,2.6190892249336724,0.05985023974591762,0.05258679595908917,0.05964977042548567,0.2324159021406728
55 days 12:00:00,11.62424980080064,3.4094354079232296,2.65777809031407,0.06071042556690539,0.05301386402665807,0.06046120535176659,0.22935779816513763
56 days 00:00:00,11.657674904019737,3.41433374233096,2.6583673219786212,0.06054649487808048,0.05273983298474351,0.06031721673719019,0.23394495412844038
56 days 12:00:00,12.020856432114467,3.4671106749157095,2.697247042487774,0.06136201480699431,0.05301386402665807,0.06107894671373711,0.22935779816513763
57 days 00:00:00,12.016550290269475,3.466489620678169,2.697637411919973,0.061245028863002225,0.05301386402665807,0.06097448639330532,0.2301223241590214
57 days 12:00:00,12.397179773525606,3.5209629043097865,2.7429700701153625,0.06227461234931374,0.05390503340600737,0.061941899856096126,0.22324159021406728
58 days 00:00:00,12.440772467895027,3.527147922599083,2.750930259640904,0.062343342880008396,0.05451853420777862,0.062017806595187706,0.22324159021406728
58 days 12:00:00,12.746251560004621,3.570189289100036,2.785850306497349,0.06313954200960911,0.05538801239155256,0.06278775605980452,0.22018348623853212
59 days 00:00:00,12.537485315063218,3.5408311616149137,2.7588588121127557,0.06256400831983196,0.0548033109672961,0.062233736662011166,0.22247706422018348
60 days 00:00:00,12.3225649114127,3.510351109420922,2.726720347373319,0.06194603555694742,0.05390503340600737,0.061619731494520186,0.22629969418960244
60 days 12:00:00,12.266813255031233,3.50240106998488,2.7220735885881493,0.06190779136646124,0.05390503340600737,0.061601528341957,0.22400611620795108
61 days 00:00:00,12.035084088649036,3.4691618712088133,2.6912880744160166,0.06121552676941637,0.05339691619101143,0.06094224992277692,0.22935779816513763
61 days 12:00:00,12.011377111345087,3.4657433706702934,2.6854816243637294,0.061106443603654595,0.05339691619101143,0.06083321569015356,0.22706422018348624
62 days 00:00:00,11.890961801644742,3.4483273918879487,2.6682498524703724,0.060564176153318126,0.05273983298474351,0.06034471157941151,0.2324159021406728
62 days 12:00:00,12.215087191733021,3.495008897232312,2.701515325389676,0.06128990164054482,0.05301386402665807,0.06102185714019199,0.22996941896024467
63 days 00:00:00,12.277706604469461,3.5039558508162543,2.704097177537154,0.061183751653811305,0.05273983298474351,0.0609301767982741,0.2324159021406728
63 days 12:00:00,12.62726061652895,3.5534856994968966,2.7422520651310855,0.06196628382081812,0.05339691619101143,0.06166748532192549,0.22752293577981653
64 days 00:00:00,12.653602199567183,3.5571902113279217,2.7402888664370666,0.06174545122024102,0.05258679595908917,0.06146376781330929,0.2311926605504587
64 days 12:00:00,13.020431165103822,3.6083834559403223,2.78098274352451,0.0626098947378785,0.05339691619101143,0.06228910379343302,0.22629969418960244
65 days 00:00:00,12.80378220826053,3.578237304632063,2.7483477351437484,0.061789024796080075,0.05273983298474351,0.06149997956298841,0.23425076452599386
65 days 12:00:00,13.18408824145162,3.630989980907634,2.78424862416428,0.06261263180759785,0.05344544632591142,0.062275577014676224,0.22935779816513763
66 days 00:00:00,12.954081327091272,3.599177868220918,2.7522847341958685,0.061974407894697145,0.05301386402665807,0.06164507360699541,0.2348623853211009
66 days 12:00:00,13.131046499309873,3.6236785866450507,2.7646950939658477,0.06236917549682434,0.05339691619101143,0.061978215758911194,0.2324159021406728
67 days 00:00:00,12.983162805390787,3.6032156201635765,2.7417109643597493,0.061967188035382904,0.05301386402665807,0.061569644983459924,0.23302752293577983
67 days 12:00:00,12.887718285375845,3.5899468360096707,2.730187560031771,0.06176835535071449,0.05301386402665807,0.061376779643049745,0.22935779816513763
68 days 00:00:00,12.765352404477785,3.572863334145008,2.71099244518025,0.06130952676115892,0.05258679595908917,0.060926368249625065,0.2324159021406728
68 days 12:00:00,12.772355364228172,3.5738432204320563,2.7108241173502052,0.06126602991768861,0.05258679595908917,0.0609061368882987,0.2311926605504587
69 days 00:00:00,12.750598308098887,3.57079799318008,2.7029077475689016,0.0609996298556404,0.05226153215416633,0.060650104538538675,0.2348623853211009
69 days 12:00:00,13.104828285876971,3.620059155024538,2.7395244078629197,0.061777724593206115,0.05226153215416633,0.06137839134206993,0.231651376146789
70 days 00:00:00,13.14273450987809,3.6252909552031944,2.7413004426567977,0.06170350834535848,0.05211352887021773,0.06130163823965539,0.23302752293577983
70 days 12:00:00,13.528361877208669,3.67809215181032,2.7842120818561997,0.06257281004420572,0.05226153215416633,0.06213556100616941,0.22859327217125383
71 days 00:00:00,13.51485458935651,3.6762555119790723,2.781995180603451,0.062436864443053006,0.05226153215416633,0.061998653870974266,0.22996941896024467
71 days 12:00:00,13.869667300316294,3.724200222909114,2.823233211511153,0.06327696059494822,0.05226153215416633,0.06281733245227054,0.22553516819571864
72 days 00:00:00,13.855798545283358,3.7223377795793007,2.8210094481754866,0.06313612772555642,0.05226153215416633,0.06268988737815219,0.22446483180428137
72 days 12:00:00,14.230382083543432,3.772317866185647,2.8675992350192763,0.06416085025920946,0.05273983298474351,0.06369475411054681,0.21636085626911314
73 days 00:00:00,14.056028336708623,3.7491370122614383,2.8419341130275177,0.06363734150609499,0.05226153215416633,0.0631670669739726,0.21896024464831804
73 days 12:00:00,14.213729829205025,3.7701100553173545,2.8598975206314434,0.0641296794624816,0.05226153215416633,0.06361062800713238,0.21712538226299694
74 days 00:00:00,14.023021227572041,3.74473246408499,2.8323043777280286,0.06359577517280525,0.050745293654714765,0.06307187878898789,0.21896024464831804
74 days 12:00:00,14.020325997653693,3.7443725773023298,2.8322965161781077,0.06366440810788501,0.05211352887021773,0.06314221599303163,0.21712538226299694
75 days 00:00:00,13.690288882406753,3.7000390379571337,2.790283465682575,0.06278257714677532,0.050745293654714765,0.06227674445477471,0.22324159021406728
75 days 12:00:00,13.704986864476174,3.702024697983007,2.791424786904978,0.06278110086520415,0.050745293654714765,0.06230190642167215,0.22446483180428137
76 days 00:00:00,13.675680227828446,3.698064389356741,2.7866425051486696,0.06259984176671332,0.0505596428489263,0.06214232024564669,0.22813455657492354
76 days 12:00:00,13.895983155985643,3.727731636798127,2.8108328059311702,0.0630850720334225,0.051701339859534845,0.06261900581994384,0.22446483180428137
