horizon,mse,rmse,mae,mape,mdape,smape,coverage
37 days 00:00:00,21.507541269460845,4.637622372451302,3.536007828497432,0.05887005569874972,0.04180582821899549,0.05889206441849034,0.3470948012232416
37 days 12:00:00,21.274628985402984,4.612442843591992,3.531056830188122,0.058934739107632535,0.042265342744868296,0.05890596772474748,0.3437308868501529
38 days 00:00:00,21.232600800602196,4.607884634037857,3.5294409231783033,0.059078912648320325,0.04180582821899549,0.05907005056523454,0.3440366972477064
38 days 12:00:00,21.280962613403133,4.613129373148246,3.5286945915412815,0.059140664512400264,0.04142856875021499,0.059105961608022325,0.3431192660550459
39 days 00:00:00,21.513175830002005,4.638229816428031,3.539902561585004,0.05942696244328251,0.04180582821899549,0.059453660497203256,0.34128440366972473
39 days 12:00:00,21.32313744868037,4.617698284717221,3.523785298263354,0.05921706117866598,0.04180582821899549,0.059257013867492166,0.3406727828746178
40 days 00:00:00,21.467042619206232,4.633253998995332,3.5352161842118512,0.05947892184726154,0.04142856875021499,0.059560410201393375,0.3388379204892966
40 days 12:00:00,21.342493186971865,4.619793630344527,3.528125514767716,0.059412220597659895,0.04180582821899549,0.059511215293026616,0.3363914373088685
41 days 00:00:00,21.183124023371175,4.602512794482072,3.5090706658372697,0.05916734125777812,0.04142856875021499,0.05924686804919722,0.3379204892966361
41 days 12:00:00,21.495661022871133,4.636341340202545,3.534000692884854,0.05956496898130018,0.04180582821899549,0.059585111104405356,0.33211009174311923
42 days 00:00:00,21.19451708670136,4.603750328449769,3.495973853250789,0.058946306116041805,0.040544916959845335,0.05894401843444259,0.3348623853211009
42 days 12:00:00,21.393788553085006,4.625341993094674,3.5151750932756856,0.05916489649116944,0.040544916959845335,0.05913730333089901,0.3296636085626911
43 days 00:00:00,21.448622516041254,4.631265757440535,3.512778295259266,0.059083433437737524,0.04064818695114149,0.05910772850876873,0.3333333333333333
43 days 12:00:00,21.67146832480528,4.655262433505256,3.5365909756792564,0.05949480044439937,0.04142856875021499,0.05950527380451626,0.3296636085626911
44 days 00:00:00,21.684573300217135,4.656669764994844,3.5377699951703945,0.05966075434147955,0.04122975513543023,0.0596964405534866,0.3302752293577982
