horizon,mse,rmse,mae,mape,mdape,smape,coverage
37 days 00:00:00,123.9806161439731,11.134658330814336,7.061279976279606,0.048687445637954095,0.041781204199365235,0.0489054844650112,0.30428134556574926
37 days 12:00:00,121.6832895832336,11.03101489361852,6.993566815072154,0.04830004970672961,0.041781204199365235,0.04852535720475308,0.3070336391437309
38 days 00:00:00,120.45808813358293,10.975340000819243,6.984529072425773,0.04843450913242753,0.040996744290917195,0.04864234684691461,0.30428134556574926
38 days 12:00:00,117.66576704124802,10.847385262875473,6.923433888112925,0.048610336794570136,0.04174669589720567,0.048797875115291066,0.3033639143730887
39 days 00:00:00,117.14776839708904,10.823482267601728,6.9270266202610555,0.04900278143512987,0.041781204199365235,0.049187506649720936,0.2984709480122324
39 days 12:00:00,117.28402497659891,10.829774927328772,6.938820315614514,0.04940569607289418,0.0425025563798349,0.04957333432185559,0.2960244648318043
40 days 00:00:00,120.82966044869988,10.99225456622525,7.0311452117638265,0.04977677079480907,0.0425025563798349,0.04995164142699689,0.2929663608562691
40 days 12:00:00,120.62408034003968,10.982899450511221,7.012658066831124,0.04976924407588844,0.04397599787780821,0.04992070814716977,0.2954128440366972
41 days 00:00:00,122.23355313424514,11.05592841575257,7.080365953542725,0.04991050300421589,0.04483806138684775,0.050086906849187526,0.29357798165137616
41 days 12:00:00,121.01185993030049,11.00053907453178,7.057495808217807,0.049905987379542424,0.044524574303789,0.05006816765528073,0.2966360856269113
42 days 00:00:00,121.64637391525223,11.029341499620557,7.115444557282019,0.05010838117962585,0.04495802479054264,0.05030274051337769,0.29510703363914376
42 days 12:00:00,121.38419599496717,11.01744961390644,7.152670432231347,0.05055261160287856,0.045186495808658585,0.05074898580083121,0.2923547400611621
43 days 00:00:00,121.03695763264683,11.00167976413815,7.193786042060741,0.05095060264505925,0.0463215825503712,0.051121130158603596,0.290519877675841
43 days 12:00:00,120.95905153890152,10.998138548813682,7.209997748031283,0.051058691389940646,0.0466506653158519,0.051256879329409095,0.28807339449541286
44 days 00:00:00,120.8608979563194,10.993675361603117,7.235228589680063,0.05129464016860058,0.0463215825503712,0.05147677489278839,0.2874617737003058
44 days 12:00:00,120.09718579736068,10.958886156784397,7.214468432064897,0.05125070508737684,0.0463215825503712,0.051473230575555896,0.28990825688073396
