horizon,mse,rmse,mae,mape,mdape,smape,coverage
37 days 00:00:00,53.326035538140005,7.302467770428022,6.101889732786808,0.0546137781791128,0.046561321861277476,0.05460245540660522,0.20030581039755352
37 days 12:00:00,54.58750823449375,7.388335958420797,6.173754067998031,0.05525487262782465,0.04823633951652273,0.05524478463243564,0.19510703363914372
38 days 00:00:00,54.002365846085716,7.3486302020230765,6.133052387533501,0.05492371723613816,0.046816230534057056,0.05493290058645731,0.19571865443425077
38 days 12:00:00,54.786159253289654,7.401767306075601,6.162020901219198,0.055215247682850174,0.0471823829353682,0.05523119596743037,0.1963302752293578
39 days 00:00:00,54.122477071154805,7.356798017558645,6.112329307782778,0.054810496591145355,0.046816230534057056,0.0548540366727435,0.1963302752293578
39 days 12:00:00,54.70855970659886,7.396523487869072,6.13693743144875,0.05500980189008971,0.046816230534057056,0.05508599276256211,0.19694189602446485
40 days 00:00:00,54.92330206152979,7.411025709139714,6.148688621393211,0.05496648459509107,0.0471823829353682,0.05507374495606595,0.19510703363914372
40 days 12:00:00,54.774161015442516,7.400956763516628,6.141498467011699,0.05482324182294696,0.0471823829353682,0.054946610701794414,0.19571865443425077
41 days 00:00:00,55.02184608732632,7.417671203775908,6.1604018134979475,0.0548119348751268,0.0471823829353682,0.0549554794965935,0.19724770642201836
41 days 12:00:00,55.16054642245435,7.427014637285587,6.169493935411081,0.05477153380585623,0.0471823829353682,0.05490906942175033,0.19877675840978593
42 days 00:00:00,55.536486588704285,7.452280630028923,6.175213614231165,0.054633172021550214,0.046816230534057056,0.054793111173999265,0.2018348623853211
42 days 12:00:00,56.433814588906706,7.512244311050241,6.227007601737806,0.054960243602463335,0.0471823829353682,0.05515266115613557,0.19938837920489297
43 days 00:00:00,57.081829548086795,7.555251785882903,6.259732909396479,0.05511706070264186,0.0471823829353682,0.055332245072761445,0.20030581039755352
43 days 12:00:00,58.180907193630524,7.627640997951498,6.329874214160788,0.05568751437568901,0.04823633951652273,0.05592051367265774,0.19755351681957184
44 days 00:00:00,58.27506786570232,7.6338108350745975,6.334211126128051,0.05563399879736946,0.04724194572288273,0.055882313895039996,0.19724770642201836
44 days 12:00:00,58.96390226216791,7.678795625758503,6.369968879633907,0.055954429412337324,0.04736967039935124,0.05621145418470385,0.19388379204892967
45 days 00:00:00,58.074975105204985,7.620693872949167,6.302861682919736,0.055346298905233265,0.0471823829353682,0.05561817943625029,0.19877675840978593
45 days 12:00:00,58.89504264787825,7.674310564987467,6.334478521713931,0.05565446620171598,0.0471823829353682,0.05593903188733793,0.19694189602446485
46 days 00:00:00,57.77474060947802,7.600969715074388,6.251181950617838,0.05494532278861465,0.04654925262230458,0.05524029448034179,0.20244648318042816
46 days 12:00:00,58.168423968536715,7.626822665339526,6.253089916646841,0.05491290936905575,0.0465128765604197,0.05524665523941047,0.2030581039755352
47 days 00:00:00,58.008080199261066,7.616303578459899,6.236816208408138,0.0546199809764209,0.0465128765604197,0.05497554242388145,0.20428134556574923
47 days 12:00:00,57.525182482790726,7.584535746028937,6.205494162467152,0.054259572539247854,0.04519797410770642,0.054625209261742885,0.20672782874617734
48 days 00:00:00,57.54898824962906,7.5861049458618135,6.210719641035707,0.05409398894984452,0.04519797410770642,0.05448233415438049,0.20642201834862386
48 days 12:00:00,57.38356219429493,7.5751938717299465,6.200851968252528,0.053887365172615324,0.04514959718515289,0.05426591961458425,0.20672782874617734
49 days 00:00:00,57.45688397937778,7.580031924693839,6.188912198413135,0.05358274885741976,0.0448570058795061,0.05398784933728413,0.20948012232415902
